EntityType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,Biography,Nationality,GtaaId,Birthplace,UciRiderId,Languages,Profession,WeightKg,BirthDate,OlympediaPeopleId,MunzingerId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,Gender,HeightCm,FreebaseId,SportsReferencecomOlympicAthleteIdArchived
0,5,8,,0,,8,,5,2,7,7,,2,0,6,9,6,6,3,,,5,0,7,14,0
1,6,6,6.0,18,140348.0,19,11973.0,6,3,5,9,14571.0,3,1,2,3,3,0,8,5344.0,40.0,7,1,1,4,4
0,5,8,,4,,7,,0,2,7,7,,2,0,6,9,6,6,3,,,4,0,7,8,0
1,10,0,1994.0,17,140778.0,18,16105.0,4,1,2,6,28378.0,1,1,3,7,0,5,7,13069.0,133.0,7,1,5,11,5
1,8,1,8.0,14,140772.0,16,16232.0,1,0,1,0,11039.0,0,1,5,0,2,2,5,3065.0,15.0,7,1,4,3,6
1,9,8,3146.0,16,126877.0,17,,9,0,7,5,33637.0,0,1,6,6,6,6,6,15956.0,772.0,6,1,7,13,0
0,5,8,,2,,6,,8,2,7,7,,2,0,6,9,6,6,3,,,2,0,7,10,0
1,3,5,161.0,7,140762.0,11,11434.0,2,0,6,4,13388.0,2,1,4,4,1,4,3,5689.0,86.0,7,1,2,1,3
1,7,2,1.0,10,117752.0,14,1032.0,3,1,4,3,11668.0,1,1,0,1,4,1,4,2021.0,218.0,7,1,0,2,1
0,5,8,,9,,13,,5,2,7,7,,2,0,6,9,6,6,3,,,0,0,7,14,0
0,5,8,,12,,2,,5,2,7,7,,2,0,6,9,6,6,3,,,1,0,7,7,0
0,5,8,,15,,0,,5,2,7,7,,2,0,6,9,6,6,3,,,5,0,7,14,0
0,0,8,,3,,3,,5,2,7,7,,2,0,6,9,6,6,3,,,3,0,7,12,0
0,5,8,,9,,4,,5,2,7,7,,2,0,6,9,6,6,3,,,5,0,7,14,0
0,5,8,,11,,15,,5,2,7,7,,2,0,6,9,6,6,3,,,0,0,7,14,0
1,1,7,989.0,5,140417.0,9,593.0,9,1,3,2,26797.0,1,1,5,5,6,6,0,9898.0,45.0,6,1,6,9,0
1,2,3,4888.0,6,140933.0,10,13528.0,7,3,7,1,48399.0,3,1,6,8,6,6,1,22421.0,294.0,7,1,3,0,0
0,5,8,,1,,5,,5,2,7,7,,2,0,6,9,6,6,3,,,1,0,7,6,0
0,5,8,,13,,1,,5,2,7,7,,2,0,6,9,6,6,3,,,5,0,7,14,0
1,4,4,26.0,8,140669.0,12,3565.0,3,1,0,8,,1,1,1,2,5,3,2,8259.0,177.0,7,1,2,5,2
