STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,23,1786847,66,66,0,0,1785821
0,24,2175621,227,227,0,9,2174909
0,12,1951267,179,179,0,6,1950308
1,2,2005679,75,75,1,0,2004696
1,23,545737,18,18,0,0,544797
0,23,727451,27,27,0,0,726416
0,11,1771461,163,163,0,4,1770454
0,24,2196287,229,229,0,9,2195330
0,17,2659219,246,246,0,12,2658195
1,2,1528688,55,55,1,0,1527763
0,5,1190403,142,142,0,2,1189413
0,23,3189315,109,109,0,0,3188324
1,20,1234677,137,137,0,1,1233707
0,14,2741232,209,209,1,7,2740189
0,23,3374873,112,112,0,0,3373889
1,12,81446,173,173,0,6,80444
0,23,2236648,80,80,0,0,2235660
0,10,2958958,256,256,1,12,2958174
0,23,3411054,113,113,0,0,3410011
0,2,2126124,78,78,1,0,2125348
0,23,845231,33,33,0,0,844259
1,9,130190,234,234,0,10,129258
1,1,148899,264,264,0,13,147857
0,5,1314686,149,149,0,2,1313668
0,2,914773,35,35,1,0,913902
0,23,3114291,107,107,0,0,3113458
0,20,1364183,140,140,0,1,1363335
1,23,1775441,65,65,0,0,1774454
0,10,2604343,243,243,1,12,2603401
0,23,434763,14,14,0,0,433749
0,23,240684,6,6,0,0,239723
1,9,117913,233,233,0,10,116867
0,3,2700655,208,208,0,7,2699685
0,23,2731623,92,92,0,0,2730656
0,23,841681,32,32,0,0,840713
0,23,694956,25,25,0,0,693924
1,2,2960312,100,100,1,0,2959559
1,21,292637,159,159,1,4,291670
1,23,1701321,62,62,0,0,1700384
1,12,69437,172,172,0,6,68407
0,23,312759,8,8,0,0,311723
0,24,89815,220,220,0,9,88823
1,9,61311,231,231,0,10,60333
0,23,2269235,82,82,0,0,2268255
0,11,1782786,164,164,0,4,1781826
1,23,1123510,44,44,0,0,1122552
0,17,2579902,242,242,0,12,2578929
1,23,3008310,103,103,0,0,3007265
0,2,407514,12,12,1,0,406664
1,3,127076,191,191,0,7,126066
1,15,155111,217,217,1,8,154099
1,23,3615342,120,120,0,0,3614358
1,23,3958204,132,132,0,0,3957431
1,23,1925586,71,71,0,0,1924600
0,3,2751961,210,210,0,7,2751003
1,23,566514,19,19,0,0,565550
1,3,196073,194,194,0,7,195096
1,1,65837,260,260,0,13,64781
0,5,1261944,146,146,0,2,1260960
1,23,605384,20,20,0,0,604369
1,3,232090,195,195,0,7,231104
1,23,2708277,91,91,0,0,2707301
1,23,1989967,74,74,0,0,1988968
0,3,2663503,207,207,0,7,2662569
1,23,2825953,94,94,0,0,2825009
0,23,2886495,95,95,0,0,2885569
0,17,2885211,252,252,0,12,2884260
1,23,1962233,73,73,0,0,1961243
0,23,705383,26,26,0,0,704423
1,23,1036988,41,41,0,0,1036017
0,17,2950391,255,255,0,12,2949454
1,23,1951701,72,72,0,0,1950744
0,2,621314,22,22,1,0,620361
0,20,1317363,139,139,0,1,1316438
1,23,3591099,119,119,0,0,3590238
1,12,42295,171,171,0,6,41246
1,23,2580660,85,85,0,0,2579676
1,2,2687685,90,90,1,0,2686888
0,5,1276401,147,147,0,2,1275562
1,2,2923780,97,97,1,0,2922814
0,22,2218428,230,230,1,9,2217492
1,1,132449,263,263,0,13,131407
1,11,278997,158,158,0,4,278392
0,24,2093905,225,225,0,9,2092884
1,4,143681,151,151,0,3,142743
0,24,96817,221,221,0,9,95832
1,23,3699200,123,123,0,0,3698199
1,23,1043987,42,42,0,0,1043027
0,17,2631052,245,245,0,12,2630098
0,3,2642245,206,206,0,7,2641489
0,21,1789660,165,165,1,4,1788675
0,23,3185796,108,108,0,0,3184809
0,3,2363219,200,200,0,7,2362256
1,3,162872,192,192,0,7,161859
0,23,3350446,111,111,0,0,3349469
0,14,320709,199,199,1,7,319707
1,13,250517,237,237,1,10,249557
0,8,1894910,177,177,1,6,1894237
0,11,1725242,161,161,0,4,1724254
1,21,8035,152,152,1,4,7042
1,21,311627,160,160,1,4,310667
0,5,1287410,148,148,0,2,1286397
1,2,613465,21,21,1,0,612696
0,23,63052,3,3,0,0,62038
0,23,3232387,110,110,0,0,3231450
0,24,2083278,224,224,0,9,2082312
0,17,2922898,253,253,0,12,2921940
0,23,3422379,114,114,0,0,3421396
1,1,315605,267,267,0,13,314638
