Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
1,1037760,370,370,169,1037092
0,18293,404,404,157,17649
0,1236,126,126,0,691
0,55025,360,360,100,54438
0,1457890,90,90,96,1457246
1,487260,205,205,124,486679
0,1995197,222,222,150,1994529
0,9057,388,388,90,8128
0,28680,132,132,165,27985
0,622513,28,28,96,621803
1,807166,156,156,116,806492
0,112468,401,401,36,111971
0,4870,342,342,139,4217
0,2682,269,269,130,1954
1,163066,9,9,142,162521
0,1943209,10,10,57,1942577
0,735451,97,97,96,734867
1,1357417,313,313,147,1356881
1,1481322,93,93,74,1480762
1,36247,73,73,62,35642
0,1187163,348,348,169,1186465
0,120884,36,36,106,120498
1,1894275,111,111,28,1893637
0,438865,353,353,21,438233
0,308712,371,371,26,308044
0,1033564,302,302,168,1032920
0,1578872,120,120,17,1578312
0,77237,62,62,130,76545
0,17407,266,266,41,16820
0,497483,127,127,113,496893
1,1707996,30,30,68,1707370
1,6677,380,380,89,6162
1,278070,227,227,158,277438
0,1686468,112,112,96,1685914
0,477620,210,210,112,476973
0,565167,383,383,79,564760
1,3882,128,128,41,3223
0,1685667,117,117,161,1685527
0,7629,235,235,41,6979
0,1645,357,357,103,1004
1,376974,57,57,151,376393
0,767988,276,276,48,767290
1,426818,141,141,128,426186
0,7249,55,55,41,6641
0,265007,264,264,5,264339
0,28027,46,46,126,27344
1,1118634,322,322,153,1117975
1,30799,74,74,65,30158
1,159847,68,68,98,159101
0,694973,310,310,68,694383
0,1610144,115,115,74,1609563
0,487905,172,172,151,487330
1,356421,430,430,137,355831
1,1921473,108,108,57,1920904
1,10499,40,40,93,10110
0,1739252,338,338,96,1738602
0,515441,211,211,63,514617
1,1109679,319,319,96,1109041
0,347837,19,19,9,347313
0,250738,326,326,158,250097
1,4939,8,8,1,4241
0,570400,76,76,114,569783
0,544317,150,150,112,543658
0,52129,270,270,130,51491
1,19103,381,381,31,18480
0,4829,263,263,37,4128
1,599763,238,238,6,598996
0,430625,13,13,133,430509
1,1142859,409,409,48,1142287
0,339516,230,230,81,338926
1,1413348,214,214,13,1412725
1,1066542,405,405,67,1065931
0,15668,346,346,20,15015
1,6518,307,307,151,5874
1,26110,309,309,31,25487
1,504309,428,428,146,503911
1,610947,368,368,169,610288
0,1935320,221,221,122,1934724
0,216763,325,325,144,216122
1,588625,161,161,108,587969
1,412598,286,286,44,411981
1,463493,102,102,78,462885
1,14001,394,394,154,13402
0,276224,140,140,80,275592
1,602338,323,323,92,601643
1,1845,389,389,87,1489
0,314714,123,123,25,314181
0,1464254,89,89,96,1463646
1,1100102,407,407,101,1099440
0,444695,33,33,110,444042
0,42175,386,386,150,41594
0,1079,130,130,75,750
0,382637,59,59,158,382086
1,35038,306,306,120,34388
0,410050,253,253,23,409331
1,13194,351,351,104,12661
1,641578,83,83,54,640880
1,320021,423,423,97,319437
0,70385,303,303,159,69732
0,2893,384,384,148,2228
1,36160,21,21,53,35462
1,628319,187,187,63,627354
0,978860,281,281,117,978390
0,288480,177,177,99,287506
0,331967,157,157,133,331098
0,467996,366,366,164,467418
0,1344856,202,202,123,1344239
0,340144,413,413,98,339536
0,218124,169,169,21,217234
1,11303,52,52,75,10641
1,12594,201,201,94,11959
1,789660,155,155,58,789061
1,855201,25,25,170,854569
1,873,6,6,32,262
0,16035,344,344,52,15472
1,301818,284,284,31,301183
1,281,11,11,71,3
0,578960,77,77,114,578253
0,1665163,31,31,151,1664528
1,538452,149,149,117,537880
0,278450,249,249,45,277617
0,473006,259,259,133,472107
0,16573,168,168,126,15977
0,15631,124,124,54,14972
1,2130876,105,105,96,2130250
0,750998,204,204,131,750414
1,497850,299,299,41,497083
1,653543,84,84,54,652923
1,698962,98,98,96,698387
1,350824,414,414,98,350453
1,584282,136,136,6,583626
0,425782,145,145,46,425384
0,1183104,328,328,38,1182499
0,160801,403,403,49,160181
1,6106,95,95,126,5495
0,393310,287,287,10,392783
1,514088,298,298,41,513441
1,667099,5,5,6,666332
0,244449,293,293,119,243556
0,223254,294,294,23,222562
0,260483,179,179,99,259935
0,1069989,197,197,57,1069351
1,198335,44,44,6,197730
1,1235855,190,190,96,1235211
0,1109266,398,398,138,1108595
0,6197,387,387,155,5628
1,38888,79,79,56,38181
0,2159962,329,329,68,2159390
0,1411596,23,23,17,1410949
1,2152710,106,106,161,2152117
0,22912,60,60,130,22523
1,2442,290,290,29,1612
1,673589,188,188,12,672981
0,1671935,119,119,120,1671336
0,11230,375,375,125,10535
0,1875155,224,224,48,1874526
1,311313,422,422,135,310645
1,274287,175,175,98,273715
0,433446,209,209,5,432955
1,36542,385,385,150,35961
0,541203,104,104,63,540331
1,375081,122,122,25,374536
