GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,73,313057,146,15,312338,0
0,28,81801,40,46,80905,1
1,86,15410,226,39,14340,1
0,61,2162466,66,20,2161639,0
0,15,749937,95,14,749176,1
0,53,1088191,237,19,1087412,1
1,5,432941,203,14,432381,1
1,21,497744,121,15,496932,1
0,88,33929,167,2,32910,1
0,61,1422032,55,20,1421220,0
1,88,652441,52,8,651695,1
0,42,402463,87,5,401243,0
0,28,18040,109,59,16886,0
0,65,394684,22,14,394031,1
0,56,1098996,238,19,1097833,1
0,56,663709,106,19,662936,1
0,23,9906,4,24,8728,1
0,0,12258,154,70,11053,1
0,55,2202990,65,20,2202343,1
1,4,937169,157,19,936387,1
0,55,375897,23,20,375253,0
0,10,946792,6,14,945539,1
0,87,4632,136,33,3406,1
1,84,563168,91,14,561921,1
1,44,477748,120,15,476525,1
0,55,749602,56,20,748862,1
0,28,1832,61,48,591,0
0,25,217780,244,5,216641,0
0,20,1034038,239,19,1032938,1
1,84,779639,96,14,778437,0
1,38,10709,218,79,9531,0
0,40,23056,192,75,22262,0
1,5,667923,94,14,666610,1
1,8,497406,34,4,496306,0
0,39,365512,36,4,364310,1
0,28,9985,150,67,9303,0
1,2,4174,29,43,2966,0
0,10,1057942,132,14,1056725,0
0,58,589228,206,14,588062,0
0,0,26139,27,43,25351,1
1,26,182780,42,12,181743,1
0,51,196658,242,5,195561,0
0,65,387281,11,14,386064,0
1,4,1887968,128,19,1886823,0
0,28,1860,161,71,1114,1
0,10,581117,205,14,580287,0
0,73,386514,174,15,385279,0
0,58,599280,204,14,598465,1
1,56,745129,160,9,744176,0
0,98,1428734,54,20,1428093,0
0,47,1968229,126,19,1967444,1
1,95,13702,26,42,12743,0
0,73,1173402,230,15,1172566,0
0,81,210588,243,5,209491,0
1,79,17599,79,52,16553,0
0,65,1049347,133,14,1048619,0
0,29,358168,104,19,357524,0
1,80,1247221,179,18,1246121,0
0,10,878597,142,14,877761,0
0,28,18090,98,54,17131,0
0,79,1778534,130,19,1777443,0
0,73,1193619,231,15,1192936,0
1,101,5205,99,55,4201,1
1,39,177073,107,21,175745,0
