Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,72,313057,145,312338,0
1,69,76658,39,76494,0
0,83,36547,222,35690,0
0,35,2151652,66,2150759,1
0,14,749937,93,749176,1
0,52,1088191,237,1087412,1
1,4,432941,203,432381,1
1,20,497744,121,496932,1
0,87,33929,165,32910,1
0,73,1227756,106,1227118,1
1,87,652441,52,651695,1
0,41,402463,85,401243,0
1,34,2521,109,1283,1
0,63,394684,23,394031,1
0,55,1098996,238,1097833,1
0,55,663709,104,662936,1
0,75,738,2,1,0
0,0,12258,152,11053,1
0,60,2162466,65,2161639,0
1,3,937169,155,936387,1
1,13,269718,147,269074,1
0,8,946792,5,945539,1
0,2,15525,110,14710,1
1,84,563168,89,561921,1
1,43,477748,120,476525,1
0,60,731234,56,730422,0
0,0,11189,50,10047,1
0,24,217780,244,216641,0
0,19,1034038,239,1032938,1
1,84,779639,94,778437,0
1,37,10709,218,9531,0
0,39,23056,191,22262,0
1,4,667923,92,666610,1
1,6,497406,34,496306,0
0,38,365512,36,364310,1
0,27,9985,148,9303,0
1,94,13702,26,12743,0
0,8,1057942,132,1056725,0
0,57,589228,206,588062,0
0,0,10217,29,9084,1
1,25,182780,42,181743,1
0,50,196658,242,195561,0
0,63,387281,11,386064,0
1,3,1887968,128,1886823,0
0,27,1860,159,1114,1
0,8,581117,205,580287,0
0,72,386514,171,385279,0
0,57,599280,204,598465,1
1,55,745129,158,744176,0
0,60,1422032,55,1421220,0
1,12,1921338,126,1920505,1
0,27,28969,25,28568,0
0,72,1173402,230,1172566,0
0,81,210588,243,209491,0
1,29,9998,76,9753,0
0,63,1049347,133,1048619,0
0,28,358168,102,357524,0
1,80,1247221,176,1246121,0
0,8,878597,141,877761,0
0,27,2004,95,790,1
0,79,1778534,130,1777443,0
0,72,1193619,231,1192936,0
0,27,18090,96,17131,0
0,54,2202990,64,2202343,1
0,95,153559,234,152606,0
0,91,4472,216,3321,0
0,54,975187,117,974237,1
0,54,1745136,190,1744339,0
0,62,19523,47,18321,1
0,94,38006,197,37197,0
0,68,1147481,173,1146423,1
0,32,226729,43,226322,1
0,27,10011,38,9199,1
0,54,983808,115,982858,1
0,96,914563,154,913814,0
0,72,400728,172,399566,0
0,73,979496,116,978543,1
1,43,493669,122,492404,1
1,93,3831,166,3070,1
1,67,3587,160,2544,0
0,27,19594,30,18863,1
0,73,1447013,54,1446237,1
0,83,31870,221,31118,0
0,88,531335,169,530982,1
0,72,462427,170,461594,0
0,35,1905082,67,1904309,1
0,54,1474427,53,1473666,0
0,58,1098330,232,1097515,0
1,47,41345,78,40839,0
0,27,18040,108,16886,0
0,49,1062126,196,1060936,0
0,8,705599,91,704769,0
0,5,77581,7,76523,1
0,8,837722,210,837087,0
0,0,39296,62,38151,0
0,72,272963,214,272211,0
1,16,11639,198,10170,0
0,28,2187940,182,2187290,1
0,99,1471918,179,1470884,0
1,78,11872,131,11348,0
0,85,1675,215,854,1
1,4,551759,87,550737,1
0,22,9906,4,8728,1
0,8,863354,140,862533,0
1,2,2556,167,1318,0
1,12,2049687,185,2048413,1
0,38,384191,37,383100,0
0,53,323886,157,323095,1
0,89,571633,48,570836,0
1,13,663114,17,662260,0
0,23,826530,13,825718,1
0,0,14090,63,12945,0
0,17,1229889,175,1228786,0
0,80,1218003,107,1217665,0
1,4,290434,80,289571,0
0,5,1022329,213,1021526,1
1,1,27009,45,25858,1
0,97,987733,114,987176,1
0,33,11743,224,10985,1
1,25,295086,100,293887,1
0,63,941707,6,940901,1
0,59,12102,220,11231,0
0,48,1588977,123,1588012,0
0,61,644758,119,643769,0
0,90,17814,235,16873,1
0,96,750678,153,750031,1
1,44,1790,8,1116,1
1,64,7239,180,5971,1
1,40,41030,150,39978,0
0,0,19059,164,18244,0
1,4,1152958,193,1151783,1
0,73,1694274,68,1693627,0
0,0,1863,103,1015,0
0,72,247509,144,246700,0
0,97,684782,57,683826,0
0,8,1070767,194,1069991,0
1,25,137805,156,136807,0
0,8,461022,201,460051,1
0,46,1577124,187,1576114,0
0,27,614,51,222,1
0,102,5008,9,4142,0
0,0,31139,61,29922,0
0,5,375903,35,374896,1
0,91,12268,236,10958,0
0,80,2029082,21,2027874,1
0,27,13009,151,11804,0
0,89,550504,49,549704,0
0,66,7162,223,6368,1
1,34,556235,168,555144,0
0,72,1148502,228,1147669,0
1,76,381597,15,380962,0
0,56,36628,46,35402,1
0,48,2155792,183,2155145,0
0,18,9178,74,8375,1
1,74,29968,162,28721,0
0,99,1648331,124,1647294,0
0,63,492438,202,491209,0
1,53,23852,33,23046,0
0,99,1522877,178,1521903,1
0,47,178084,111,176870,1
0,84,15379,219,14528,0
0,82,77977,41,77144,0
0,5,617253,207,616495,0
0,44,12388,136,11468,0
0,8,537352,88,536177,1
1,60,35179,44,34406,1
0,27,81801,40,80905,1
0,96,1912694,127,1911738,1
1,25,287088,99,285889,1
0,58,1165493,229,1164663,0
0,27,37248,163,35989,1
0,98,37518,31,36670,0
0,55,1783506,129,1782673,1
