Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position
1,0,12909,143,0,10807
0,0,6110,100,0,3849
0,0,457048,90,1,454787
0,0,478833,231,0,476677
0,0,16869,152,0,14662
0,0,552888,219,1,550654
0,0,835809,97,0,833647
1,0,3770,49,0,732
1,0,828777,109,1,827212
1,0,9061,54,1,6806
0,0,2776,155,0,509
1,0,76342,180,1,73994
0,0,1167843,145,1,1165567
1,0,3747,24,0,1363
0,1,692573,69,0,690150
1,0,27924,7,0,26149
0,0,754574,176,0,752403
0,0,1157625,117,1,1155433
1,0,12933,114,1,10912
1,0,96434,222,1,94266
1,0,45480,198,1,43330
0,0,604953,80,0,602554
0,0,5633,13,1,4134
0,0,763015,83,1,760970
1,0,4215,71,0,1969
0,0,480713,37,0,478230
1,0,114439,9,1,112868
0,0,14957,63,0,12933
0,0,356577,107,1,354673
0,0,45278,101,0,42840
1,0,50723,121,1,48507
0,0,562476,174,1,560179
1,0,56175,85,0,53914
1,0,1621,64,1,2
0,0,1009290,44,0,1006993
1,0,11646,124,0,9286
0,0,487264,95,0,485114
1,0,47037,178,0,44773
0,0,371476,173,0,369323
0,0,477337,11,0,476408
1,0,828692,196,0,827244
1,0,53359,116,1,52601
0,0,1062,3,0,1
1,0,441740,93,1,439797
1,0,81519,12,1,79698
1,0,65232,218,0,62692
0,0,707127,47,0,704929
1,0,76316,29,0,74154
0,0,777368,224,1,775140
1,0,3230,128,0,921
1,0,2056,48,0,2
0,0,4947,45,0,2638
1,0,372955,230,1,370655
0,0,2326647,17,0,2325364
1,0,11060,142,1,8994
1,0,4184,235,0,1923
1,0,59089,40,0,56687
1,0,113111,168,1,111105
1,0,79561,118,0,77369
0,0,1451239,129,1,1449053
0,0,805063,181,1,803291
1,0,170211,123,1,168412
1,0,4516,52,0,3179
0,0,611448,112,0,610807
1,0,5046,160,0,2860
0,0,1375691,120,1,1373202
1,0,4025,166,0,1761
1,0,2650,25,0,386
0,0,689616,82,1,687517
1,0,335828,156,1,333633
0,0,1204656,199,1,1202680
1,0,7012,6,1,5501
1,0,2096,146,1,747
0,0,1138,5,0,2
0,0,1116077,153,1,1113876
0,0,1189025,190,1,1186812
0,0,496899,102,1,495853
1,0,15153,208,0,12949
0,0,1027491,76,0,1024990
1,0,20107,68,0,17801
0,0,799420,225,1,796943
1,0,391932,8,0,389746
0,0,3932,163,0,1401
0,0,914046,62,0,913312
0,0,244454,159,0,243822
0,0,394758,20,0,393970
0,0,574603,171,0,572120
1,0,4883,41,1,2628
0,0,252998,132,1,250869
0,0,2976,165,0,781
1,0,92964,94,1,90784
1,0,7454,51,0,5259
1,0,654471,75,1,652312
0,0,2907,35,0,667
1,0,4593,1,0,2230
1,0,1705791,89,0,1703299
0,0,598394,170,1,596190
0,0,2152,10,0,38
0,0,507624,193,0,505363
0,0,459000,175,1,456733
0,0,123424,232,1,121439
1,0,53099,223,0,50910
1,0,3147,42,0,535
0,0,7548,53,0,5362
0,0,11573,110,0,9210
1,0,81116,4,0,80040
0,0,703891,72,0,701787
1,0,351915,202,0,350539
1,0,6111,23,0,4843
1,0,299939,227,1,297915
1,0,115059,161,0,112891
1,0,1036,15,0,2
1,0,28523,81,0,26538
0,0,547726,135,1,545198
0,0,19404,201,0,17227
0,0,1039862,77,0,1037046
1,0,2191081,88,0,2188577
0,0,52834,185,1,50840
1,0,13918,122,1,11750
1,0,18062,134,1,16122
1,0,62927,150,1,60651
1,0,34512,91,1,32440
0,0,5683,55,0,3845
0,0,1835456,207,1,1833030
0,0,711734,31,0,710958
0,0,482055,113,0,479794
1,0,89110,209,1,86993
1,0,71096,139,0,68619
1,0,7735,187,0,5258
0,0,2352753,131,0,2351474
0,0,5117,217,1,2943
1,0,120751,188,0,119534
0,0,9642,212,0,7252
0,0,28514,111,0,26043
1,0,1699,86,0,101
0,0,3774,18,1,1570
0,0,468090,39,1,465892
0,0,811009,211,1,808763
0,0,619207,205,1,617003
0,0,369971,59,0,367785
1,0,10067,28,1,8418
0,0,1108,162,1,1
0,0,3468,70,0,1171
0,0,813661,183,1,811541
0,0,560608,182,0,558551
0,0,961848,154,1,959689
0,0,915393,61,0,914149
1,0,6868,186,0,4559
1,0,50074,191,0,47909
0,0,487691,30,0,485538
1,0,17178,108,1,14941
0,0,669010,133,0,666635
1,0,2335,172,0,101
1,0,798,167,0,1
0,0,1159648,144,0,1157084
1,0,140815,228,0,140096
1,0,3637,164,0,1680
1,0,5471,138,0,3207
1,0,5333,21,0,3093
1,0,8253,103,1,6340
0,0,477141,200,0,476586
0,0,5583,99,0,3223
1,0,20192,204,1,18165
0,0,636865,79,1,634829
0,0,180595,119,0,178343
0,0,827,14,0,3
1,0,122003,229,1,119982
1,0,16433,195,0,14709
1,0,35613,197,1,33460
0,0,16106,73,1,14127
0,0,194620,125,0,192110
1,0,85349,65,0,84366
1,0,303473,216,0,301437
1,0,49973,26,0,48072
0,0,7225,106,0,4853
1,0,3201,58,0,2560
1,0,17152,137,0,14774
1,0,43304,158,0,40902
1,0,52112,104,0,49749
1,0,316113,226,0,313945
1,0,3704,22,0,1446
1,0,4679,115,0,2307
1,0,60946,147,1,58898
0,0,1287,19,1,1
1,0,3133,50,0,824
0,0,23314,236,0,21104
0,0,763294,177,0,761027
0,0,411395,36,1,410220
1,0,51771,234,1,49540
0,0,469090,33,1,466913
0,0,909502,74,0,907241
1,0,68193,148,0,66007
1,0,315631,215,0,313523
0,0,480279,206,1,478171
0,0,609383,78,1,607077
0,0,377705,98,0,375522
0,0,400277,27,0,398004
0,0,702444,213,0,701878
1,0,369509,60,1,367296
1,0,5540,43,0,3963
0,0,526037,38,0,525222
1,0,57522,126,0,55348
1,0,28472,221,1,26358
1,0,3258,210,1,754
1,0,66424,233,0,64094
1,0,16197,179,1,13717
1,0,1669,46,0,2
0,0,399311,92,1,397290
0,0,646569,184,0,644707
1,0,27218,67,1,24993
0,0,2152465,192,0,2150273
0,0,5726,0,1,3723
1,0,1909430,130,1,1907460
0,0,1835184,66,0,1832923
1,0,27070,141,0,24536
1,0,311650,214,0,309482
1,0,6765,194,0,4204
1,2,1518,57,0,1
0,0,477984,151,1,475453
1,0,19107,105,1,16912
1,0,2336,149,1,3
0,0,468765,84,1,466540
1,0,4334,96,0,1968
0,0,1028709,169,1,1026565
1,0,224206,203,1,222371
1,0,92121,140,0,90979
0,0,731499,32,1,729406
1,0,7491,127,0,5182
0,0,1333,16,0,3
1,0,14203,56,0,11819
0,0,1475,2,0,3
0,0,471716,220,0,470270
0,0,2123600,87,0,2121408
0,0,669243,189,1,667156
1,0,18709,34,0,16532
1,0,6479,136,0,5838
0,0,668634,157,0,666520
