Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1097,13,13,7,0,53,51,1
1,0,30308,54,54,6,0,11,2,27168
1,0,81368,21,21,2,1,82,22,80808
0,0,763,10,10,1,0,25,52,5
0,0,703218,19,19,8,0,27,36,701626
1,0,5286,83,83,2,1,30,75,4336
1,0,93861,100,100,2,1,48,32,92599
0,0,716461,50,50,6,0,49,38,713525
0,0,581462,112,112,5,0,24,4,578019
0,0,212280,148,148,8,0,31,10,211864
0,0,38881,133,133,2,1,57,86,36347
0,0,297517,82,82,6,0,86,14,294389
1,0,83014,122,122,8,0,89,22,81473
1,0,720,141,141,8,0,28,92,1
0,0,666404,22,22,8,0,26,24,665952
1,0,30302,0,0,2,1,85,31,29316
1,0,5807,131,131,2,1,33,26,3882
1,0,118859,98,98,2,1,34,9,115842
0,0,9728,43,43,6,0,39,67,6585
0,0,12029,48,48,8,0,87,69,11478
0,0,315827,126,126,6,0,78,15,312663
1,0,4234,79,79,2,1,43,73,3116
0,0,99546,110,110,2,1,28,12,97369
1,0,32123,61,61,2,1,49,10,29739
0,0,929052,124,124,2,1,85,31,925927
1,0,4123,91,91,5,0,1,76,1628
0,0,116617,57,57,6,0,42,13,113450
0,0,8113,67,67,2,1,90,70,5945
1,0,4229,138,138,6,0,50,89,1371
1,0,33235,7,7,8,0,77,9,30782
0,0,1206,16,16,8,0,86,53,1
0,0,789292,97,97,2,1,11,29,788021
1,0,53098,127,127,2,1,24,34,49949
1,0,99066,113,113,2,1,81,1,97825
0,0,318588,153,153,6,0,41,14,315535
0,0,1289,11,11,8,0,91,49,3
1,0,546,143,143,8,0,61,94,1
1,0,383983,5,5,2,1,58,46,383429
0,0,213521,149,149,2,1,49,10,212382
1,0,57661,45,45,2,1,55,41,55166
1,0,74545,151,151,2,1,67,8,72053
0,0,8781,28,28,2,1,47,59,5653
0,0,599,1,1,7,0,32,58,3
1,0,81855,146,146,6,0,15,10,78709
1,0,341238,29,29,2,1,72,4,338959
0,0,227216,80,80,8,0,68,43,225387
0,0,5181,105,105,2,1,87,79,4192
1,0,99079,55,55,2,1,3,2,97820
1,0,35758,6,6,7,0,77,9,35156
1,0,46653,89,89,2,1,18,38,44743
0,0,521345,25,25,6,0,54,1,518232
1,1,54155,60,60,6,0,37,10,50976
1,0,96937,121,121,2,1,60,30,96035
0,0,1771,20,20,8,0,18,55,5
0,0,9252,128,128,8,0,79,85,7177
1,0,1005,18,18,8,0,62,54,1
0,0,573456,49,49,2,1,31,3,572590
1,0,552643,118,118,2,1,29,20,550361
0,0,1017672,51,51,2,1,12,34,1015075
1,0,1291,14,14,8,0,92,56,11
1,0,55385,130,130,6,0,52,0,52233
0,0,6751,106,106,2,1,90,79,5450
1,0,3425,119,119,2,1,66,84,855
1,0,68231,99,99,6,0,73,23,65097
0,0,750258,9,9,7,0,69,38,748432
1,0,201286,39,39,2,1,3,21,199007
0,0,307836,152,152,8,0,41,14,304756
1,0,13944,65,65,5,0,0,44,11467
1,0,43791,74,74,6,0,77,9,40663
0,0,100486,56,56,2,1,44,13,98009
1,0,1126783,132,132,5,0,14,39,1124243
1,0,4790,125,125,6,0,20,63,1644
0,0,304,129,129,7,0,80,64,2
1,0,30678,115,115,7,0,40,9,29548
0,0,642289,108,108,6,0,47,8,639173
1,0,40231,111,111,7,0,16,82,38468
1,0,704,15,15,3,0,17,57,18
0,0,701522,73,73,2,1,33,26,698580
1,0,33620,88,88,6,0,67,38,30504
0,0,673825,85,85,2,1,72,26,670661
0,0,782421,66,66,2,1,72,26,781378
0,0,100844,35,35,7,0,70,12,99663
0,0,632799,52,52,6,0,68,19,629461
0,0,559272,84,84,6,0,52,40,556483
1,0,4270,38,38,5,0,83,42,1799
0,0,673601,77,77,2,1,79,27,670680
0,0,429068,86,86,6,0,84,25,425925
1,0,484,140,140,8,0,58,91,2
1,0,7065,72,72,2,1,73,72,6076
0,0,506906,101,101,0,0,86,14,503742
1,0,28960,2,2,2,1,85,31,27503
1,0,1651,95,95,2,1,15,62,830
0,0,302755,63,63,8,0,41,14,301802
0,0,1330,12,12,8,0,63,50,2
0,0,492209,24,24,2,1,81,1,489726
0,0,704396,17,17,8,0,44,36,703461
1,0,7840,71,71,2,1,9,16,6842
1,0,24175,40,40,6,0,19,47,21059
0,0,1482,107,107,2,1,42,80,1
0,0,3560,33,33,2,1,6,65,861
1,0,40333,120,120,6,0,23,84,37199
1,0,6322,47,47,6,0,19,15,3197
0,0,694715,135,135,2,1,33,26,691713
0,0,201983,147,147,2,1,49,10,197949
0,0,232598,155,155,2,1,31,3,230508
1,0,52289,87,87,6,0,10,38,48939
0,0,796646,64,64,2,1,11,29,794730
0,0,762911,104,104,2,1,33,26,760413
0,0,1815,94,94,2,1,50,78,1
1,0,11460,144,144,7,0,70,95,9091
0,0,767496,96,96,2,1,11,29,766105
1,0,341160,156,156,2,1,85,3,338881
0,0,135805,157,157,6,0,29,5,132644
0,0,458580,59,59,2,1,65,18,455587
1,0,2735,81,81,2,1,58,74,246
1,0,4884,53,53,2,1,71,46,1753
0,0,562767,62,62,6,0,55,6,559651
0,0,720169,30,30,6,0,48,23,717008
1,0,11360,93,93,6,0,42,77,8184
0,0,1011,8,8,8,0,37,48,1
0,0,7732,69,69,6,0,36,71,4595
0,0,696,116,116,7,0,79,83,1
1,0,153763,103,103,5,0,51,21,151067
0,0,329442,68,68,7,0,4,17,326975
1,0,5115,58,58,5,0,36,38,2545
0,0,296392,26,26,6,0,49,15,293633
1,0,36371,142,142,2,1,56,93,34218
0,0,326955,34,34,6,0,11,18,323962
0,0,532553,154,154,2,1,7,14,531252
