profession,profile_image,birth_date,cycle_base_cyclist_id,cycling_discipline,cq_ranking_male_cyclist_id,first_name,first_cycling_rider_id,events_participated,commons_category,pro_cycling_stats_cyclist_id,current_team,cyclist_name,birth_place,uci_rider_id,languages,cycling_archives_cyclist_id
0,9,10,,2,22592.0,6,16813.0,4,3,168788,0,6,12,86783.0,3,79571.0
0,10,0,47958.0,2,17652.0,15,6261.0,4,8,138855,14,14,8,64690.0,3,67624.0
0,3,13,68345.0,2,25600.0,4,37264.0,4,1,186245,0,4,11,94362.0,5,90733.0
0,1,3,,0,19925.0,1,18057.0,4,7,126914,6,1,10,68012.0,3,78437.0
0,5,1,,0,16630.0,17,7657.0,2,10,138444,8,16,3,77554.0,3,48368.0
0,7,5,,2,24796.0,0,33469.0,4,7,154756,7,0,0,110614.0,3,101277.0
0,7,12,,0,26976.0,14,,4,7,193982,12,17,14,,3,109171.0
0,2,4,54806.0,1,13803.0,5,14778.0,4,2,136241,11,5,17,68751.0,4,51395.0
0,8,9,56345.0,2,20861.0,16,16816.0,4,9,155558,4,15,4,86624.0,1,80972.0
0,12,14,70713.0,2,27116.0,2,55101.0,3,0,206266,1,2,15,106649.0,3,93900.0
0,11,8,,2,22704.0,12,33489.0,4,7,162154,2,12,7,89316.0,1,88323.0
0,7,17,,2,,10,76168.0,4,7,208282,10,10,2,164885.0,3,113385.0
0,7,16,81349.0,2,,7,89436.0,5,7,244431,3,7,16,,3,159878.0
0,0,11,58407.0,2,23636.0,13,27110.0,2,6,176951,9,13,13,94991.0,0,88521.0
0,7,6,,0,23257.0,3,34696.0,1,7,189493,5,3,1,109997.0,6,89945.0
0,7,2,,0,25064.0,8,32451.0,0,7,184619,13,8,5,109587.0,0,75507.0
0,6,15,71992.0,2,26637.0,11,61988.0,4,5,201838,15,11,6,111683.0,3,125323.0
0,4,7,58625.0,3,22713.0,9,28738.0,4,4,136188,16,9,9,89728.0,2,79968.0
