Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,29,3818,116,116,1,70,2061,0,1
0,67,497232,50,50,0,1,497002,4,0
1,39,1362603,63,63,1,35,1360342,0,0
1,4,10034,10,10,1,44,9492,0,0
1,50,553680,110,110,1,24,551527,0,1
1,16,720,117,117,1,49,1,0,0
0,63,551749,31,31,0,18,551012,4,0
1,64,160581,125,125,1,12,159610,0,1
1,53,2942,34,34,1,57,882,0,1
1,3,802663,59,59,1,29,801878,0,0
1,52,501852,60,60,1,33,499696,0,1
1,37,1105132,105,105,1,32,1103840,0,1
1,46,590889,94,94,1,15,588715,0,1
1,59,2356776,6,6,1,37,2355799,0,0
1,38,5081,18,18,1,11,2874,0,1
1,26,82404,9,9,1,38,80149,0,1
1,45,3053,21,21,1,51,873,0,0
1,17,1193345,104,104,1,32,1191366,0,0
1,44,195717,5,5,1,7,194815,0,0
1,61,395040,109,109,1,24,392911,0,1
1,69,1058918,107,107,1,34,1056777,0,0
1,10,114991,83,83,1,3,114542,0,1
1,17,161676,76,76,1,12,160684,0,1
1,36,2832,53,53,1,60,619,0,0
1,31,26356,42,42,1,58,24182,0,1
1,18,603844,95,95,1,15,602780,0,1
1,2,18169,8,8,1,16,16115,0,1
1,58,508321,33,33,1,2,506186,0,0
1,9,29015,27,27,1,55,27780,0,1
1,1,646319,101,101,1,13,643902,0,0
1,61,346367,41,41,1,24,344166,0,1
1,62,2179419,98,98,1,36,2176948,0,1
1,50,705460,51,51,1,24,703286,0,0
1,38,203063,79,79,1,6,200871,0,0
1,20,9199,103,103,1,67,7001,0,1
1,13,606833,36,36,1,37,604902,0,0
1,68,53186,22,22,1,0,51024,0,0
0,48,12912,3,3,0,42,12295,1,0
1,3,5374,106,106,1,68,4073,0,1
1,50,305003,100,100,1,24,302736,0,0
1,55,194168,87,87,1,18,192141,0,0
1,17,605835,112,112,1,32,604711,0,1
0,47,302402,44,44,0,12,301785,4,1
1,46,628874,57,57,1,15,628374,0,1
1,13,2355697,99,99,1,37,2354525,0,0
1,17,141673,126,126,1,12,140918,0,1
1,66,38921,61,61,1,11,36609,0,1
0,52,356850,23,23,0,40,356083,4,1
1,30,879776,19,19,1,27,877512,0,0
1,41,229342,91,91,1,27,227192,0,1
1,3,6731,35,35,1,29,4560,0,1
1,46,628270,37,37,1,15,627785,0,1
0,25,875271,71,71,0,32,874933,2,0
1,5,53693,58,58,1,30,52560,0,1
1,62,2001346,65,65,1,36,1998842,0,0
1,41,122127,119,119,1,71,120202,0,0
1,67,32651,26,26,1,54,31587,0,1
1,55,573072,92,92,1,18,571858,0,0
1,2,13846,12,12,1,45,12761,0,0
1,19,64228,74,74,1,22,62066,0,1
1,49,238993,67,67,1,25,236726,0,1
1,39,479217,77,77,1,14,477172,0,0
1,59,967593,55,55,1,37,965515,0,1
