Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,3114645,5,2,3113716,1
1,11827525,19,2,11825876,0
1,2584883,3,2,2583168,1
1,15222966,26,0,15221143,1
1,2484598,2,2,2482946,1
1,16536814,29,2,16535087,1
1,11110825,17,2,11109716,0
1,19198058,34,2,19196265,0
1,15208834,25,5,15207657,0
1,21652250,38,2,21651465,1
1,7265620,10,2,7263896,0
1,3408436,6,2,3406694,1
1,8102835,11,5,8101324,1
1,13536464,23,2,13535010,1
1,16035426,28,3,16034275,0
1,11338656,18,3,11337604,0
1,5858117,8,3,5857149,0
0,109749,41,2,108094,1
1,19719069,36,2,19717789,1
1,11903031,20,3,11901664,0
1,13602436,24,2,13600727,1
1,16940003,31,2,16938267,1
1,12475698,22,2,12473968,0
1,19493479,35,5,19491830,1
1,729313,0,2,727583,0
1,10013846,14,6,10011450,1
1,2078700,1,1,2077966,1
1,17697736,32,2,17696702,1
1,15966851,27,2,15965034,0
1,10739420,16,3,10738391,1
1,21644712,37,3,21643691,0
1,4856229,7,5,4855079,0
1,10151192,15,2,10149456,0
1,8727146,12,2,8725272,0
1,24170195,40,2,24168318,0
1,9500152,13,2,9498311,1
1,2789368,4,4,2788047,0
1,18084214,33,2,18082439,1
1,7182424,9,5,7181951,0
1,12085133,21,3,12083649,0
1,23930113,39,3,23929616,1
1,16543225,30,2,16541663,1
