Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,7608,41,41,1,90,6745,1
1,326018,102,102,1,22,323649,0
1,476915,37,37,1,3,476025,0
0,346408,204,204,0,61,346178,1
1,216862,124,124,1,55,214952,0
1,80177,230,230,1,13,78453,1
1,8014,84,84,1,10,5234,1
1,557,91,91,1,106,3,1
1,74182,14,14,1,21,73355,1
0,346850,203,203,0,61,346512,1
1,921959,64,64,1,35,919047,0
1,1129891,146,146,1,42,1128836,0
1,2216,40,40,1,89,1884,0
1,56787,222,222,1,64,55507,1
1,612,70,70,1,43,103,1
1,929,174,174,1,129,3,0
1,9109,153,153,1,27,6119,1
1,35665,151,151,1,27,33647,1
1,223303,156,156,1,24,221369,0
1,30441,195,195,1,132,27628,1
1,1839347,130,130,1,53,1836461,0
0,71748,32,32,0,52,71398,1
1,122795,35,35,1,8,121053,0
1,1121147,213,213,1,42,1120731,0
1,216652,229,229,1,26,216302,1
1,53404,239,239,1,37,53066,1
1,20561,119,119,1,40,20007,1
1,215357,61,61,1,25,214062,1
1,543960,136,136,1,6,542011,0
1,23503,234,234,1,5,21764,1
1,57738,223,223,1,64,56893,1
1,857583,109,109,1,32,854629,0
1,615828,186,186,1,24,612868,0
1,3521,175,175,1,85,564,0
1,640889,122,122,1,14,638082,0
1,119855,181,181,1,7,118959,1
1,351059,63,63,1,58,348930,0
1,4441,69,69,1,51,1115,1
0,218,155,155,0,123,3,0
1,578507,187,187,1,24,577500,0
1,835,4,4,1,88,1,0
1,12423,126,126,1,25,10753,1
1,100170,26,26,1,13,98553,1
1,76293,27,27,1,59,74227,1
1,17384,123,123,1,115,15111,1
1,395,200,200,1,86,3,1
0,1415811,19,19,0,46,1415230,0
1,229154,238,238,1,7,227562,0
1,64517,121,121,1,59,64071,1
1,10942,199,199,1,30,10619,1
1,45868,112,112,1,45,44981,1
1,10805,106,106,1,112,10074,0
1,706956,36,36,1,27,704473,0
0,4265,65,65,0,100,3411,0
1,8105,58,58,1,97,5802,1
1,1034156,73,73,1,38,1031220,0
0,157631,184,184,0,50,157230,0
1,7838,214,214,1,135,7741,1
1,794,8,8,1,66,3,0
0,1231,13,13,0,73,899,1
1,51751,107,107,1,21,49106,0
1,2332647,198,198,1,54,2330257,0
1,114401,62,62,1,60,112584,1
1,41471,157,157,1,54,39177,1
1,1399795,23,23,1,46,1397420,0
1,6985,82,82,1,103,4031,1
1,46358,92,92,1,15,44298,1
1,1122061,145,145,1,42,1121249,0
1,535,6,6,1,65,1,0
1,11717,176,176,1,130,11061,0
1,629366,207,207,1,46,627348,0
1,34648,29,29,1,37,31775,1
1,56420,158,158,1,54,55923,1
1,42976,227,227,1,39,42014,1
1,2400,166,166,1,126,211,0
1,3058,138,138,1,120,647,0
1,33980,164,164,1,53,31590,1
1,358301,172,172,1,57,355485,0
0,202126,76,76,0,58,201683,0
1,83691,196,196,1,2,83233,1
1,33312,79,79,1,38,32212,1
1,393196,81,81,1,48,390821,1
1,368350,49,49,1,57,367493,0
1,23148,139,139,1,41,20869,1
1,877,16,16,1,76,2,0
1,1381,103,103,1,110,2,0
0,1130987,147,147,0,42,1130442,0
1,33975,34,34,1,26,32362,1
1,47107,231,231,1,13,46339,1
1,25397,152,152,1,27,23602,1
1,2035,128,128,1,118,1445,0
1,254233,180,180,1,35,251879,1
0,282,117,117,0,84,1,1
1,903359,160,160,1,53,902475,0
1,3364,170,170,1,128,1112,0
1,8634,59,59,1,98,6310,0
1,6051,110,110,1,83,3256,0
1,88109,218,218,1,24,87465,0
1,147,10,10,1,67,1,0
1,36817,150,150,1,27,35931,1
1,15156,24,24,1,78,14362,1
1,944659,161,161,1,53,941918,1
1,513917,236,236,1,5,513297,0
1,24472,188,188,1,14,23342,1
1,46075,232,232,1,13,44094,1
1,4117,224,224,1,47,1346,1
1,1991,178,178,1,131,321,1
1,7580,87,87,1,104,6150,1
1,317768,192,192,1,54,315381,0
0,581031,237,237,0,19,580762,0
1,783875,67,67,1,29,783721,0
1,929,17,17,1,74,492,0
1,6341,60,60,1,99,3546,0
1,28634,142,142,1,17,28311,1
1,392192,105,105,1,28,389835,0
0,2270,57,57,0,96,1968,1
0,17833,30,30,0,46,17345,1
1,609376,206,206,1,11,606950,0
1,2735,215,215,1,136,1362,1
1,1444050,22,22,1,46,1442287,0
1,6226,11,11,1,68,4295,0
1,481120,108,108,1,0,478592,0
1,215,5,5,1,117,3,0
1,2208,144,144,1,121,1,1
1,15743,205,205,1,31,15195,1
1,4959,100,100,1,109,2632,0
1,38673,90,90,1,105,38134,1
1,2184398,86,86,1,54,2181870,1
1,781276,167,167,1,30,779186,0
1,46181,183,183,1,14,45609,1
1,703894,114,114,1,22,701207,0
0,2029693,140,140,0,51,2028950,0
1,4564,44,44,1,92,2810,1
1,1582,12,12,1,70,692,1
1,3052,55,55,1,95,605,0
1,498493,235,235,1,5,497942,0
1,6017,220,220,1,138,3066,0
1,4965,125,125,1,116,2173,1
1,585603,189,189,1,12,583600,0
1,2706,88,88,1,82,1,1
1,89160,182,182,1,3,86623,1
1,88412,95,95,1,42,86619,1
1,101201,25,25,1,13,100433,1
1,6087,15,15,1,71,4936,1
1,1639600,197,197,1,53,1637255,0
1,1686,2,2,1,75,1,1
1,10351,177,177,1,131,7736,1
1,1338938,193,193,1,46,1337487,0
1,699100,71,71,1,23,696140,0
