Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
0,0,301826,242,242,31,299487
1,0,32772,97,97,4,29866
1,0,373899,29,29,5,371611
1,0,721934,74,74,23,719244
0,0,428427,87,87,20,425755
1,0,1516533,43,43,32,1514173
0,0,465591,162,162,15,462814
1,0,54199,32,32,58,51578
1,0,952113,116,116,23,949273
1,0,1062895,234,234,31,1060310
1,0,199898,36,36,19,197364
0,0,404584,119,119,21,402206
0,0,473501,203,203,23,470631
0,0,246580,86,86,19,243767
0,0,33755,27,27,44,30969
0,0,355891,244,244,6,353552
1,0,993191,44,44,32,990858
1,0,1150558,193,193,23,1147775
0,0,1152306,222,222,24,1149583
0,0,1161129,167,167,32,1158613
1,0,32977,216,216,85,30248
1,0,33431,26,26,55,30843
0,0,184674,6,6,12,182293
1,0,1757922,189,189,32,1755496
0,0,553480,174,174,1,550610
0,0,16153,30,30,56,13502
1,0,292921,245,245,6,290183
0,0,256062,179,179,5,253732
0,0,25495,50,50,61,22811
1,0,8691,196,196,78,6085
1,0,180436,213,213,11,177890
1,0,15222,212,212,82,12538
0,0,849988,206,206,23,847319
1,0,1966199,103,103,31,1963551
0,0,546874,143,143,15,544250
0,0,1024944,233,233,31,1022305
0,0,519004,251,251,7,516413
0,0,1176004,166,166,32,1173581
1,0,82609,138,138,19,79808
1,0,447956,177,177,24,445458
0,0,735391,129,129,31,733043
0,0,1102343,226,226,24,1099539
0,0,1314205,89,89,32,1311887
1,0,1015945,209,209,23,1013150
1,0,204433,62,62,14,201761
1,0,1800605,108,108,31,1797939
1,0,125132,80,80,4,122370
0,0,17633,22,22,53,14982
0,0,4209,122,122,69,1423
0,0,187941,232,232,5,185287
0,0,1065877,199,199,26,1063010
0,0,425184,136,136,16,422410
0,0,513629,257,257,15,510834
1,0,568671,173,173,32,566338
0,0,1123469,221,221,24,1120611
0,0,432436,159,159,15,429818
1,0,218715,55,55,17,215884
1,0,86749,153,153,3,84020
0,0,396102,69,69,19,393418
0,0,107074,254,254,2,104540
0,0,622377,41,41,31,620053
0,0,389747,164,164,15,387120
0,0,422008,201,201,17,419294
0,0,185153,24,24,27,182502
0,0,378614,163,163,15,375975
0,0,309384,110,110,5,306937
1,0,585607,81,81,6,583331
0,0,7162,20,20,51,4697
1,0,650434,39,39,14,647633
1,0,23290,218,218,50,20606
0,0,9867,60,60,63,7462
1,0,442799,202,202,23,439932
0,0,1713823,8,8,30,1711409
0,0,700388,15,15,15,697620
0,0,14845,47,47,60,11996
0,0,8092,214,214,83,5759
1,0,13979,198,198,80,11352
0,0,1053239,112,112,23,1050549
0,0,15062,85,85,66,12438
1,0,1100880,195,195,23,1098211
