Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,7,53,51,1,0
0,0,30308,54,54,6,10,2,27168,1
1,0,81368,21,21,2,82,22,80808,1
0,0,763,10,10,1,24,52,5,0
0,0,703218,19,19,8,26,36,701626,0
1,0,5286,83,83,2,29,75,4336,1
1,0,93861,101,101,2,48,32,92599,1
0,0,716461,50,50,6,49,38,713525,0
0,0,581462,113,113,5,23,4,578019,0
0,0,212280,149,149,8,30,10,211864,0
1,0,38881,134,134,2,57,86,36347,0
0,0,297517,82,82,6,86,14,294389,0
0,0,83014,123,123,8,89,22,81473,1
0,0,720,142,142,8,27,92,1,1
0,0,666404,22,22,8,25,24,665952,0
1,0,30302,0,0,2,85,31,29316,1
1,0,5807,132,132,2,33,26,3882,1
1,0,118859,99,99,2,34,9,115842,1
0,0,9728,43,43,6,39,67,6585,0
0,0,12029,48,48,8,87,69,11478,0
1,0,6579,70,70,2,8,16,5257,1
1,0,4234,79,79,2,43,73,3116,1
1,0,99546,111,111,2,27,12,97369,0
1,0,32123,61,61,2,49,10,29739,1
1,0,929052,125,125,2,85,31,925927,0
0,0,4123,91,91,5,1,76,1628,1
0,0,116617,57,57,6,42,13,113450,0
1,0,8113,67,67,2,90,70,5945,0
0,0,4229,139,139,6,50,89,1371,1
0,0,33235,7,7,8,77,9,30782,1
0,0,1206,16,16,8,86,53,1,0
1,0,789292,98,98,2,10,29,788021,0
1,0,53098,128,128,2,23,34,49949,1
1,0,99066,114,114,2,81,1,97825,1
0,0,318588,154,154,6,41,14,315535,0
0,0,1289,11,11,8,91,49,3,0
0,0,546,144,144,8,61,94,1,1
1,0,383983,5,5,2,58,46,383429,1
1,0,213521,150,150,2,49,10,212382,0
1,0,57661,45,45,2,55,41,55166,1
1,0,74545,152,152,2,67,8,72053,1
1,0,8781,28,28,2,47,59,5653,0
0,0,599,1,1,7,31,58,3,0
0,0,81855,147,147,6,14,10,78709,1
1,0,341238,29,29,2,72,4,338959,1
0,0,227216,80,80,8,68,43,225387,0
1,0,5181,106,106,2,87,79,4192,0
1,0,99079,55,55,2,3,2,97820,1
0,0,35758,6,6,7,77,9,35156,1
1,0,46653,89,89,2,17,38,44743,1
0,0,521345,25,25,6,54,1,518232,0
0,1,54155,60,60,6,37,10,50976,1
1,0,96937,122,122,2,60,30,96035,1
0,0,1771,20,20,8,17,55,5,0
0,0,9252,129,129,8,79,85,7177,0
0,0,1005,18,18,8,62,54,1,1
1,0,573456,49,49,2,30,3,572590,0
1,0,552643,119,119,2,28,20,550361,1
1,0,1017672,51,51,2,11,34,1015075,0
0,0,1291,14,14,8,92,56,11,1
0,0,55385,131,131,6,52,0,52233,1
1,0,6751,107,107,2,90,79,5450,0
1,0,3425,120,120,2,66,84,855,1
0,0,68231,100,100,6,73,23,65097,1
0,0,750258,9,9,7,69,38,748432,0
1,0,201286,39,39,2,3,21,199007,1
0,0,307836,153,153,8,41,14,304756,0
0,0,13944,65,65,5,0,44,11467,1
0,0,43791,74,74,6,77,9,40663,1
1,0,100486,56,56,2,44,13,98009,0
0,0,1126783,133,133,5,13,39,1124243,1
0,0,4790,126,126,6,19,63,1644,1
0,0,304,130,130,7,80,64,2,0
0,0,30678,116,116,7,40,9,29548,1
0,0,642289,109,109,6,47,8,639173,0
0,0,40231,112,112,7,15,82,38468,1
0,0,704,15,15,3,16,57,18,1
1,0,701522,73,73,2,33,26,698580,0
0,0,33620,88,88,6,67,38,30504,1
1,0,673825,85,85,2,72,26,670661,0
1,0,782421,66,66,2,72,26,781378,0
0,0,100844,35,35,7,70,12,99663,0
0,0,632799,52,52,6,68,19,629461,0
0,0,559272,84,84,6,52,40,556483,0
0,0,4270,38,38,5,83,42,1799,1
1,0,673601,77,77,2,79,27,670680,0
0,0,429068,86,86,6,84,25,425925,0
0,0,484,141,141,8,58,91,2,1
1,0,7065,72,72,2,73,72,6076,1
0,0,506906,102,102,0,86,14,503742,0
1,0,28960,2,2,2,85,31,27503,1
1,0,1651,96,96,2,14,62,830,1
0,0,302755,63,63,8,41,14,301802,0
0,0,1330,12,12,8,63,50,2,0
1,0,492209,24,24,2,81,1,489726,0
0,0,704396,17,17,8,44,36,703461,0
0,0,225838,94,94,6,32,17,222980,0
0,0,24175,40,40,6,18,47,21059,1
1,0,1482,108,108,2,42,80,1,0
1,0,3560,33,33,2,6,65,861,0
0,0,40333,121,121,6,22,84,37199,1
0,0,296392,26,26,6,49,15,293633,0
1,0,694715,136,136,2,33,26,691713,0
1,0,201983,148,148,2,49,10,197949,0
1,0,232598,155,155,2,30,3,230508,0
0,0,52289,87,87,6,9,38,48939,1
1,0,796646,64,64,2,10,29,794730,0
1,0,762911,105,105,2,33,26,760413,0
1,0,1815,95,95,2,50,78,1,0
0,0,11460,145,145,7,70,95,9091,1
1,0,767496,97,97,2,10,29,766105,0
1,0,341160,156,156,2,85,3,338881,1
0,0,135805,157,157,6,28,5,132644,0
1,0,458580,59,59,2,65,18,455587,0
1,0,2735,81,81,2,58,74,246,1
1,0,4884,53,53,2,71,46,1753,1
0,0,562767,62,62,6,55,6,559651,0
0,0,720169,30,30,6,48,23,717008,0
0,0,11360,93,93,6,42,77,8184,1
0,0,1011,8,8,8,37,48,1,0
0,0,7732,69,69,6,36,71,4595,0
0,0,696,117,117,7,79,83,1,0
0,0,153763,104,104,5,51,21,151067,1
0,0,329442,68,68,7,4,17,326975,0
0,0,5115,58,58,5,36,38,2545,1
0,0,315827,127,127,6,78,15,312663,0
1,0,36371,143,143,2,56,93,34218,1
