Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,2,0,43,1168695,0
0,7476,0,2,0,60,127,0
0,609988,155,1,0,10,605538,1
1,1168419,160,3,1,50,1158055,1
0,1169344,39,1,0,44,1158920,0
1,18759,149,3,1,107,8548,1
0,52109,57,1,0,5,41772,1
0,18044,36,1,0,30,13358,1
0,424181,138,1,0,10,413739,0
0,225503,222,1,0,8,215040,0
0,940675,88,1,0,50,930293,1
0,330111,107,1,0,15,322282,0
0,458221,51,1,0,10,447770,1
0,328819,65,1,0,30,318764,0
0,18045,173,1,0,110,7588,0
0,83617,100,1,0,27,73238,1
1,743366,12,3,1,28,733188,0
1,723117,129,3,1,33,714922,0
1,796435,41,3,1,32,786038,0
1,296067,108,3,1,33,288610,0
0,5595,7,2,0,63,1,1
0,818767,118,1,0,29,810066,0
0,573981,156,1,0,10,563530,0
0,390898,218,1,0,34,380639,1
1,5380,25,3,1,75,2,1
0,46065,190,1,0,38,35644,1
0,842551,211,1,0,35,832124,0
0,63253,174,1,0,111,52823,1
0,78813,196,1,0,52,72588,1
0,149649,113,2,0,23,143326,0
0,816094,67,1,0,33,805796,0
0,11492,31,1,0,78,5925,1
0,26884,62,1,0,16,16478,1
0,22907,1,2,0,51,17262,1
0,13390,158,1,0,70,2987,0
0,193120,183,2,0,23,183374,0
0,9732,191,1,0,116,1,0
0,970184,184,1,0,46,959784,1
0,213628,99,1,0,53,203258,0
1,647211,114,3,1,46,636820,0
0,138304,215,1,0,13,127910,1
0,13701,150,1,0,108,3220,1
0,328850,46,1,0,29,318795,0
0,6482,4,2,0,62,3,0
0,2345195,165,1,0,52,2334792,0
1,24168,110,3,1,98,13795,0
0,459416,63,1,0,34,449073,1
0,3034,90,2,0,95,2,0
0,252973,111,1,0,34,245186,1
0,62951,93,1,0,54,52593,1
0,347060,219,2,0,34,339083,1
0,45907,205,2,0,51,38978,1
0,141214,130,1,0,27,130814,1
1,789447,212,3,1,35,779023,0
0,475972,77,2,0,2,470489,0
0,409474,179,1,0,33,399029,1
0,47512,123,1,0,29,39092,1
0,802151,13,1,0,51,791817,1
0,33876,199,1,0,121,23431,0
0,1717944,170,2,0,49,1709332,1
0,745319,38,1,0,32,734937,0
0,891588,19,1,0,37,881293,0
1,934030,201,3,1,49,926063,1
0,127475,171,1,0,55,117093,1
0,13163,66,1,0,87,2601,0
0,31191,119,1,0,35,20812,1
0,7954,192,2,0,117,2,0
0,229560,213,1,0,28,219184,1
0,571102,14,1,0,39,563645,0
0,69531,217,1,0,13,59128,1
0,5243,69,1,0,88,2,0
0,9826,23,2,0,74,2831,0
1,12411,133,3,1,102,1858,1
0,7614,2,0,0,61,1030,1
0,54831,125,1,0,52,44338,1
0,2370774,163,1,0,51,2360422,0
0,40663,197,1,0,120,30197,1
