Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1097,13,0,51,1
1,30308,54,0,2,27168
1,81368,21,1,22,80808
0,763,10,0,52,5
0,703218,19,0,36,701626
1,5286,81,1,75,4336
1,93861,100,1,32,92599
0,716461,50,0,38,713525
0,581462,112,0,4,578019
0,213521,149,1,10,212382
0,38881,133,1,86,36347
0,302755,62,0,14,301802
1,83014,122,0,22,81473
1,720,141,0,92,1
0,666404,22,0,24,665952
1,30302,0,1,31,29316
1,5807,131,1,26,3882
1,140526,98,0,9,137425
0,9728,43,0,67,6585
0,12029,48,0,69,11478
1,6579,69,1,16,5257
1,4234,77,1,73,3116
0,100844,35,0,12,99663
1,54155,60,0,10,50976
0,929052,124,1,31,925927
1,4123,89,0,76,1628
0,297517,80,0,14,294389
0,8113,66,1,70,5945
1,4229,138,0,89,1371
1,35758,6,0,9,35156
0,1206,16,0,53,1
0,789292,96,1,29,788021
1,53098,127,1,34,49949
1,99066,113,1,1,97825
0,506906,101,0,14,503742
0,1289,11,0,49,3
1,546,143,0,94,1
1,383983,5,1,46,383429
1,37772,136,0,11,34755
1,57661,45,1,41,55166
0,642289,108,0,8,639173
0,8781,28,1,59,5653
0,599,1,0,58,3
0,201983,147,1,10,197949
1,341238,29,1,4,338959
0,227216,78,0,43,225387
0,5181,105,1,79,4192
1,99079,55,1,2,97820
1,43791,73,0,9,40663
1,46653,87,1,38,44743
0,521345,25,0,1,518232
1,81855,146,0,10,78709
1,96937,121,1,30,96035
0,1771,20,0,55,5
0,9252,128,0,85,7177
1,1005,18,0,54,1
0,573456,49,1,3,572590
1,552643,118,1,20,550361
0,1017672,51,1,34,1015075
1,1291,14,0,56,11
1,55385,130,0,0,52233
0,6751,106,1,79,5450
1,3425,119,1,84,855
1,68231,99,0,23,65097
0,750258,9,0,38,748432
1,201286,39,1,21,199007
0,313484,153,0,14,310344
1,13944,64,0,44,11467
1,118859,97,1,9,115842
0,116617,57,0,13,113450
1,1126783,132,0,39,1124243
1,4790,125,0,63,1644
0,304,129,0,64,2
1,33235,7,0,9,30782
1,19635,115,0,9,16504
1,40231,111,0,82,38468
1,704,15,0,57,18
0,701522,72,1,26,698580
1,33620,86,0,38,30504
0,673825,83,1,26,670661
0,782421,65,1,26,781378
0,100486,56,1,13,98009
0,632799,52,0,19,629461
0,559272,82,0,40,556483
1,4270,38,0,42,1799
0,673601,75,1,27,670680
0,429068,84,0,25,425925
1,484,140,0,91,2
1,7065,71,1,72,6076
0,532553,154,1,14,531252
1,28960,2,1,31,27503
1,1651,94,1,62,830
0,307836,152,0,14,304756
0,1330,12,0,50,2
0,492209,24,1,1,489726
0,704396,17,0,36,703461
0,225838,92,0,17,222980
1,24175,40,0,47,21059
0,1482,107,1,80,1
0,3560,33,1,65,861
1,40333,120,0,84,37199
0,296392,26,0,15,293633
0,694715,135,1,26,691713
0,212280,148,0,10,211864
0,232598,155,1,3,230508
1,52289,85,0,38,48939
0,796646,63,1,29,794730
0,762911,104,1,26,760413
0,1815,93,1,78,1
1,11460,144,0,95,9091
0,767496,95,1,29,766105
1,341160,156,1,3,338881
0,135805,157,0,5,132644
0,458580,59,1,18,455587
1,2735,79,1,74,246
1,4884,53,1,46,1753
0,562767,61,0,6,559651
0,720169,30,0,23,717008
1,11360,91,0,77,8184
0,1011,8,0,48,1
0,7732,68,0,71,4595
0,696,116,0,83,1
1,153763,103,0,21,151067
0,329442,67,0,17,326975
1,5115,58,0,38,2545
0,315827,126,0,15,312663
1,36371,142,1,93,34218
0,326955,34,0,18,323962
1,6322,47,0,15,3197
0,772874,150,0,28,769737
1,74545,151,1,8,72053
0,220362,117,0,18,217744
1,40751,44,1,68,38379
1,5438,139,0,90,3198
1,8449,123,0,45,5315
0,99546,110,1,12,97369
0,11809,41,1,66,9641
0,8362,134,1,87,5834
1,96112,114,0,1,92984
1,7840,70,1,16,6842
1,16287,37,1,60,13156
1,371763,4,1,45,371065
1,3141,90,0,61,982
1,5564,42,1,36,2433
0,567659,27,0,33,567123
0,634208,32,0,39,633441
1,34862,88,0,28,34431
0,742903,102,1,23,741965
1,11203,46,1,41,8075
0,12199,145,1,96,10430
0,638513,74,1,7,636579
1,2165,137,0,88,1
0,676357,31,1,23,675068
1,46094,76,0,37,43491
1,301337,23,1,5,298548
1,48145,3,0,30,47690
1,11508,109,0,81,8902
0,1015710,36,0,35,1014604
