Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1097,13,7,50,1,0
0,30308,52,6,2,27168,1
1,56857,121,2,22,54575,1
0,763,10,1,51,5,0
0,703218,19,8,35,701626,0
1,5286,79,2,74,4336,1
1,93861,98,2,31,92599,1
0,716461,48,6,37,713525,0
0,581462,111,5,4,578019,0
0,212280,147,8,10,211864,0
1,38881,132,2,85,36347,0
0,297517,78,6,14,294389,0
1,81368,21,2,22,80808,1
0,720,140,8,91,1,1
1,742903,101,2,23,741965,0
1,30302,0,2,30,29316,1
0,429068,82,6,25,425925,0
1,118859,96,2,9,115842,1
0,9728,41,6,66,6585,0
0,12029,46,8,68,11478,0
0,315827,125,6,15,312663,0
1,4234,75,2,72,3116,1
1,99546,109,2,12,97369,0
1,32123,58,2,10,29739,1
1,929052,123,2,30,925927,0
0,4123,88,5,75,1628,1
0,116617,55,6,13,113450,0
1,8113,64,2,69,5945,0
0,4229,137,6,88,1371,1
0,33235,7,8,9,30782,1
0,1206,16,8,52,1,0
1,789292,95,2,28,788021,0
1,53098,126,2,33,49949,1
1,99066,112,2,1,97825,1
0,318588,152,6,14,315535,0
0,1289,11,8,48,3,0
0,546,142,8,93,1,1
1,383983,5,2,45,383429,1
1,213521,148,2,10,212382,0
1,57661,43,2,40,55166,1
1,74545,150,2,8,72053,1
1,8781,27,2,58,5653,0
0,599,1,7,57,3,0
0,81855,145,6,10,78709,1
1,341238,28,2,4,338959,1
0,227216,76,8,42,225387,0
1,5181,104,2,78,4192,0
1,99079,53,2,2,97820,1
0,35758,6,7,9,35156,1
1,46653,85,2,37,44743,1
0,521345,24,6,1,518232,0
0,54155,57,6,10,50976,1
1,96937,120,2,29,96035,1
0,1771,20,8,54,5,0
0,9252,127,8,84,7177,0
0,1005,18,8,53,1,1
1,573456,47,2,3,572590,0
0,632799,50,6,19,629461,0
1,1017672,49,2,33,1015075,0
0,1291,14,8,55,11,1
0,55385,129,6,0,52233,1
1,6751,105,2,78,5450,0
1,3425,118,2,83,855,1
0,765509,37,6,22,762384,0
0,750258,9,7,37,748432,0
0,153763,102,5,21,151067,1
0,307836,151,8,14,304756,0
0,13944,62,5,43,11467,1
0,43791,70,6,9,40663,1
1,100486,54,2,13,98009,0
0,1126783,131,5,38,1124243,1
0,4790,124,6,62,1644,1
0,304,128,7,63,2,0
0,30678,114,7,9,29548,1
0,642289,107,6,8,639173,0
0,40231,110,7,81,38468,1
0,704,15,3,56,18,1
1,694715,134,2,26,691713,0
0,33620,84,6,37,30504,1
1,5807,130,2,26,3882,1
1,762911,103,2,26,760413,0
0,100844,33,7,12,99663,0
1,506465,71,2,19,504186,1
0,559272,80,6,39,556483,0
0,4270,36,5,41,1799,1
1,824374,63,2,26,822413,0
1,672501,86,2,24,670264,0
0,484,139,8,90,2,1
1,7065,68,2,71,6076,1
0,506906,99,0,14,503742,0
1,28960,2,2,30,27503,1
1,1651,93,2,61,830,1
0,302755,60,8,14,301802,0
0,1330,12,8,49,2,0
1,492209,23,2,1,489726,0
0,704396,17,8,35,703461,0
1,7840,67,2,16,6842,1
0,24175,38,6,46,21059,1
1,1482,106,2,79,1,0
1,3560,31,2,64,861,0
0,40333,119,6,83,37199,1
0,6322,45,6,15,3197,1
1,673825,81,2,26,670661,0
1,201983,146,2,10,197949,0
1,232598,154,2,3,230508,0
0,52289,83,6,37,48939,1
1,796646,61,2,28,794730,0
1,714709,100,2,26,711560,0
1,1815,92,2,77,1,0
0,11460,143,7,94,9091,1
1,767496,94,2,28,766105,0
1,341160,155,2,3,338881,1
0,135805,156,6,5,132644,0
0,326955,32,6,18,323962,0
1,2735,77,2,73,246,1
1,4884,51,2,45,1753,1
0,562767,59,6,6,559651,0
1,676357,29,2,23,675068,0
0,11360,90,6,76,8184,1
0,1011,8,8,47,1,0
0,7732,65,6,70,4595,0
0,696,115,7,82,1,0
1,552643,117,2,20,550361,1
0,225838,91,6,17,222980,0
0,5115,56,5,37,2545,1
0,296392,25,6,15,293633,0
1,36371,141,2,92,34218,1
0,220362,116,5,18,217744,0
1,532553,153,2,14,531252,0
0,772874,149,6,27,769737,0
1,638513,72,2,7,636579,0
1,685611,69,2,17,683131,0
1,40751,42,2,67,38379,1
0,5438,138,7,89,3198,1
0,8449,122,6,44,5315,1
0,37772,135,6,11,34755,1
1,11809,39,2,65,9641,0
1,8362,133,2,86,5834,0
0,96112,113,6,1,92984,1
1,6579,66,2,16,5257,1
1,16287,35,2,59,13156,1
1,371763,4,9,44,371065,1
0,3141,89,7,60,982,1
1,5564,40,2,35,2433,1
0,567659,26,1,32,567123,0
0,634208,30,8,38,633441,0
0,34862,87,1,27,34431,1
1,741862,157,2,23,740972,0
1,11203,44,2,40,8075,1
1,12199,144,2,95,10430,0
1,631461,73,2,7,630235,0
0,2165,136,7,87,1,1
0,68231,97,6,23,65097,1
0,46094,74,5,36,43491,1
1,301337,22,2,5,298548,1
0,48145,3,4,29,47690,1
0,11508,108,5,80,8902,1
0,1015710,34,6,34,1014604,0
