Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,56,1160395,347,1,22,1159709,0
1,0,156,18293,404,1,95,17649,0
0,0,24,7200,135,0,45,6637,0
0,0,100,55025,359,0,83,54438,0
0,0,96,1464254,89,0,28,1463646,0
0,0,14,494817,204,0,23,494134,1
0,0,62,2016292,329,0,27,2015537,0
0,0,90,9057,388,0,90,8128,0
0,0,130,4555,133,0,64,3962,0
0,0,58,683253,99,0,28,682675,0
1,0,112,844685,368,1,22,844098,0
1,0,37,112468,401,1,94,111971,0
0,0,139,4870,340,0,78,4217,0
0,0,130,2682,265,0,76,1954,0
0,0,142,163066,8,0,8,162521,1
0,0,160,1955674,332,0,28,1955171,0
0,0,96,756041,100,0,28,755460,1
0,0,75,1368555,309,0,28,1367977,1
0,0,28,1487064,93,0,28,1486369,1
0,0,63,36247,73,0,15,35642,1
0,0,5,265007,259,0,23,264339,0
0,0,106,120884,35,0,14,120498,0
0,0,58,1921473,109,0,28,1920904,1
0,0,99,458814,352,0,17,458125,0
0,0,26,308712,370,0,16,308044,0
0,0,41,548591,227,0,19,548190,0
0,0,75,1604078,117,0,28,1603452,0
0,0,76,85370,62,0,58,84681,0
0,0,42,17407,262,0,74,16820,0
0,0,167,1033564,299,0,18,1032920,0
1,0,41,1738968,28,1,27,1738420,0
0,0,89,6677,379,0,86,6162,1
0,0,157,278070,223,0,3,277438,1
0,0,58,1731530,336,0,28,1730895,0
0,0,112,477620,207,0,6,476973,0
0,0,88,567879,381,0,20,567310,0
0,0,42,10321,127,0,61,9749,0
0,0,96,1686468,113,0,28,1685914,0
0,0,42,7629,231,0,70,6979,0
0,0,104,1645,356,0,83,1004,0
0,0,150,376974,56,0,3,376393,1
1,0,117,807869,25,1,27,807330,1
0,0,128,426818,138,0,4,426186,1
0,0,42,39701,53,0,57,39237,1
0,0,14,307213,260,0,23,306524,0
0,0,126,782,47,0,54,129,1
0,0,58,1132814,317,0,28,1132212,1
0,0,67,30799,74,0,15,30158,1
0,0,98,159847,68,0,14,159101,1
0,0,122,717564,271,0,27,716974,1
0,0,58,1637787,115,0,28,1637185,1
0,0,150,487905,171,0,3,487330,0
1,0,137,356421,430,1,13,355831,1
0,0,96,1932015,108,0,28,1931470,0
0,0,71,2027,40,0,52,1341,0
0,0,58,1743790,335,0,28,1743146,0
0,0,65,515441,208,0,6,514617,0
0,0,152,1118634,319,0,28,1117975,1
1,0,9,347837,18,1,3,347313,0
0,0,157,250738,323,0,3,250097,0
0,0,166,1579,3,0,34,1004,1
0,0,114,570400,77,0,7,569783,0
0,0,163,552848,146,0,22,552180,1
0,0,130,52129,266,0,76,51491,0
1,0,31,19103,380,1,86,18480,1
0,0,38,4829,258,0,73,4128,0
0,0,6,599763,234,0,10,598996,1
0,0,26,436400,12,0,16,435816,0
0,0,34,1148872,410,0,27,1148204,0
0,0,82,339516,226,0,3,338926,0
0,0,84,1581481,216,0,26,1580900,1
0,0,169,1081012,406,0,27,1080440,1
0,0,20,15668,344,0,79,15015,0
0,0,150,6518,304,0,1,5874,1
0,0,31,26110,306,0,14,25487,1
1,0,145,504309,428,1,4,503911,1
0,0,77,668902,150,0,22,668282,1
0,0,149,1995197,218,0,27,1994529,0
0,0,143,216763,322,0,3,216122,0
1,0,108,588625,158,1,4,587969,1
0,0,64,416038,383,0,31,415541,0
1,0,79,463493,102,1,0,462885,1
0,0,153,14001,394,0,92,13402,1
1,0,56,385637,21,1,22,384969,0
0,0,92,602338,320,0,6,601643,1
0,0,87,1845,389,0,91,1489,1
0,0,25,314714,124,0,12,314181,0
0,0,27,1473130,88,0,28,1472456,0
0,0,48,1134002,408,0,27,1133424,1
0,0,110,444695,32,0,3,444042,0
0,0,149,42175,386,0,88,41594,0
0,0,42,9261,129,0,62,8539,0
0,0,157,382637,58,0,3,382086,0
0,0,120,35038,303,0,1,34388,1
0,0,23,416102,249,0,16,415509,0
1,0,105,13194,349,1,81,12661,1
0,0,55,641578,84,0,11,640880,1
0,0,97,320021,423,0,4,319437,1
0,0,158,70385,300,0,15,69732,0
0,0,147,2893,384,0,87,2228,0
0,0,54,36160,20,0,14,35462,1
1,0,65,628319,185,1,13,627354,1
0,0,69,1066542,405,0,27,1065931,1
0,0,21,438865,351,0,17,438233,0
0,0,133,331967,154,0,16,331098,0
1,0,56,499409,366,1,22,498789,0
0,0,168,262228,38,0,22,261515,0
0,1,98,340144,413,0,14,339536,0
0,0,21,224418,168,0,17,223792,0
0,0,42,17055,49,0,56,16375,0
0,0,68,1049,286,0,48,204,1
0,0,116,807166,153,0,22,806492,1
1,0,117,874302,276,1,27,873739,1
0,0,73,281,10,0,36,3,1
0,0,53,16035,342,0,78,15472,0
0,0,31,301818,280,0,14,301183,1
0,0,73,6125,11,0,36,5631,1
0,0,114,578960,78,0,7,578253,0
0,0,122,1670681,29,0,27,1670067,0
1,0,112,544317,148,1,22,543658,0
0,0,46,278450,245,0,16,277617,0
0,0,109,482096,255,0,16,481446,0
0,0,126,16573,166,0,66,15977,0
0,0,0,1236,126,0,44,691,0
0,0,160,2152710,107,0,28,2152117,1
0,0,21,218124,167,0,17,217234,0
0,0,42,497850,296,0,10,497083,1
0,0,55,653543,85,0,11,652923,1
0,0,17,729959,97,0,28,729363,0
0,0,98,350824,414,0,14,350453,1
0,0,6,584282,134,0,10,583626,1
0,0,47,425782,142,0,14,425384,0
1,0,129,1261581,324,1,26,1260970,0
0,0,49,160801,403,0,94,160181,0
1,0,102,10872,105,1,60,10210,0
0,0,45,412598,282,0,30,411981,1
0,0,42,514088,295,0,10,513441,1
0,0,6,667099,4,0,10,666332,1
0,0,119,244449,290,0,16,243556,0
0,0,23,223254,291,0,16,222562,0
0,0,21,266589,177,0,17,265723,0
0,0,160,1078119,194,0,28,1077559,0
0,0,6,198335,43,0,10,197730,1
0,0,160,1243238,188,0,28,1242540,1
0,0,5,1176204,399,0,23,1175530,0
0,0,154,6197,387,0,89,5628,0
0,0,57,38888,80,0,14,38181,1
0,0,17,374682,42,0,28,374062,0
0,0,160,1420673,92,0,28,1420101,0
0,0,74,388432,196,0,29,388043,1
0,0,126,70633,60,0,58,70109,0
0,0,125,11230,374,0,49,10535,0
0,0,70,694973,307,0,27,694383,0
0,0,136,1677970,119,0,28,1677395,0
0,0,22,5761,375,0,50,5141,0
0,0,101,1886263,219,0,27,1885670,0
0,0,135,311313,422,0,4,310645,1
0,0,98,274287,174,0,14,273715,1
0,0,118,456160,321,0,23,455483,0
