Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,301826,244,244,2,0,31,299487
1,0,32772,97,97,1,1,4,29866
1,0,373899,28,28,2,0,5,371611
0,0,736453,78,78,3,0,23,733583
1,1,190552,79,79,2,0,21,188093
1,0,1516533,42,42,2,0,32,1514173
0,0,476728,162,162,2,0,15,474101
1,0,54199,31,31,2,0,58,51578
1,0,988200,210,210,2,0,23,985546
1,0,1062895,235,235,2,0,31,1060310
0,0,246580,86,86,2,0,19,243767
0,0,758419,44,44,2,0,22,756089
0,0,488327,206,206,3,0,23,485541
0,0,322020,238,238,1,1,19,319249
0,0,33755,26,26,2,0,44,30969
0,0,355891,246,246,2,0,6,353552
1,0,993191,43,43,2,0,32,990858
1,0,1150558,196,196,1,1,23,1147775
0,0,1152306,224,224,2,0,24,1149583
0,0,1161129,169,169,2,0,32,1158613
1,0,32977,218,218,1,1,85,30248
1,0,33431,25,25,2,0,55,30843
1,0,504459,248,248,2,0,12,501763
1,0,1757922,192,192,2,0,32,1755496
0,0,553480,177,177,3,0,1,550610
0,0,16153,29,29,2,0,56,13502
1,0,292921,247,247,2,0,6,290183
0,0,256062,182,182,2,0,5,253732
0,0,25495,49,49,2,0,61,22811
1,0,8691,199,199,2,0,78,6085
0,0,200907,152,152,2,0,11,198367
1,0,15222,215,215,2,0,82,12538
0,0,867065,116,116,2,0,23,864531
1,0,1966199,103,103,2,0,31,1963551
0,0,557682,144,144,2,0,15,555076
0,0,1024944,234,234,2,0,31,1022305
0,0,519004,253,253,2,0,7,516413
0,0,1176004,168,168,2,0,32,1173581
1,0,156435,33,33,3,0,19,153649
1,0,447956,180,180,2,0,24,445458
0,0,735391,128,128,2,0,31,733043
0,0,1102343,228,228,2,0,24,1099539
0,0,1314205,89,89,2,0,32,1311887
1,0,1034195,212,212,2,0,23,1031508
1,0,650434,38,38,3,0,14,647633
1,0,1800605,108,108,2,0,31,1797939
1,0,125132,80,80,2,0,4,122370
0,0,17633,21,21,1,1,53,14982
0,0,4209,121,121,2,0,69,1423
0,0,187941,233,233,2,0,5,185287
0,0,1065877,202,202,2,0,26,1063010
0,0,432191,135,135,2,0,16,429708
