Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,100,2,0,43,1168695,0
0,7476,1,0,102,2,0,60,127,0
0,609988,155,155,121,1,0,10,605538,1
1,1168419,160,160,35,3,1,50,1158055,1
0,1169344,40,40,27,1,0,44,1158920,0
1,18759,149,149,74,3,1,106,8548,1
0,52109,57,57,58,1,0,5,41772,1
0,18044,36,36,11,1,0,30,13358,1
0,424181,138,138,61,1,0,10,413739,0
0,225503,222,222,114,1,0,8,215040,0
0,940675,88,88,34,1,0,50,930293,1
0,330111,107,107,71,1,0,15,322282,0
0,458221,52,52,109,1,0,10,447770,1
0,328819,65,65,66,1,0,30,318764,0
0,18045,173,173,62,1,0,109,7588,0
0,83617,100,100,89,1,0,27,73238,1
1,743366,12,12,92,3,1,28,733188,0
1,723117,129,129,8,3,1,33,714922,0
1,796435,42,42,133,3,1,32,786038,0
1,296067,108,108,73,3,1,33,288610,0
0,5595,7,7,135,2,0,63,1,1
0,818767,118,118,119,1,0,29,810066,0
0,573981,156,156,121,1,0,10,563530,0
0,390898,218,218,71,1,0,34,380639,1
0,6832,25,25,103,2,0,75,2,1
0,46065,190,190,70,1,0,38,35644,1
0,842551,211,211,7,1,0,35,832124,0
0,63253,174,174,76,1,0,110,52823,1
0,78813,196,196,138,1,0,52,72588,1
0,149649,113,113,27,2,0,23,143326,0
0,816094,67,67,91,1,0,33,805796,0
1,11516,31,31,64,3,1,78,2172,0
0,26884,62,62,51,1,0,16,16478,1
0,22907,2,1,22,2,0,51,17262,1
0,5929,148,148,14,1,0,70,3,0
0,193120,183,183,96,2,0,23,183374,0
0,9732,191,191,19,1,0,115,1,0
0,970184,184,184,83,1,0,46,959784,1
0,213628,99,99,127,1,0,53,203258,0
1,647211,114,114,134,3,1,46,636820,0
0,138304,215,215,49,1,0,13,127910,1
0,13701,150,150,79,1,0,107,3220,1
