Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,3,12909,141,141,0,111,10807
0,0,123,6110,100,99,0,99,3849
0,0,40,457048,90,89,1,9,454787
0,0,137,478833,231,231,0,6,476677
0,0,91,16869,150,150,0,114,14662
0,0,49,552888,219,219,1,15,550654
0,0,98,835809,97,96,0,28,833647
1,0,123,3770,50,49,0,87,732
0,0,11,1069200,209,209,1,45,1067095
1,0,42,9061,55,54,1,72,6806
0,0,41,2776,153,153,0,115,509
1,0,30,76342,178,178,1,33,73994
0,0,110,1167843,143,143,1,41,1165567
1,0,1,3747,25,24,0,70,1363
0,1,89,692573,69,68,0,19,690150
1,0,88,27924,8,7,0,17,26149
0,0,0,754574,174,174,0,26,752403
0,0,50,1157625,116,116,1,42,1155433
1,0,36,12933,112,112,1,39,10912
1,0,25,96434,222,222,1,5,94266
1,0,24,45480,196,196,1,120,43330
0,0,65,604953,80,79,0,20,602554
0,0,2,5633,14,13,1,60,4134
0,0,111,763015,83,82,1,37,760970
1,0,48,4215,71,70,0,19,1969
0,0,87,480713,38,37,0,4,478230
1,0,66,114439,10,9,1,3,112868
0,0,60,14957,64,63,0,74,12933
1,0,126,61722,221,221,1,51,61057
0,0,21,45278,101,100,0,18,42840
1,0,55,50723,120,120,1,104,48507
0,0,68,562476,172,172,1,10,560179
1,0,31,56175,85,84,0,5,53914
1,0,85,1621,65,64,1,93,2
0,0,116,1009290,45,44,0,38,1006993
1,0,123,11646,123,123,0,105,9286
0,0,70,487264,95,94,0,17,485114
1,0,1,47037,176,176,0,118,44773
0,0,21,371476,171,171,0,18,369323
0,0,132,477337,12,11,0,9,476408
0,0,106,1835184,67,66,0,46,1832923
1,0,36,53359,114,114,1,39,52601
0,0,90,1062,4,3,0,69,1
1,0,12,441740,93,92,1,29,439797
1,0,7,81519,13,12,1,5,79698
1,0,113,71686,213,213,0,49,69566
0,0,118,707127,48,47,0,23,704929
1,0,58,65232,218,218,0,50,62692
0,0,112,777368,224,224,1,31,775140
1,0,54,3230,127,127,0,22,921
1,0,123,2056,49,48,0,86,2
0,0,123,4947,46,45,0,84,2638
1,0,12,372955,230,230,1,29,370655
0,0,110,2326647,18,17,0,52,2325364
1,0,64,11060,140,140,1,31,8994
1,0,122,4184,235,235,0,35,1923
1,0,86,59089,41,40,0,55,56687
1,0,49,113111,166,166,1,15,111105
1,0,86,79561,117,117,0,55,77369
0,0,73,1189025,189,189,1,50,1186812
0,0,43,805063,179,179,1,38,803291
0,0,23,1835456,205,205,1,47,1833030
1,0,123,4516,53,52,0,89,3179
0,0,96,611448,110,110,0,10,610807
1,0,108,5046,158,158,0,116,2860
0,0,16,1204656,197,197,1,44,1202680
1,0,16,4025,164,164,0,16,1761
1,0,41,2650,26,25,0,34,386
0,0,10,689616,82,81,1,52,687517
1,0,9,335828,154,154,1,29,333633
0,0,63,480279,204,204,1,44,478171
1,0,64,7012,7,6,1,31,5501
1,0,117,2096,144,144,1,112,747
0,0,123,1138,6,5,0,106,2
0,0,38,1116077,151,151,1,40,1113876
1,0,100,76316,30,29,0,50,74154
0,0,125,496899,102,101,1,1,495853
1,0,59,15153,206,206,0,30,12949
0,0,98,1027491,76,75,0,37,1024990
1,0,91,170211,122,122,1,48,168412
0,0,64,799420,225,225,1,31,796943
1,0,3,391932,9,8,0,57,389746
0,0,77,3932,161,161,0,117,1401
0,0,13,914046,63,62,0,33,913312
0,0,124,244454,157,157,0,19,243822
0,0,132,394758,21,20,0,9,393970
0,0,34,574603,169,169,0,21,572120
1,0,11,4883,42,41,1,81,2628
0,0,121,252998,130,130,1,28,250869
0,0,74,2976,163,163,0,76,781
1,0,110,92964,94,93,1,41,90784
1,0,123,7454,52,51,0,88,5259
0,0,67,470842,188,188,1,51,468923
0,0,95,2907,36,35,0,71,667
1,0,44,4593,2,1,0,17,2230
1,0,110,1705791,89,88,0,52,1703299
0,0,9,598394,168,168,1,21,596190
0,0,52,2152,11,10,0,59,38
0,0,31,507624,191,191,0,3,505363
0,0,68,459000,173,173,1,10,456733
0,0,56,123424,232,232,1,8,121439
1,0,120,53099,223,223,0,38,50910
1,0,76,3147,43,42,0,82,535
0,0,123,7548,54,53,0,90,5362
0,0,123,11573,109,108,0,102,9210
1,0,58,81116,5,4,0,13,80040
0,0,21,703891,72,71,0,23,701787
1,0,4,351915,200,200,0,56,350539
1,0,8,6111,24,23,0,67,4843
1,0,78,299939,227,227,1,11,297915
1,0,114,115059,159,159,0,22,112891
1,0,53,1036,16,15,0,62,2
1,0,132,28523,81,80,0,37,26538
0,0,20,547726,133,133,1,7,545198
0,0,116,19404,199,199,0,121,17227
0,0,132,1039862,77,76,0,37,1037046
1,0,129,2191081,88,87,0,52,2188577
0,0,27,52834,183,183,1,0,50840
1,0,7,13918,121,121,1,104,11750
1,0,32,18062,132,132,1,107,16122
1,0,104,62927,148,148,1,24,60651
1,0,115,34512,91,90,1,96,32440
0,0,123,5683,56,55,0,91,3845
1,0,51,828692,194,194,0,47,827244
0,0,21,711734,32,31,0,23,710958
0,0,30,482055,111,111,0,10,479794
1,0,93,89110,207,207,1,16,86993
1,0,44,71096,137,137,0,40,68619
1,0,97,7735,185,185,0,78,5258
0,0,27,2352753,129,129,0,52,2351474
0,0,101,5117,217,217,1,80,2943
1,0,80,120751,186,186,0,3,119534
0,0,17,9642,211,211,0,123,7252
0,0,123,28514,0,109,0,103,26043
1,0,57,1699,86,85,0,8,101
0,0,17,3774,19,18,1,64,1570
0,0,132,468090,40,39,1,2,465892
0,0,75,811009,210,210,1,32,808763
0,0,40,619207,203,203,1,9,617003
0,0,33,369971,60,59,0,54,367785
1,0,35,52112,104,103,0,43,49749
0,0,103,1108,160,160,1,75,1
0,0,123,3468,70,69,0,94,1171
0,0,111,813661,181,181,1,37,811541
0,0,84,560608,180,180,0,16,558551
0,0,18,961848,152,152,1,36,959689
0,0,68,915393,62,61,0,33,914149
1,0,112,6868,184,184,0,119,4559
1,0,134,50074,190,190,0,3,47909
0,0,121,487691,31,30,0,18,485538
1,0,128,17178,107,106,1,101,14941
0,0,13,669010,131,131,0,16,666635
1,0,15,2335,170,170,0,12,101
1,0,92,798,165,165,0,77,1
0,0,133,1159648,142,142,0,41,1157084
1,0,65,140815,228,228,0,11,140096
1,0,59,3637,162,162,0,33,1680
1,0,123,5471,136,136,0,110,3207
1,0,48,5333,22,21,0,65,3093
1,0,31,8253,103,102,1,41,6340
0,0,41,477141,198,198,0,7,476586
0,0,123,5583,99,98,0,98,3223
1,0,12,20192,202,202,1,29,18165
0,0,47,636865,79,78,1,20,634829
0,0,79,180595,118,118,0,58,178343
0,0,116,827,15,14,0,61,3
1,0,93,122003,229,229,1,11,119982
1,0,103,16433,193,193,0,79,14709
1,0,24,35613,195,195,1,120,33460
0,0,133,16106,73,72,1,95,14127
0,0,39,194620,124,124,0,53,192110
1,0,42,85349,66,65,0,4,84366
1,0,138,303473,216,216,0,12,301437
1,0,14,49973,27,26,0,23,48072
0,0,123,7225,106,105,0,100,4853
1,0,37,3201,59,58,0,73,2560
1,0,123,17152,135,135,0,109,14774
1,0,94,43304,156,156,0,55,40902
1,0,71,19107,105,104,1,43,16912
1,0,61,316113,226,226,0,11,313945
1,0,135,3704,23,22,0,66,1446
1,0,130,4679,113,113,0,39,2307
1,0,103,60946,145,145,1,52,58898
0,0,5,1287,20,19,1,68,1
1,0,123,3133,51,50,0,88,824
0,0,82,23314,236,236,0,2,21104
0,0,6,763294,175,175,0,26,761027
0,0,81,411395,37,36,1,13,410220
1,0,131,51771,234,234,1,35,49540
0,0,125,469090,34,33,1,1,466913
0,0,127,909502,74,73,0,34,907241
1,0,83,68193,146,146,0,25,66007
1,0,105,315631,215,215,0,12,313523
1,0,63,10067,29,28,1,44,8418
0,0,41,609383,78,77,1,20,607077
0,0,119,377705,98,97,0,57,375522
0,0,107,400277,28,27,0,10,398004
0,0,26,702444,212,212,0,22,701878
1,0,28,369509,61,60,1,13,367296
1,0,102,5540,44,43,0,83,3963
0,0,41,526037,39,38,0,3,525222
1,0,26,57522,125,125,0,22,55348
0,0,16,1375691,119,119,1,44,1373202
1,0,20,3258,208,208,1,122,754
1,0,122,66424,233,233,0,35,64094
1,0,64,16197,177,177,1,118,13717
1,0,123,1669,47,46,0,85,2
0,0,0,399311,92,91,1,14,397290
0,0,45,646569,182,182,0,12,644707
1,0,48,20107,68,67,0,49,17801
0,0,69,2123600,87,86,0,51,2121408
0,0,36,5726,1,0,1,124,3723
1,0,29,654471,75,74,1,51,652312
1,0,22,828777,108,107,1,46,827212
1,0,84,27070,139,139,0,16,24536
1,0,105,311650,214,214,0,12,309482
1,0,109,6765,192,192,0,79,4204
1,2,123,1518,58,57,0,92,1
0,0,25,477984,149,149,1,5,475453
0,0,38,1178466,115,115,0,42,1176085
1,0,136,2336,147,147,1,113,3
0,0,19,468765,84,83,1,52,466540
1,0,123,4334,96,95,0,97,1968
0,0,36,1028709,167,167,1,39,1026565
1,0,38,224206,201,201,1,34,222371
1,0,27,92121,138,138,0,40,90979
0,0,20,731499,33,32,1,23,729406
1,0,123,7491,126,126,0,22,5182
0,0,116,1333,17,16,0,63,3
1,0,46,14203,57,56,0,32,11819
0,0,78,1475,3,2,0,125,3
0,0,72,471716,220,220,0,5,470270
1,0,29,1909430,128,128,1,51,1907460
0,0,62,669243,187,187,1,18,667156
1,0,132,18709,35,34,0,27,16532
1,0,123,6479,134,134,0,108,5838
0,0,99,668634,155,155,0,24,666520
