Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1,674303,18,18,1,15,673725
1,35,947466,43,43,1,9,947014
0,35,587573,70,70,1,9,586902
1,0,478865,38,38,1,10,478194
1,30,1661430,19,19,1,13,1660327
0,27,9043,55,55,1,19,8369
0,17,430900,26,26,1,6,430274
1,30,1573901,39,39,1,13,1573260
0,34,37689,22,22,1,25,37021
1,7,4852,24,24,1,26,4175
1,40,546401,86,86,0,3,545733
0,0,1104782,81,81,1,10,1104102
1,22,670988,34,34,1,14,670362
1,3,1346554,52,52,0,15,1345826
1,23,1154177,65,65,1,9,1153497
1,40,1507852,59,59,1,13,1507205
1,26,430064,9,9,0,2,429414
0,40,1732531,56,56,1,13,1731896
0,34,2154696,61,61,1,14,2154196
0,28,1153891,12,12,1,12,1153361
0,0,1164151,78,78,1,10,1163459
0,4,136301,82,82,1,7,135930
1,0,23414,73,73,1,37,22770
0,0,1142124,77,77,1,10,1141357
0,1,1170502,53,53,1,15,1169873
1,14,388745,84,84,0,3,388080
1,30,1565614,1,1,1,13,1565111
1,39,743660,17,17,1,15,742947
0,15,40393,25,25,1,17,39713
0,23,1064488,66,66,1,9,1063814
0,35,475933,68,68,1,9,475256
0,8,17347,20,20,1,24,16595
0,20,16318,35,35,1,29,15653
0,8,905931,42,42,1,9,905182
0,30,509037,85,85,1,3,508240
0,25,28212,63,63,1,35,27637
1,40,1702393,5,5,1,13,1701380
1,25,472195,49,49,1,4,471323
0,38,10697,75,75,1,20,10023
0,23,829209,71,71,1,9,828511
0,10,143292,87,87,1,1,142738
0,13,211568,30,30,1,8,210975
1,0,179239,37,37,1,11,178622
1,12,17274,14,14,1,22,16765
0,32,487905,32,32,0,2,487330
1,29,18257,74,74,1,38,17595
0,9,7133,45,45,1,31,6462
0,19,17466,31,31,1,27,16792
0,14,624606,16,16,1,14,623983
0,19,1721960,41,41,0,13,1721430
0,37,7796,50,50,1,33,7137
1,40,1654501,40,40,1,13,1653854
1,16,1832,13,13,1,22,1149
1,14,2105453,23,23,1,14,2104848
0,2,11162,76,76,1,39,10509
1,25,20358,62,62,1,35,19783
1,40,1548861,60,60,1,13,1548016
0,14,974933,46,46,1,14,974307
1,40,1690792,4,4,1,13,1690151
0,24,9429,44,44,1,30,8836
1,14,840636,6,6,1,14,840031
0,36,755,54,54,1,19,93
0,0,1091842,79,79,1,10,1091081
1,21,4297,72,72,1,36,3704
0,14,989314,47,47,1,14,988862
0,39,381646,10,10,1,15,381053
1,26,5579,83,83,1,40,4953
0,0,1192387,80,80,1,10,1191707
0,0,405260,3,3,1,10,404595
0,18,25270,48,48,1,32,24593
1,0,524975,58,58,1,0,524382
0,41,1728460,2,2,0,13,1728161
0,23,570089,27,27,1,9,569511
1,0,590414,57,57,1,0,589821
0,35,738855,28,28,1,9,738181
0,18,4340,21,21,1,24,3579
1,6,5600,51,51,1,34,4947
1,14,2529,29,29,1,18,1873
0,11,3403,15,15,1,23,2810
0,4,71817,11,11,1,21,71311
0,31,1266,0,0,1,41,595
0,23,490761,69,69,1,9,490084
0,34,1682099,8,8,1,14,1681482
1,33,7594,7,7,1,16,6935
1,5,605502,67,67,1,5,604933
0,6,4574,33,33,1,28,3870
0,40,1728056,36,36,1,13,1727928
1,25,68829,64,64,1,35,68515
