Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,144,113,10807,1
0,0,6110,100,101,3849,0
1,0,457048,91,9,454787,0
0,0,478833,231,6,476677,0
0,0,16869,154,116,14662,0
1,0,552888,219,15,550654,0
1,0,20192,203,29,18165,1
0,0,3770,51,89,732,1
1,0,828777,109,48,827212,1
1,0,9061,56,74,6806,1
0,0,2776,157,117,509,0
1,0,211189,118,34,209180,1
1,0,7765,29,43,5519,1
0,0,3747,24,72,1363,1
0,1,692573,70,19,690150,0
0,0,27924,6,17,26149,1
0,0,763294,176,26,761027,0
0,0,1178466,117,44,1176085,0
1,0,53359,116,40,52601,1
1,0,96434,222,5,94266,1
1,0,45480,197,122,43330,1
0,0,604953,81,20,602554,0
1,0,5633,12,62,4134,0
1,0,813661,182,38,811541,0
0,0,4215,72,19,1969,1
0,0,480713,37,4,478230,0
1,0,114439,8,3,112868,1
0,0,14957,64,76,12933,0
1,0,356577,107,53,354673,0
0,0,45278,101,18,42840,0
1,0,50723,122,106,48507,1
1,0,562476,173,10,560179,0
0,0,56175,86,5,53914,1
1,0,1621,65,95,2,1
0,0,4679,115,40,2307,1
0,0,11646,125,107,9286,1
0,0,487264,96,17,485114,0
0,0,47037,178,120,44773,1
0,0,371476,172,18,369323,0
0,0,477337,10,9,476408,0
0,0,828692,195,49,827244,1
1,0,909033,32,40,906619,0
0,0,1062,3,71,1,0
0,0,15153,209,30,12949,1
1,0,81519,11,5,79698,1
0,0,65232,218,52,62692,1
0,0,710857,49,23,709519,0
0,0,76316,28,52,74154,1
1,0,799420,225,32,796943,0
0,0,7491,128,22,5182,1
0,0,2056,50,88,2,1
0,0,4947,45,86,2638,0
1,0,441740,94,29,439797,1
0,0,2326647,17,54,2325364,0
1,0,777368,224,32,775140,0
1,0,51771,234,36,49540,1
0,0,59089,40,57,56687,1
1,0,113111,169,15,111105,1
0,0,79561,119,57,77369,1
1,0,1451239,130,52,1449053,0
0,0,1009290,44,39,1006993,0
1,0,170211,124,50,168412,1
0,0,4516,54,91,3179,1
0,0,611448,112,10,610807,0
0,0,5046,160,118,2860,1
1,0,1375691,121,46,1373202,0
0,0,4025,166,16,1761,1
1,0,224206,202,35,222371,1
1,0,689616,83,54,687517,0
1,0,372955,230,29,370655,1
1,0,1204656,198,46,1202680,0
1,0,11060,143,32,8994,1
1,0,2096,147,114,747,1
0,0,1138,5,108,2,0
1,0,8253,103,42,6340,1
1,0,1189025,189,52,1186812,0
1,0,496899,102,1,495853,0
0,0,1474,16,31,101,1
0,0,1039862,77,38,1037046,0
0,0,20107,69,51,17801,1
0,0,14203,58,33,11819,1
0,0,391932,7,59,389746,1
0,0,3932,163,119,1401,0
0,0,915393,63,34,914149,0
0,0,244454,159,19,243822,0
0,0,394758,20,9,393970,0
0,0,574603,170,21,572120,0
1,0,4883,41,83,2628,1
1,0,519612,205,28,517492,1
0,0,2976,165,78,781,0
0,0,1159648,145,42,1157084,0
0,0,7454,53,90,5259,1
1,0,654471,76,53,652312,1
0,0,2907,35,73,667,0
0,0,4593,1,17,2230,1
0,0,1705791,90,54,1703299,1
0,0,3230,129,22,921,1
0,0,2152,9,61,38,0
0,0,507624,192,3,505363,0
1,0,459000,174,10,456733,0
1,0,123424,232,8,121439,0
1,0,805063,180,39,803291,0
0,0,3147,42,84,535,1
0,0,7548,55,92,5362,0
0,0,11573,110,104,9210,0
0,0,81116,4,13,80040,1
0,0,707127,48,23,704929,0
0,0,351915,201,58,350539,1
0,0,6111,23,69,4843,1
1,0,299939,227,11,297915,1
1,0,464804,167,22,462621,1
0,0,1036,14,64,2,1
1,0,763015,84,38,760970,0
1,0,547726,136,7,545198,0
0,0,19404,200,123,17227,0
0,0,53099,223,39,50910,1
0,0,2191081,89,54,2188577,1
1,0,52834,184,0,50840,0
1,0,13918,123,106,11750,1
1,0,18062,135,109,16122,1
1,0,436942,177,24,434816,0
1,0,34512,92,98,32440,1
0,0,5683,57,93,3845,0
1,0,1835456,208,49,1833030,0
1,0,731499,31,23,729406,0
0,0,482055,113,10,479794,0
1,0,89110,210,16,86993,1
0,0,92121,141,41,90979,1
0,0,7735,186,80,5258,1
0,0,2352753,132,54,2351474,0
1,0,5117,217,82,2943,0
0,0,120751,187,3,119534,1
0,0,9642,213,125,7252,0
0,0,28514,111,105,26043,0
0,0,1699,87,8,101,1
1,0,3774,18,66,1570,0
1,0,468090,39,2,465892,0
0,0,3637,164,34,1680,1
1,0,619207,206,9,617003,0
0,0,369971,61,56,367785,0
1,0,10067,27,46,8418,1
1,0,1108,162,77,1,0
0,0,3468,71,96,1171,0
0,0,1009265,78,38,1006986,0
0,0,560608,181,16,558551,0
0,0,28523,82,38,26538,1
