Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1713823,10,2,0,28,1711409
1,0,32772,101,1,1,4,29866
1,0,373899,32,2,0,5,371611
1,0,721934,79,2,0,23,719244
0,0,428427,92,3,0,20,425755
0,0,1324430,93,2,0,30,1322082
0,0,465591,162,2,0,15,462814
1,0,54199,35,2,0,55,51578
1,0,952113,118,1,1,23,949273
0,0,1024944,233,2,0,29,1022305
1,0,199898,39,1,1,19,197364
0,0,404584,120,2,0,21,402206
0,0,473501,202,3,0,23,470631
0,0,246580,91,2,0,19,243767
0,0,33755,30,2,0,41,30969
0,0,355891,244,2,0,6,353552
0,0,602339,48,2,0,30,600009
1,0,1100880,194,1,1,23,1098211
0,0,1123469,221,1,1,24,1120611
1,0,1147282,168,2,0,30,1144757
1,0,32977,216,1,1,82,30248
1,0,33431,29,2,0,52,30843
0,0,184674,7,2,0,12,182293
1,0,1516533,47,2,0,30,1514173
0,0,553480,173,3,0,1,550610
0,0,16153,33,2,0,53,13502
1,0,292921,245,2,0,6,290183
0,0,256062,178,2,0,5,253732
0,0,25495,54,2,0,58,22811
1,0,8691,195,2,0,75,6085
1,0,180436,213,2,0,11,177890
1,0,15222,212,2,0,79,12538
0,0,849988,205,2,0,23,847319
1,0,1919214,107,2,0,29,1916677
0,0,546874,143,2,0,15,544250
0,0,1014233,136,1,1,29,1011738
0,0,519004,251,2,0,7,516413
0,0,1161129,167,2,0,30,1158613
1,0,82609,139,3,0,19,79808
0,0,316755,121,1,1,24,314314
0,0,622377,45,2,0,29,620053
1,0,483376,100,2,0,24,480707
0,0,1176004,166,2,0,30,1173581
1,0,1015945,209,2,0,23,1013150
1,0,204433,67,2,0,14,201761
0,0,1745786,15,2,0,29,1743231
1,0,125132,85,2,0,4,122370
0,0,17633,25,1,1,50,14982
0,0,4209,123,2,0,66,1423
0,0,187941,232,2,0,5,185287
0,0,1035713,62,2,0,25,1032837
0,0,425184,137,2,0,16,422410
0,0,513629,257,3,0,15,510834
1,0,565358,87,2,0,30,563163
0,0,1115182,220,2,0,24,1112378
0,0,432436,159,1,1,15,429818
1,0,218715,59,2,0,17,215884
1,0,86749,153,1,1,3,84020
0,0,396102,74,1,1,19,393418
0,0,107074,254,1,1,2,104540
0,0,602587,46,2,0,29,600077
0,0,389747,164,1,1,15,387120
0,0,422008,200,2,0,17,419294
0,0,1065877,198,2,0,25,1063010
0,0,378614,163,2,0,15,375975
0,0,309384,112,2,0,5,306937
1,0,585607,86,2,0,6,583331
0,0,7162,23,2,0,48,4697
1,0,650434,43,3,0,14,647633
1,0,23290,218,2,0,47,20606
0,0,9867,65,2,0,60,7462
1,0,442799,201,1,1,23,439932
1,0,1695278,9,2,0,28,1692543
0,0,700388,17,2,0,15,697620
0,0,14845,51,3,0,57,11996
0,0,8092,214,2,0,80,5759
1,0,13979,197,1,1,77,11352
0,0,1045611,208,3,0,23,1042786
0,0,15062,90,2,0,63,12438
0,0,1061168,114,4,0,23,1059124
1,0,8115,172,3,0,46,5269
1,0,10893,95,2,0,31,8359
1,0,1966199,106,2,0,29,1963551
0,0,585177,204,3,0,23,582301
0,0,475012,142,2,0,7,472298
0,0,1314205,94,2,0,30,1311887
1,0,1096585,235,2,0,29,1093946
1,0,9580,196,1,1,76,6749
1,0,50888,152,2,0,20,48174
1,0,1062895,234,2,0,29,1060310
0,0,758419,49,2,0,21,756089
0,0,12594,151,2,0,73,9967
1,0,9089,217,2,0,82,6579
0,0,45075,126,1,1,69,42286
1,0,1578209,103,1,1,28,1575672
0,0,1818146,111,2,0,29,1815771
0,0,466038,176,2,0,24,463714
0,0,1851640,109,2,0,29,1848668
0,0,139709,253,2,0,1,138117
0,0,290907,119,1,1,21,288478
1,0,1171520,42,2,0,27,1169280
1,0,2047179,184,2,0,29,2044399
0,0,800723,165,2,0,22,798375
1,0,12158,13,2,0,40,9363
0,0,21771,88,2,0,61,19363
0,0,488327,203,3,0,23,485541
0,0,454333,158,2,0,15,451748
0,0,262330,243,2,0,6,259847
0,0,568854,259,2,0,15,566233
1,0,16377,145,2,0,71,13513
1,0,180486,38,2,0,19,177754
0,0,1596686,185,2,0,29,1594209
0,0,301826,242,2,0,29,299487
0,0,736453,83,3,0,23,733583
0,0,1006971,2,5,0,30,1005142
0,0,20976,61,2,0,43,18310
0,0,5331,150,2,0,72,2932
1,0,629809,115,3,0,13,627020
0,0,1816759,189,2,0,30,1814429
0,0,590672,258,1,1,15,588504
1,0,6553,122,2,0,65,4166
0,0,1152306,222,2,0,24,1149583
1,0,13678,156,2,0,3,10931
0,0,468388,72,3,0,6,465485
0,0,476059,149,1,1,5,473501
1,0,1152001,179,1,1,28,1149578
1,0,1007699,206,2,0,23,1005114
1,0,1129346,169,2,0,30,1126764
0,0,696919,77,2,0,23,694046
0,0,1156973,236,2,0,29,1154469
1,0,221070,141,2,0,9,218443
0,0,463778,84,2,0,16,460986
0,0,11062,6,2,0,36,8450
1,0,1553361,181,2,0,28,1550629
0,0,280853,68,2,0,23,278046
0,0,546370,50,2,0,8,543824
0,0,399549,238,2,0,16,396772
0,0,57145,60,3,0,43,54284
0,0,817323,82,2,0,23,814468
0,0,408107,19,1,1,5,405750
1,0,60414,227,2,0,84,57859
1,0,988200,207,2,0,23,985546
1,0,7898,12,2,0,39,5274
0,0,245264,52,2,0,0,242583
0,0,4732,125,2,0,68,2051
0,0,21506,63,2,0,59,18858
1,0,23129,128,3,0,70,20358
0,0,428401,73,2,0,18,425663
1,0,950785,134,2,0,29,948302
0,0,34218,64,2,0,59,31414
0,0,2065088,104,1,1,29,2062416
0,0,15093,157,3,0,19,12226
0,0,1251196,180,2,0,28,1248512
1,0,352788,249,2,0,18,350182
1,0,565683,140,2,0,6,563344
1,0,10603,8,3,0,37,7772
1,0,212927,0,5,0,13,211077
0,0,1200167,193,2,0,23,1197396
0,0,652210,99,2,0,8,649424
1,0,2201057,58,2,0,30,2198634
1,0,4709,34,2,0,54,2067
0,0,119436,255,2,0,2,116878
1,0,14331,230,2,0,85,11776
0,0,1633076,186,1,1,29,1630521
