Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,0,1037760,370,4,22,1037092
0,0,18293,404,3,96,17649
0,0,1236,126,4,44,691
0,0,55025,360,4,84,54438
0,0,1457890,90,4,28,1457246
1,0,487260,205,4,23,486679
0,0,1995197,222,4,27,1994529
0,0,9057,388,4,91,8128
0,0,28680,132,3,64,27985
0,0,622513,28,4,28,621803
1,0,807166,156,4,22,806492
0,0,112468,401,1,95,111971
0,0,4870,342,4,79,4217
0,0,2682,269,4,77,1954
1,0,163066,9,4,8,162521
0,0,1943209,10,4,28,1942577
0,0,735451,97,4,28,734867
1,0,1357417,313,4,28,1356881
1,0,1481322,93,4,28,1480762
1,0,36247,73,4,15,35642
0,0,1187163,348,4,22,1186465
0,0,120884,36,2,14,120498
1,1,1894275,111,4,28,1893637
0,0,438865,353,4,17,438233
0,0,308712,371,4,16,308044
0,0,1033564,302,4,18,1032920
0,0,1578872,120,4,28,1578312
0,0,77237,62,4,58,76545
0,0,17407,266,4,75,16820
0,0,497483,127,4,17,496893
1,0,1707996,30,4,27,1707370
1,0,6677,380,4,87,6162
1,0,278070,227,4,3,277438
0,0,1686468,112,4,28,1685914
0,0,477620,210,4,6,476973
0,0,565167,383,2,20,564760
1,0,3882,128,4,61,3223
0,0,1685667,117,0,28,1685527
0,0,7629,235,4,71,6979
0,0,1645,357,4,84,1004
1,0,376974,57,4,3,376393
0,0,767988,276,4,27,767290
1,0,426818,141,4,4,426186
0,0,7249,55,4,57,6641
0,0,265007,264,4,23,264339
0,0,28027,46,4,53,27344
1,0,1118634,322,4,28,1117975
1,0,30799,74,4,15,30158
1,0,159847,68,4,14,159101
0,0,694973,310,4,27,694383
0,0,1610144,115,4,28,1609563
0,0,487905,172,4,3,487330
1,0,356421,430,3,13,355831
1,0,1921473,108,4,28,1920904
1,0,10499,40,2,51,10110
0,1,1739252,338,4,28,1738602
0,0,515441,211,4,6,514617
1,0,1109679,319,4,28,1109041
0,0,347837,19,3,3,347313
0,0,250738,326,4,3,250097
1,0,4939,8,4,33,4241
0,0,570400,76,4,7,569783
0,0,544317,150,1,22,543658
0,0,52129,270,4,77,51491
1,0,19103,381,3,87,18480
0,0,4829,263,4,74,4128
1,0,599763,238,4,10,598996
0,0,430625,13,4,16,430509
1,0,1142859,409,4,27,1142287
0,0,339516,230,4,3,338926
1,0,1413348,214,4,26,1412725
1,0,1066542,405,4,27,1065931
0,0,15668,346,4,80,15015
1,0,6518,307,4,1,5874
1,0,26110,309,4,14,25487
1,0,504309,428,3,4,503911
1,0,610947,368,4,22,610288
0,0,1935320,221,4,27,1934724
0,0,216763,325,4,3,216122
1,0,588625,161,3,4,587969
1,0,412598,286,4,30,411981
1,0,463493,102,3,0,462885
1,0,14001,394,4,93,13402
0,0,276224,140,4,22,275592
1,0,602338,323,4,6,601643
1,0,1845,389,2,92,1489
0,0,314714,123,4,12,314181
0,0,1464254,89,4,28,1463646
1,0,1100102,407,4,27,1099440
0,0,444695,33,4,3,444042
0,0,42175,386,4,89,41594
0,0,1079,130,2,63,750
0,0,382637,59,4,3,382086
1,0,35038,306,4,1,34388
0,0,410050,253,4,16,409331
1,0,13194,351,3,82,12661
