Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,25,38827,225,225,1,25,35924,3,1
0,0,163,3779,182,182,0,133,1517,0,0
0,0,142,9869,53,53,0,58,8244,0,1
1,0,70,825842,310,310,1,40,823350,3,0
0,0,143,502030,129,129,0,0,499289,0,0
1,0,99,79193,77,77,1,3,76656,3,1
1,0,146,2449,0,0,1,151,11,3,0
0,0,145,7010,291,291,0,147,4233,0,1
0,0,168,66235,246,246,0,41,64469,0,1
1,0,27,21822,317,317,1,13,18838,3,1
0,0,77,104384,71,71,0,65,101526,0,1
0,0,5,77950,17,17,0,24,74987,0,1
1,0,4,510295,141,141,1,27,507728,3,1
1,0,70,847503,311,311,1,40,845194,3,0
1,0,142,16574,222,222,1,138,14088,3,1
1,0,11,181574,314,314,1,30,180063,3,1
1,0,37,625252,228,228,1,28,622190,3,0
1,0,122,981807,277,277,1,52,979324,3,1
1,0,141,16715,185,185,1,46,14439,3,1
0,0,58,3108,210,210,0,135,115,0,0
1,0,157,2940,212,212,1,136,73,3,1
1,0,136,2351295,263,263,1,58,2348338,3,0
1,0,176,13435,271,271,1,143,10745,3,0
0,0,165,86361,187,187,0,15,83876,0,1
1,0,4,225780,78,78,1,27,223900,3,0
1,0,4,578138,98,98,1,27,576360,3,0
1,0,28,504140,267,267,1,2,500865,3,0
1,0,27,636457,213,213,1,13,635763,3,0
1,0,1,847195,162,162,1,35,845501,3,0
1,0,170,492362,27,27,1,1,490971,3,0
1,0,46,236472,223,223,1,3,233641,3,0
0,0,142,779582,202,202,0,31,776703,0,0
0,0,134,5320,123,123,0,120,4310,0,1
1,0,182,3857,103,103,1,118,1095,3,1
0,0,51,650247,100,100,0,27,648161,0,0
1,0,109,984,304,304,1,150,31,3,0
1,0,151,976,20,20,1,74,2,3,1
0,0,137,24358,272,272,0,143,21590,0,0
0,0,69,2274,50,50,0,78,1,0,0
1,0,125,628999,142,142,1,12,626735,3,0
1,0,13,13990,114,114,1,16,11384,3,1
0,0,158,14595,65,65,0,67,12280,0,1
1,0,171,11256,252,252,1,94,8914,3,1
1,0,136,2327020,262,262,1,58,2324351,3,0
1,0,62,5339,51,51,1,103,2904,3,1
0,0,24,65081,83,83,0,25,62292,0,1
0,0,166,1335,245,245,0,141,1,1,1
0,2,181,805554,313,313,0,40,804478,0,0
0,0,96,782600,203,203,0,31,781197,0,0
0,0,34,955,155,155,0,90,2,1,1
1,0,136,1573917,165,165,1,58,1571158,3,0
0,0,10,1995400,174,174,0,56,1993454,0,0
0,0,25,794113,241,241,0,33,793295,1,0
1,0,15,644271,96,96,1,58,641242,3,1
0,0,168,56433,247,247,0,41,54619,1,1
1,0,93,654938,251,251,1,27,652152,3,0
1,0,179,1032018,49,49,1,44,1029001,3,0
0,0,40,1140600,195,195,0,46,1138639,0,0
1,0,177,411506,57,57,1,33,408474,3,0
1,0,126,924785,236,236,1,57,922281,3,1
0,0,26,4734,122,122,0,87,2191,0,0
0,0,110,8397,15,15,0,9,5578,0,1
0,0,7,764760,201,201,0,31,762982,0,0
1,0,91,3210,22,22,1,73,616,3,1
1,0,106,587182,273,273,1,37,584897,3,1
0,0,175,4421,31,31,0,76,3684,0,1
0,0,30,9939,56,56,0,104,8926,0,0
0,0,14,606712,237,237,0,12,603989,0,0
1,0,73,21218,240,240,1,26,18921,3,1
0,0,140,2501,82,82,0,38,102,1,1
1,0,162,7457,214,214,1,41,4911,3,1
0,0,54,490870,45,45,0,1,489493,0,0
1,0,38,4073,5,5,1,69,1218,3,0
1,0,145,110366,248,248,1,64,107442,3,1
1,0,75,22430,44,44,1,34,19944,3,1
1,0,164,15107,261,261,1,2,12237,3,1
1,0,169,41742,307,307,1,44,39727,3,1
0,0,130,663320,257,257,0,24,660522,0,0
0,0,25,58458,113,113,0,16,55432,0,1
1,0,18,486237,24,24,1,47,483109,3,0
1,0,15,353345,138,138,1,58,350952,3,0
0,0,65,9141,220,220,0,137,8410,0,0
1,0,72,2693,280,280,1,98,396,3,0
