Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
0,72,313057,145,145,15,312338,16
0,69,76658,39,39,45,76494,0
0,83,36547,222,222,37,35690,9
1,35,2151652,66,66,20,2150759,9
1,14,749937,93,93,14,749176,16
1,52,1088191,237,237,19,1087412,16
1,4,432941,203,203,14,432381,0
1,20,497744,121,121,15,496932,34
1,87,33929,165,165,2,32910,19
1,73,1227756,106,106,20,1227118,27
1,87,652441,52,52,8,651695,2
0,41,402463,85,85,5,401243,20
1,34,2521,109,109,58,1283,2
1,63,394684,23,23,14,394031,1
1,55,1098996,238,238,19,1097833,3
1,55,663709,104,104,19,662936,10
0,75,738,2,2,23,1,0
0,40,41030,151,151,68,39978,2
0,60,2162466,65,65,20,2161639,10
1,3,937169,156,156,19,936387,2
1,13,269718,147,147,20,269074,2
1,8,946792,5,5,14,945539,21
1,2,15525,110,110,32,14710,8
1,84,563168,89,89,14,561921,2
1,43,477748,120,120,15,476525,2
0,60,731234,56,56,20,730422,10
1,0,11189,50,50,46,10047,22
0,24,217780,244,244,5,216641,11
1,19,1034038,239,239,19,1032938,12
0,84,779639,94,94,14,778437,2
0,37,10709,218,218,78,9531,2
0,39,23056,191,191,74,22262,18
1,4,667923,92,92,14,666610,2
0,6,497406,34,34,4,496306,2
1,38,365512,36,36,4,364310,22
1,27,3650,148,148,65,2478,6
0,94,13702,26,26,41,12743,2
0,8,1057942,132,132,14,1056725,21
0,57,589228,206,206,14,588062,22
1,0,10217,29,29,42,9084,21
1,25,182780,42,42,12,181743,2
0,50,196658,242,242,5,195561,14
0,63,387281,11,11,14,386064,22
0,3,1887968,128,128,19,1886823,2
1,0,12258,153,153,69,11053,22
0,8,581117,205,205,14,580287,15
0,72,386514,171,171,15,385279,21
1,57,599280,204,204,14,598465,10
0,55,745129,159,159,9,744176,2
0,60,1422032,55,55,20,1421220,15
1,12,1921338,126,126,19,1920505,2
0,27,28969,25,25,40,28568,1
0,72,1173402,230,230,15,1172566,18
0,81,210588,243,243,5,209491,19
0,29,9998,76,76,50,9753,2
0,63,1049347,133,133,14,1048619,15
0,28,358168,102,102,19,357524,25
0,80,1247221,176,176,18,1246121,2
0,8,878597,141,141,14,877761,10
1,27,2004,95,95,52,790,24
0,79,1778534,130,130,19,1777443,13
0,72,1193619,231,231,15,1192936,1
0,27,18090,96,96,53,17131,31
1,54,2202990,64,64,20,2202343,25
0,95,153559,234,234,80,152606,31
0,91,4472,216,216,76,3321,22
1,54,975187,117,117,20,974237,31
0,54,1745136,190,190,20,1744339,16
1,62,19523,47,47,29,18321,22
0,94,38006,197,197,75,37197,10
1,68,1147481,173,173,18,1146423,7
1,32,226729,43,43,12,226322,0
1,27,10011,38,38,44,9199,10
1,54,983808,115,115,20,982858,31
0,96,914563,155,155,19,913814,27
0,72,400728,172,172,15,399566,0
1,73,979496,116,116,20,978543,31
1,43,493669,122,122,15,492404,34
1,93,3831,166,166,73,3070,2
1,27,1860,160,160,70,1114,0
1,27,19594,30,30,43,18863,10
1,73,1447013,54,54,20,1446237,26
0,83,31870,221,221,37,31118,10
1,88,531335,169,169,1,530982,0
0,72,462427,170,170,15,461594,10
1,35,1905082,67,67,20,1904309,10
0,54,1474427,53,53,20,1473666,28
0,58,1098330,232,232,15,1097515,9
0,47,41345,78,78,31,40839,33
0,27,18040,108,108,58,16886,22
0,49,1062126,196,196,16,1060936,23
0,8,705599,91,91,14,704769,18
1,5,77581,7,7,8,76523,19
0,8,837722,210,210,14,837087,0
0,0,39296,62,62,48,38151,21
0,72,272963,214,214,15,272211,16
0,16,11639,198,198,75,10170,2
1,28,2187940,182,182,19,2187290,25
0,99,1471918,179,179,18,1470884,5
0,78,11872,131,131,61,11348,2
