Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
1,447558,84,84,2,22,13,447142
0,9446,79,79,2,3,37,7647
0,971,64,64,3,13,19,3
0,994934,10,10,2,11,12,993237
1,2100077,50,50,2,41,17,2099445
1,339503,95,95,2,18,5,338613
0,571876,58,58,2,38,5,570902
0,409340,94,94,0,10,17,408633
0,747945,59,59,3,40,9,745645
0,415,76,76,3,19,36,74
0,34900,81,81,2,44,39,34403
1,1445532,19,19,2,41,17,1444765
0,796821,75,75,2,46,11,795886
0,677663,22,22,2,1,17,676746
1,1037381,92,92,2,28,16,1036476
1,434997,6,6,0,20,4,434554
0,787501,69,69,2,11,12,786539
1,514049,83,83,3,0,10,513210
0,1751697,5,5,1,6,16,1751281
0,767190,25,25,2,37,11,766081
0,155295,90,90,2,14,40,154171
0,710,12,12,2,9,25,3
0,74492,18,18,2,39,3,73803
0,1021876,56,56,2,6,16,1021316
0,1605890,77,77,2,6,16,1605162
0,310242,35,35,2,18,13,309811
0,1067748,78,78,2,18,13,1067248
0,810033,67,67,2,11,12,808633
0,524283,27,27,2,32,6,523744
0,1162532,38,38,2,6,16,1161927
0,796791,68,68,2,39,12,795304
1,1115404,70,70,2,1,17,1114712
0,292232,51,51,0,7,4,291777
0,493953,85,85,2,18,13,493609
1,15756,45,45,2,37,30,14755
0,1575106,49,49,2,28,16,1574483
1,1226536,43,43,2,1,17,1225625
0,738027,47,47,2,37,11,736090
1,624101,23,23,2,30,6,623469
1,2665,9,9,3,19,23,1541
0,1000,40,40,2,8,28,2
0,415202,7,7,0,21,4,414870
0,456990,36,36,2,21,5,456034
1,26464,55,55,2,18,32,24623
0,43740,65,65,0,5,2,43105
0,556441,26,26,0,29,6,555500
0,302448,33,33,2,18,13,301999
0,408301,93,93,2,1,17,407363
0,5255,73,73,3,34,20,2763
1,69017,91,91,5,35,4,68592
1,1568049,32,32,3,24,17,1567459
1,483,16,16,2,4,27,1
1,2418,8,8,2,26,22,715
0,1145346,89,89,2,17,14,1144930
1,1078009,0,0,2,18,13,1077569
1,598,61,61,4,19,33,2
0,743148,39,39,0,11,13,742618
0,1430208,20,20,2,1,17,1429318
1,828817,3,3,0,43,16,828224
1,1493,80,80,2,25,38,471
1,752839,21,21,2,1,17,752246
1,14261,88,88,3,2,21,11517
1,405646,52,52,2,18,13,404846
0,1735532,71,71,3,27,15,1734645
1,995699,86,86,3,11,13,995106
0,1680779,31,31,2,1,17,1680060
0,12112,15,15,0,19,26,11726
0,1708125,2,2,3,16,15,1707238
1,571767,74,74,2,41,17,570709
0,888037,87,87,2,46,11,886754
1,18905,63,63,3,19,35,17574
0,1735953,72,72,0,36,15,1735636
1,846780,4,4,2,6,16,844948
1,3924,62,62,2,15,34,2239
0,287968,34,34,0,42,13,286817
0,776048,24,24,2,46,11,775092
1,11791,41,41,2,31,29,10124
0,232541,28,28,2,35,0,231249
0,322283,54,54,2,45,14,321357
1,75990,1,1,2,33,8,74263
0,156954,97,97,2,23,1,155782
1,389254,82,82,2,0,10,388238
0,11716,14,14,0,19,26,11321
1,6256,11,11,3,19,24,4343
1,1658775,29,29,2,27,17,1658077
1,579,46,46,4,19,31,1
0,446968,57,57,2,1,17,445976
1,1643722,30,30,2,41,17,1642802
1,1285729,42,42,2,1,17,1284860
0,1217,96,96,2,23,41,24
1,145136,60,60,2,6,7,143469
0,703062,66,66,2,6,16,702091
1,1786875,48,48,2,28,16,1786159
1,84542,17,17,2,4,27,84111
0,457660,37,37,0,12,5,457121
1,4418,44,44,5,7,18,3669
0,309976,53,53,3,18,14,309383
0,14817,13,13,4,19,25,14209
