Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1097,12,12,7,55,51,1
1,0,30308,50,50,6,10,2,27168
1,0,56857,120,120,2,19,22,54575
0,0,763,9,9,1,25,52,5
1,0,5564,39,39,2,35,36,2433
1,0,5286,78,78,2,29,75,4336
0,0,929052,122,122,2,86,31,925927
1,0,52289,82,82,6,9,38,48939
0,0,581462,110,110,5,24,4,578019
0,0,212280,147,147,8,31,10,211864
0,0,38881,131,131,2,59,86,36347
0,0,297517,77,77,6,87,14,294389
1,0,81368,20,20,2,83,22,80808
1,0,720,140,140,8,27,92,1
0,0,742903,100,100,2,76,23,741965
1,0,28960,1,1,2,86,31,27503
0,0,429068,81,81,6,85,25,425925
1,0,118859,95,95,2,35,9,115842
0,0,9728,40,40,6,40,67,6585
0,0,12029,45,45,8,88,69,11478
0,0,315827,124,124,6,79,15,312663
1,0,4234,74,74,2,45,73,3116
0,0,99546,108,108,2,27,12,97369
1,0,32123,56,56,2,51,10,29739
1,0,48514,137,137,6,51,31,47612
1,0,4123,87,87,5,1,76,1628
0,0,116617,53,53,6,44,13,113450
0,0,8113,62,62,2,90,70,5945
1,0,4229,136,136,6,52,89,1371
1,0,33235,6,6,8,78,9,30782
0,0,1206,15,15,8,87,53,1
0,0,767496,93,93,2,10,29,766105
0,0,567659,25,25,1,18,33,567123
1,0,99066,111,111,2,82,1,97825
0,0,318588,152,152,6,43,14,315535
0,0,1289,10,10,8,91,49,3
1,0,546,142,142,8,63,94,1
1,0,383983,4,4,2,60,46,383429
0,0,213521,148,148,2,51,10,212382
1,0,57661,42,42,2,57,41,55166
1,0,74545,150,150,2,68,8,72053
0,0,8781,26,26,2,49,59,5653
0,0,599,0,0,7,32,58,3
1,0,81855,145,145,6,14,10,78709
1,0,341238,27,27,2,73,4,338959
0,0,227216,75,75,8,69,43,225387
0,0,5181,103,103,2,88,79,4192
1,0,99079,51,51,2,3,2,97820
1,0,35758,5,5,7,78,9,35156
1,0,33620,83,83,6,68,38,30504
0,0,521345,23,23,6,56,1,518232
1,1,54155,55,55,6,38,10,50976
1,0,48145,2,2,4,21,30,47690
0,0,1771,19,19,8,17,55,5
0,0,9252,126,126,8,80,85,7177
1,0,1005,17,17,8,64,54,1
0,0,573456,46,46,2,31,3,572590
0,0,632799,48,48,6,69,19,629461
1,0,53098,125,125,2,24,34,49949
1,0,1291,13,13,8,92,56,11
1,0,55385,128,128,6,54,0,52233
0,0,6751,104,104,2,90,79,5450
1,0,3425,117,117,2,67,84,855
0,0,765509,36,36,6,75,22,762384
0,0,750258,8,8,7,70,38,748432
1,0,153763,101,101,5,53,21,151067
0,0,307836,151,151,8,43,14,304756
1,0,13944,60,60,5,0,44,11467
1,0,43791,68,68,6,78,9,40663
0,0,100486,52,52,2,46,13,98009
1,0,1126783,130,130,5,13,39,1124243
1,0,4790,123,123,6,20,63,1644
0,0,304,127,127,7,81,64,2
1,0,30678,113,113,7,42,9,29548
0,0,642289,106,106,6,49,8,639173
1,0,40231,109,109,7,15,82,38468
1,0,704,14,14,3,16,57,18
0,0,694715,133,133,2,34,26,691713
1,0,5115,54,54,5,37,38,2545
1,0,5807,129,129,2,34,26,3882
0,0,762911,102,102,2,34,26,760413
0,0,100844,32,32,7,71,12,99663
1,0,506465,69,69,2,41,19,504186
0,0,559272,79,79,6,54,40,556483
1,0,4270,35,35,5,84,42,1799
0,0,824374,61,61,2,34,26,822413
0,0,672501,85,85,2,86,24,670264
