Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,6,2,154221,0
0,447552,1,1,0,16,446896,0
0,1524263,38,38,14,23,1522857,0
0,919364,83,83,10,22,918156,0
0,10687,109,109,15,34,9590,0
0,1108489,108,108,23,23,1107152,1
0,33930,51,51,15,31,32737,0
0,340851,9,9,0,5,340480,0
0,580857,36,36,23,8,579490,0
1,6500,32,32,2,29,5433,0
1,597683,128,128,2,10,596868,1
0,480599,127,127,0,16,480417,0
0,1494962,39,39,4,23,1493559,1
0,437003,65,65,1,18,436320,0
0,726501,41,41,8,23,725125,1
0,1117420,107,107,10,23,1116176,1
1,630240,57,57,2,6,628903,1
0,1404649,104,104,10,23,1403372,0
1,3182,21,21,2,35,2247,0
0,85134,87,87,12,13,83866,1
0,1359,80,80,0,32,532,1
0,146779,91,91,5,10,145715,1
0,601068,111,111,15,7,599905,1
0,831522,13,13,15,22,830434,1
0,7259,7,7,0,26,6249,0
1,496522,93,93,2,10,495068,1
0,68405,137,137,17,49,67296,1
0,1047742,142,142,17,22,1046660,1
0,532332,151,151,23,6,531106,1
0,1898756,47,47,17,23,1897875,1
0,1944921,120,120,0,23,1944244,0
0,2480,74,74,17,45,1071,1
0,437973,96,96,0,1,437293,1
0,233697,3,3,0,11,233434,1
0,1587887,118,118,8,22,1586445,1
1,1867030,46,46,2,23,1865636,0
0,15753,11,11,17,27,14641,0
0,174865,132,132,10,9,173582,1
1,10644,92,92,2,47,9307,1
0,412929,52,52,23,6,411703,0
0,1267766,61,61,10,23,1266495,1
0,1506761,114,114,22,21,1505442,1
0,211328,152,152,17,8,209856,1
0,340376,73,73,1,5,339975,0
0,1172370,106,106,10,23,1171051,0
1,411413,88,88,2,24,410007,1
0,59441,99,99,17,3,58461,0
0,559992,89,89,23,6,558766,1
1,1789020,71,71,2,22,1787623,1
0,523945,112,112,23,1,522770,1
0,626028,42,42,15,7,624868,1
0,151073,139,139,17,49,149964,0
0,1733432,124,124,21,23,1732098,0
1,924253,84,84,2,22,923378,1
0,1651899,48,48,15,23,1651012,1
0,290343,72,72,21,5,289018,0
0,484137,79,79,15,15,482659,0
0,1002291,86,86,15,22,1001194,0
0,1751668,123,123,4,23,1750310,0
0,211061,153,153,4,0,209817,0
1,18783,26,26,2,39,17596,0
1,65502,30,30,2,41,63997,0
1,813285,54,54,2,17,812281,0
0,2018230,117,117,15,22,2016848,0
1,434666,126,126,2,16,433053,0
1,665716,129,129,2,10,664775,1
0,1248251,62,62,13,23,1246854,1
0,617159,56,56,23,6,615924,0
1,452810,94,94,2,10,452175,0
0,423600,146,146,17,23,422017,0
1,9275,49,49,2,43,7716,1
0,2090497,20,20,4,23,2089121,1
0,526360,150,150,23,6,525035,1
0,447752,149,149,23,6,446523,1
0,1933792,5,5,1,23,1933010,0
1,1778404,122,122,25,23,1777100,1
0,1127672,134,134,3,18,1126485,0
0,1741983,16,16,9,22,1740772,0
1,1072628,133,133,25,18,1071504,0
0,1152412,37,37,23,20,1151105,1
0,231983,81,81,7,10,230514,1
0,432268,6,6,17,15,431189,0
1,1015761,64,64,2,23,1014583,0
1,1365596,66,66,25,21,1364481,0
0,405983,8,8,1,18,405798,0
1,52782,136,136,2,49,51379,1
1,852,50,50,2,31,1,0
1,417432,101,101,2,12,415855,0
0,1601313,69,69,18,21,1599847,0
1,2053277,19,19,25,23,2051877,1
0,598434,75,75,0,10,597786,1
1,23787,25,25,2,38,22417,0
0,494627,43,43,21,1,493452,0
0,1622991,119,119,0,22,1622125,1
1,262696,60,60,2,13,261617,0
0,1413484,12,12,23,23,1412150,0
0,54854,27,27,0,39,53844,0
0,2157389,45,45,8,23,2156019,0
0,6378,59,59,15,44,4900,1
0,497535,155,155,0,12,496600,0
0,1093548,135,135,16,18,1092211,0
0,566165,35,35,18,8,564966,0
0,67849,98,98,17,3,66767,0
1,1804221,70,70,2,22,1803316,1
0,1547471,115,115,19,21,1546002,1
0,155993,110,110,20,19,154689,1
1,6733,24,24,2,37,6122,0
0,12244,29,29,15,40,11150,0
0,1499180,113,113,19,21,1497708,0
0,72377,31,31,15,4,71553,0
0,349644,10,10,21,5,348280,0
1,377112,2,2,25,15,375718,0
0,586,0,0,1,33,2,0
0,1398991,105,105,14,23,1398122,0
0,467679,95,95,0,5,466476,1
1,929394,77,77,2,17,928210,1
0,13267,22,22,0,36,11954,0
1,1459767,40,40,2,23,1458433,0
0,7956,34,34,20,30,6742,1
1,162444,140,140,25,49,161326,0
0,207419,58,58,0,16,207000,0
0,378535,53,53,18,13,377627,0
0,1683736,14,14,15,22,1682645,0
1,553803,90,90,2,12,552229,0
1,114367,138,138,2,49,112967,0
0,298468,78,78,15,15,296987,0
0,439354,100,100,15,12,437786,0
0,1420721,68,68,23,21,1419405,0
0,367224,148,148,0,6,366097,0
0,799780,141,141,0,14,799199,0
0,8841,17,17,17,28,7366,1
0,37052,130,130,24,48,35940,0
0,1361937,103,103,15,23,1361035,1
1,492874,55,55,2,9,492284,0
0,485,4,4,1,25,3,1
0,27971,82,82,5,46,26910,1
0,403184,97,97,21,1,402012,0
1,169772,33,33,2,13,168840,1
0,1951553,121,121,14,23,1950669,0
1,1386264,102,102,2,23,1384861,0
1,2074708,18,18,2,23,2073437,1
1,1071422,144,144,2,22,1070148,1
0,987463,85,85,0,22,986558,0
0,383794,23,23,17,23,382214,0
