Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1160395,347,347,3,22,1159709,0
1,18293,404,404,3,95,17649,0
0,7200,135,135,4,45,6637,0
0,55025,359,359,4,83,54438,0
0,1464254,89,89,4,28,1463646,0
0,494817,203,203,4,23,494134,1
0,2016292,329,329,4,27,2015537,0
0,9057,388,388,4,90,8128,0
0,4555,133,133,4,64,3962,0
0,683253,99,99,4,28,682675,0
1,844685,368,368,3,22,844098,0
1,112468,401,401,1,94,111971,0
0,4870,340,340,4,78,4217,0
0,2682,264,264,4,76,1954,0
0,163066,8,8,4,8,162521,1
0,1955674,332,332,4,28,1955171,0
0,756041,100,100,4,28,755460,1
0,1368555,309,309,4,28,1367977,1
0,1487064,93,93,4,28,1486369,1
0,36247,73,73,4,15,35642,1
0,265007,258,258,4,23,264339,0
0,120884,35,35,2,14,120498,0
0,1921473,109,109,4,28,1920904,1
0,458814,352,352,4,17,458125,0
0,316703,371,371,4,16,316059,0
0,548591,226,226,2,19,548190,0
0,1604078,117,117,4,28,1603452,0
0,85370,62,62,4,58,84681,0
0,17407,261,261,4,74,16820,0
0,1033564,299,299,4,18,1032920,0
1,1738968,28,28,3,27,1738420,0
0,6677,379,379,4,86,6162,1
0,278070,222,222,4,3,277438,1
0,1731530,336,336,4,28,1730895,0
0,477620,206,206,4,6,476973,0
0,567879,381,381,2,20,567310,0
0,10321,127,127,4,61,9749,0
0,1686468,113,113,4,28,1685914,0
0,7629,230,230,4,70,6979,0
0,1645,356,356,4,83,1004,0
0,376974,56,56,4,3,376393,1
1,807869,25,25,3,27,807330,1
0,426818,138,138,4,4,426186,1
0,39701,53,53,4,57,39237,1
0,307213,259,259,4,23,306524,0
0,782,47,47,4,54,129,1
0,1132814,317,317,4,28,1132212,1
0,30799,74,74,4,15,30158,1
0,159847,68,68,4,14,159101,1
0,717564,270,270,4,27,716974,1
0,1637787,115,115,4,28,1637185,1
0,487905,171,171,4,3,487330,0
1,356421,430,430,3,13,355831,1
0,1932015,108,108,4,28,1931470,0
0,2027,40,40,4,52,1341,0
0,1743790,335,335,4,28,1743146,0
0,515441,207,207,4,6,514617,0
0,1118634,319,319,4,28,1117975,1
1,347837,18,18,3,3,347313,0
0,250738,323,323,4,3,250097,0
0,1579,3,3,4,34,1004,1
0,570400,77,77,4,7,569783,0
0,552848,146,146,4,22,552180,1
0,52129,265,265,4,76,51491,0
1,19103,380,380,3,86,18480,1
0,4829,257,257,4,73,4128,0
0,599763,233,233,4,10,598996,1
0,436400,12,12,4,16,435816,0
0,1148872,410,410,4,27,1148204,0
0,339516,225,225,4,3,338926,0
0,1581481,215,215,4,26,1580900,1
0,1081012,406,406,4,27,1080440,1
0,15668,344,344,4,79,15015,0
0,6518,304,304,4,1,5874,1
0,26110,306,306,4,14,25487,1
1,504309,428,428,3,4,503911,1
0,668902,150,150,4,22,668282,1
0,1995197,217,217,4,27,1994529,0
0,216763,322,322,4,3,216122,0
1,588625,158,158,3,4,587969,1
0,416038,383,383,4,31,415541,0
1,463493,102,102,3,0,462885,1
0,14001,394,394,4,92,13402,1
1,385637,21,21,3,22,384969,0
0,602338,320,320,4,6,601643,1
0,1845,389,389,2,91,1489,1
0,314714,124,124,4,12,314181,0
0,1473130,88,88,4,28,1472456,0
0,1134002,408,408,4,27,1133424,1
0,444695,32,32,4,3,444042,0
0,42175,386,386,4,88,41594,0
0,9261,129,129,4,62,8539,0
0,382637,58,58,4,3,382086,0
0,35038,303,303,4,1,34388,1
0,416102,247,247,4,16,415509,0
1,13194,349,349,3,81,12661,1
0,641578,84,84,4,11,640880,1
0,320021,423,423,4,4,319437,1
0,70385,300,300,4,15,69732,0
0,2893,384,384,4,87,2228,0
0,36160,20,20,4,14,35462,1
1,628319,184,184,3,13,627354,1
0,1066542,405,405,4,27,1065931,1
0,438865,351,351,4,17,438233,0
0,345916,155,155,4,16,345353,0
1,499409,366,366,3,22,498789,0
0,262228,38,38,4,22,261515,0
0,340144,413,413,4,14,339536,0
0,224418,168,168,4,17,223792,0
0,17055,49,49,4,56,16375,0
0,1049,285,285,4,48,204,1
0,807166,153,153,4,22,806492,1
1,874302,275,275,3,27,873739,1
0,281,10,10,5,36,3,1
0,16035,342,342,4,78,15472,0
0,301818,279,279,4,14,301183,1
0,6125,11,11,4,36,5631,1
0,578960,78,78,4,7,578253,0
0,1670681,29,29,4,27,1670067,0
1,544317,148,148,1,22,543658,0
0,285006,246,246,4,16,284026,0
0,482096,254,254,4,16,481446,0
0,16573,166,166,4,66,15977,0
0,1236,126,126,4,44,691,0
0,2152710,107,107,4,28,2152117,1
0,218124,167,167,4,17,217234,0
0,497850,296,296,4,10,497083,1
0,653543,85,85,4,11,652923,1
0,729959,97,97,4,28,729363,0
0,350824,414,414,2,14,350453,1
0,584282,134,134,4,10,583626,1
0,425782,142,142,2,14,425384,0
1,1261581,324,324,3,26,1260970,0
0,160801,403,403,4,94,160181,0
1,10872,105,105,3,60,10210,0
0,412598,281,281,4,30,411981,1
0,514088,295,295,4,10,513441,1
0,667099,4,4,4,10,666332,1
0,253563,289,289,4,16,252895,0
0,237931,287,287,4,16,237338,0
0,266589,177,177,4,17,265723,0
0,1078119,193,193,4,28,1077559,0
0,198335,43,43,4,10,197730,1
0,1243238,187,187,4,28,1242540,1
0,1176204,399,399,4,23,1175530,0
0,6197,387,387,4,89,5628,0
0,38888,80,80,4,14,38181,1
0,374682,42,42,4,28,374062,0
0,1420673,92,92,4,28,1420101,0
0,388432,195,195,2,29,388043,1
0,70633,60,60,4,58,70109,0
0,11230,374,374,4,49,10535,0
0,694973,307,307,4,27,694383,0
0,1677970,119,119,4,28,1677395,0
0,5761,375,375,4,50,5141,0
0,1886263,218,218,4,27,1885670,0
0,311313,422,422,4,4,310645,1
0,274287,174,174,4,14,273715,1
0,456160,321,321,4,23,455483,0
0,36542,385,385,4,88,35961,1
0,541203,104,104,4,6,540331,0
0,375081,123,123,4,12,374536,1
0,1142859,409,409,4,27,1142287,1
0,1481322,94,94,4,28,1480762,1
0,1306828,209,209,4,26,1306226,1
0,1739,6,6,4,33,1236,1
0,405277,141,141,4,14,404699,0
0,1587490,212,212,4,26,1586741,0
0,2442,286,286,4,48,1612,1
0,327963,424,424,4,4,327337,1
0,1411596,22,22,4,28,1410949,0
0,260483,178,178,4,17,259935,0
0,917604,274,274,4,27,916954,0
0,358436,278,278,2,14,358038,1
0,11470,48,48,2,55,11081,1
0,371048,277,277,4,14,370350,1
0,1943209,9,9,4,28,1942577,0
0,7470,269,269,4,77,6853,1
0,76266,280,280,4,14,75574,1
0,21243,15,15,4,38,20602,1
0,605996,239,239,4,10,605367,1
0,332148,411,411,4,14,331510,0
1,862102,242,242,3,22,861431,0
0,1875155,219,219,4,27,1874526,0
0,617680,234,234,4,10,617066,1
0,59685,50,50,4,56,58891,0
0,1611491,330,330,4,27,1610868,0
0,31626,357,357,4,83,31012,0
0,67780,415,415,4,14,67067,0
0,430625,13,13,4,16,430509,0
0,288480,176,176,4,17,287506,0
0,1187163,346,346,4,22,1186465,0
0,1200244,312,312,4,28,1199621,0
0,18926,390,390,4,92,18276,0
0,2115566,26,26,4,28,2114982,1
0,1109679,316,316,4,28,1109041,1
0,1559,52,52,4,57,987,1
0,413954,418,418,4,28,413337,0
0,128464,416,416,2,14,128075,0
0,1139142,315,315,4,28,1138561,1
0,462219,364,364,4,22,461563,1
0,1348,169,169,4,67,512,1
0,1344856,199,199,4,21,1344239,0
