Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,39,28251,116,116,1,70,27310,0
0,67,497232,50,50,0,1,497002,0
1,38,1220025,98,98,1,36,1218841,0
1,35,2356,7,7,1,44,188,0
1,49,553680,112,112,1,24,551527,1
1,17,17469,87,87,1,49,15220,0
0,63,551749,32,32,0,18,551012,0
1,64,160581,125,125,1,12,159610,1
1,7,17708,30,30,1,57,16425,1
1,3,802663,58,58,1,29,801878,0
1,52,501852,59,59,1,33,499696,1
1,36,1105132,107,107,1,32,1103840,1
1,44,590889,96,96,1,15,588715,1
1,14,2355697,100,100,1,38,2354525,0
1,37,5081,19,19,1,11,2874,1
1,59,2356776,6,6,1,38,2355799,0
1,36,1431,21,21,1,51,1,0
1,18,1193345,106,106,1,32,1191366,0
1,43,195717,5,5,1,7,194815,0
1,61,395040,111,111,1,24,392911,1
1,69,1058918,109,109,1,34,1056777,0
1,11,114991,85,85,1,3,114542,1
1,18,161676,78,78,1,12,160684,1
1,24,5239,49,49,1,60,3059,1
1,53,2942,34,34,1,58,882,1
1,19,603844,97,97,1,15,602780,1
1,2,18169,8,8,1,16,16115,1
1,58,508321,33,33,1,2,506186,0
1,67,32651,27,27,1,55,31587,1
1,1,646319,103,103,1,13,643902,0
1,61,346367,41,41,1,24,344166,1
1,62,2001346,64,64,1,37,1998842,0
1,49,705460,51,51,1,24,703286,0
1,37,203063,81,81,1,6,200871,0
1,21,5373,104,104,1,67,3175,0
1,59,80858,14,14,1,38,80019,1
1,68,53186,22,22,1,0,51024,0
1,29,18788,26,26,1,42,16752,1
1,21,9199,105,105,1,68,7001,1
1,49,305003,101,101,1,24,302736,0
1,55,194168,89,89,1,18,192141,0
1,18,605835,114,114,1,32,604711,1
0,45,302402,44,44,0,12,301785,1
1,44,628874,56,56,1,15,628374,1
1,59,1560715,16,16,1,38,1558235,1
1,18,141673,126,126,1,12,140918,1
1,66,38921,60,60,1,11,36609,1
0,0,352533,110,110,0,40,352018,1
1,30,879776,20,20,1,27,877512,0
1,40,229342,93,93,1,27,227192,1
1,3,6731,35,35,1,29,4560,1
1,44,628270,37,37,1,15,627785,1
0,26,875271,71,71,0,32,874933,0
1,6,53693,57,57,1,30,52560,1
1,62,1092022,122,122,1,37,1090076,1
1,14,45587,119,119,1,72,43530,1
1,50,2117,25,25,1,54,3,1
1,55,573072,94,94,1,18,571858,0
1,5,10034,9,9,1,45,9492,0
1,20,64228,75,75,1,22,62066,1
1,48,238993,67,67,1,25,236726,1
1,38,479217,79,79,1,14,477172,0
1,14,606833,36,36,1,38,604902,0
0,52,356850,24,24,0,41,356083,1
1,49,6331,18,18,1,50,3935,0
1,16,69895,4,4,1,22,67685,1
1,12,27802,123,123,1,74,25553,1
1,4,4270,23,23,1,52,3989,1
1,40,149082,120,120,1,72,147823,0
1,55,551317,83,83,1,19,549344,0
1,11,85717,39,39,1,3,84713,1
0,46,12912,3,3,0,43,12295,0
0,15,116089,76,76,0,2,115388,1
1,7,24063,90,90,1,66,21859,0
1,55,399746,92,92,1,19,397836,0
1,19,551038,38,38,1,15,548948,0
1,40,258202,88,88,1,27,255983,1
1,54,7513,2,2,1,26,7115,1
1,38,522056,129,129,1,14,520707,0
1,56,560632,53,53,1,18,560198,0
1,46,8796,43,43,1,4,6766,1
0,19,242101,45,45,0,17,241769,0
1,61,742170,80,80,1,24,739927,0
1,2,13846,12,12,1,46,12761,0
1,62,886828,77,77,1,37,884852,1
1,36,656983,70,70,1,32,654773,0
1,65,29812,132,132,1,28,28472,1
1,2,45873,86,86,1,65,43711,1
1,27,2323,66,66,1,62,1850,0
1,18,510087,17,17,1,32,508918,0
1,25,20468,95,95,1,5,18309,1
1,29,3818,117,117,1,71,2061,1
1,62,2179419,99,99,1,37,2176948,1
1,41,143770,130,130,1,8,141896,0
1,28,395811,48,48,1,21,393328,0
1,25,50190,28,28,1,56,48196,0
1,34,107570,31,31,1,10,105642,1
1,8,216636,68,68,1,25,214564,1
1,31,26356,42,42,1,59,24182,1
0,53,521,0,0,0,53,3,1
1,24,2747,84,84,1,64,2046,0
1,33,843337,63,63,1,23,841178,0
1,13,630544,13,13,1,19,630077,0
1,62,61722,124,124,1,37,61057,1
1,13,414917,91,91,1,19,412986,0
1,23,9794,121,121,1,73,7884,1
1,42,630340,40,40,1,20,629867,0
1,56,576256,1,1,1,18,575726,0
1,18,8315,11,11,1,32,7779,1
1,34,640806,113,113,1,10,638620,0
1,13,808511,73,73,1,19,806334,0
1,40,22616,118,118,1,72,21297,1
1,23,7341,15,15,1,47,5542,1
0,22,591642,55,55,0,15,591283,1
1,3,5374,108,108,1,69,4073,1
1,57,15656,47,47,1,1,13635,1
1,13,495949,82,82,1,19,493973,0
1,10,33070,65,65,1,61,31073,1
1,9,12118,52,52,1,48,9896,0
0,27,569,74,74,0,63,3,1
1,38,1428134,62,62,1,36,1426182,0
1,51,2001160,72,72,1,35,1999253,0
1,59,967593,54,54,1,38,965515,1
0,32,1157244,29,29,0,31,1157023,0
1,8,292285,128,128,1,25,290090,1
1,28,131468,102,102,1,39,129252,1
1,60,429,127,127,1,75,1,0
0,40,461012,69,69,0,10,460530,0
1,49,804175,46,46,1,24,801998,0
1,46,1718373,10,10,1,36,1716442,0
1,54,111044,131,131,1,9,109113,0
1,18,853635,115,115,1,32,852247,0
1,47,1375094,61,61,1,36,1372983,1
