Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,144,1,113,10807,1
0,6110,100,1,101,3849,0
1,457048,88,0,9,454787,0
0,478833,231,1,6,476677,0
0,16869,154,1,116,14662,0
0,4025,165,1,16,1761,1
1,20192,203,0,29,18165,1
0,3770,49,2,89,732,1
1,828777,109,0,48,827212,1
1,9061,54,0,74,6806,1
0,2776,157,1,117,509,0
1,211189,118,0,34,209180,1
1,7765,27,0,43,5519,1
0,3747,23,1,72,1363,1
0,555948,171,1,20,553549,0
0,487264,94,1,17,485114,0
0,763294,176,1,26,761027,0
0,1178466,117,1,44,1176085,0
1,53359,116,0,40,52601,1
1,96434,222,0,5,94266,1
1,45480,197,0,122,43330,1
1,609383,77,0,20,607077,0
1,5633,11,0,62,4134,0
1,813661,182,0,38,811541,0
0,243718,96,3,19,243449,0
0,480713,35,1,4,478230,0
1,114439,8,0,3,112868,1
0,14957,62,1,76,12933,0
1,356577,107,0,53,354673,0
0,371476,172,1,18,369323,0
1,50723,122,0,106,48507,1
0,611448,112,2,10,610807,0
0,56175,83,1,5,53914,1
1,1621,63,0,95,2,1
0,4679,115,1,40,2307,1
0,11646,125,1,107,9286,1
0,45278,101,1,18,42840,0
0,47037,178,1,120,44773,1
0,487691,28,1,18,485538,0
1,619207,206,0,9,617003,0
0,828692,195,1,49,827244,1
1,909033,30,0,40,906619,0
0,1062,3,3,71,1,0
0,15153,209,1,30,12949,1
1,81519,10,0,5,79698,1
0,65232,218,1,52,62692,1
0,710857,47,2,23,709519,0
0,76316,26,1,52,74154,1
1,799420,225,0,32,796943,0
0,7491,128,1,22,5182,1
0,2056,48,3,88,2,1
0,4947,43,1,86,2638,0
1,441740,91,0,29,439797,1
0,2326647,16,3,54,2325364,0
1,777368,224,0,32,775140,0
1,51771,234,0,36,49540,1
0,59089,38,1,57,56687,1
1,552888,219,0,15,550654,0
0,79561,119,1,57,77369,1
1,1451239,130,0,52,1449053,0
0,1009290,42,1,39,1006993,0
1,170211,124,0,50,168412,1
0,4516,52,3,91,3179,1
1,122003,229,0,11,119982,1
0,5046,159,1,118,2860,1
1,1375691,121,0,46,1373202,0
0,27070,142,1,16,24536,1
1,224206,202,0,35,222371,1
1,689616,80,0,54,687517,0
1,372955,230,0,29,370655,1
1,1204656,198,0,46,1202680,0
1,11060,143,0,32,8994,1
1,2096,147,0,114,747,1
0,1138,5,3,108,2,0
1,8253,103,0,42,6340,1
1,1189025,189,0,52,1186812,0
1,496899,102,0,1,495853,0
0,1474,15,3,31,101,1
0,1039862,75,1,38,1037046,0
0,20107,67,1,51,17801,1
0,14203,56,1,33,11819,1
0,391932,7,1,59,389746,1
0,3932,162,1,119,1401,0
0,915393,61,2,34,914149,0
0,682195,68,1,19,679628,0
0,394758,19,2,9,393970,0
0,580782,169,3,21,579763,0
1,4883,39,0,83,2628,1
1,519612,205,0,28,517492,1
0,2976,164,1,78,781,0
0,1159648,145,1,42,1157084,0
0,7454,51,1,90,5259,1
1,654471,74,0,53,652312,1
0,2907,33,1,73,667,0
0,27924,6,3,17,26149,1
0,1705791,87,1,54,1703299,1
0,3230,129,1,22,921,1
0,2152,9,1,61,38,0
0,507624,192,1,3,505363,0
0,482055,113,1,10,479794,0
1,123424,232,0,8,121439,0
1,805063,180,0,39,803291,0
0,3147,40,1,84,535,1
0,7548,53,1,92,5362,0
0,11573,110,1,104,9210,0
1,369509,60,0,13,367296,1
0,707127,46,1,23,704929,0
0,351915,201,2,58,350539,1
0,6111,22,2,69,4843,1
0,307939,226,3,11,306221,1
1,464804,166,0,22,462621,1
0,1036,13,3,64,2,1
1,763015,81,0,38,760970,0
1,547726,136,0,7,545198,0
0,19404,200,1,123,17227,0
