Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,51,1,0
0,0,30308,53,2,27168,1
1,0,81368,21,22,80808,1
0,0,763,10,52,5,0
0,0,703218,19,36,701626,0
1,0,5286,82,75,4336,1
1,0,93861,100,32,92599,1
0,0,716461,49,38,713525,0
0,0,581462,112,4,578019,0
0,0,212280,148,10,211864,0
1,0,38881,133,86,36347,0
0,0,297517,81,14,294389,0
0,0,83014,122,22,81473,1
0,0,720,141,92,1,1
0,0,666404,22,24,665952,0
1,0,30302,0,31,29316,1
1,0,5807,131,26,3882,1
1,0,118859,98,9,115842,1
0,0,9728,42,67,6585,0
0,0,12029,47,69,11478,0
0,0,315827,126,15,312663,0
1,0,4234,78,73,3116,1
1,0,99546,110,12,97369,0
1,0,32123,59,10,29739,1
1,0,929052,124,31,925927,0
0,0,4123,90,76,1628,1
0,0,116617,56,13,113450,0
1,0,8113,65,70,5945,0
0,0,4229,138,89,1371,1
0,0,33235,7,9,30782,1
0,0,1206,16,53,1,0
1,0,789292,97,29,788021,0
1,0,53098,127,34,49949,1
1,0,99066,113,1,97825,1
0,0,318588,153,14,315535,0
0,0,1289,11,49,3,0
0,0,546,143,94,1,1
1,0,383983,5,46,383429,1
1,0,213521,149,10,212382,0
1,0,57661,44,41,55166,1
1,0,74545,151,8,72053,1
1,0,8781,28,59,5653,0
0,0,599,1,58,3,0
0,0,81855,146,10,78709,1
1,0,341238,29,4,338959,1
0,0,227216,79,43,225387,0
1,0,5181,105,79,4192,0
1,0,99079,54,2,97820,1
0,0,35758,6,9,35156,1
1,0,46653,88,38,44743,1
0,0,521345,25,1,518232,0
0,1,54155,58,10,50976,1
1,0,96937,121,30,96035,1
0,0,1771,20,55,5,0
0,0,9252,128,85,7177,0
0,0,1005,18,54,1,1
1,0,573456,48,3,572590,0
0,0,632799,51,19,629461,0
1,0,1017672,50,34,1015075,0
0,0,1291,14,56,11,1
0,0,55385,130,0,52233,1
1,0,6751,106,79,5450,0
1,0,3425,119,84,855,1
0,0,68231,99,23,65097,1
0,0,750258,9,38,748432,0
0,0,153763,103,21,151067,1
0,0,307836,152,14,304756,0
0,0,13944,63,44,11467,1
0,0,43791,72,9,40663,1
1,0,100486,55,13,98009,0
0,0,1126783,132,39,1124243,1
0,0,4790,125,63,1644,1
0,0,304,129,64,2,0
0,0,30678,115,9,29548,1
0,0,642289,108,8,639173,0
0,0,40231,111,82,38468,1
0,0,704,15,57,18,1
1,0,701522,70,26,698580,0
0,0,33620,87,38,30504,1
1,0,673825,84,26,670661,0
1,0,782421,64,26,781378,0
0,0,100844,35,12,99663,0
1,0,506465,73,19,504186,1
0,0,559272,83,40,556483,0
0,0,4270,38,42,1799,1
1,0,673601,76,27,670680,0
0,0,429068,85,25,425925,0
0,0,484,140,91,2,1
1,0,7065,69,72,6076,1
0,0,506906,101,14,503742,0
1,0,28960,2,31,27503,1
1,0,1651,95,62,830,1
0,0,302755,61,14,301802,0
0,0,1330,12,50,2,0
1,0,492209,24,1,489726,0
0,0,704396,17,36,703461,0
1,0,7840,68,16,6842,1
0,0,24175,39,47,21059,1
1,0,1482,107,80,1,0
1,0,3560,33,65,861,0
0,0,40333,120,84,37199,1
0,0,6322,46,15,3197,1
1,0,694715,135,26,691713,0
1,0,201983,147,10,197949,0
1,0,232598,155,3,230508,0
0,0,52289,86,38,48939,1
1,0,796646,62,29,794730,0
1,0,762911,104,26,760413,0
1,0,1815,94,78,1,0
0,0,11460,144,95,9091,1
1,0,767496,96,29,766105,0
1,0,341160,156,3,338881,1
0,0,135805,157,5,132644,0
0,0,326955,34,18,323962,0
1,0,2735,80,74,246,1
1,0,4884,52,46,1753,1
0,0,562767,60,6,559651,0
0,0,720169,30,23,717008,0
0,0,11360,92,77,8184,1
0,0,1011,8,48,1,0
0,0,7732,66,71,4595,0
0,0,696,116,83,1,0
1,0,552643,118,20,550361,1
0,0,225838,93,17,222980,0
0,0,5115,57,38,2545,1
0,0,296392,26,15,293633,0
1,0,36371,142,93,34218,1
0,0,220362,117,18,217744,0
1,0,532553,154,14,531252,0
0,0,772874,150,28,769737,0
1,0,638513,74,7,636579,0
1,0,685611,71,17,683131,0
1,0,40751,43,68,38379,1
0,0,5438,139,90,3198,1
0,0,8449,123,45,5315,1
0,0,37772,136,11,34755,1
1,0,11809,40,66,9641,0
1,0,8362,134,87,5834,0
0,0,96112,114,1,92984,1
1,0,6579,67,16,5257,1
1,0,16287,37,60,13156,1
1,0,371763,4,45,371065,1
0,0,3141,91,61,982,1
1,0,5564,41,36,2433,1
0,0,567659,27,33,567123,0
0,0,634208,32,39,633441,0
0,0,34862,89,28,34431,1
1,0,742903,102,23,741965,0
1,0,11203,45,41,8075,1
1,0,12199,145,96,10430,0
1,0,631461,75,7,630235,0
0,0,2165,137,88,1,1
1,0,676357,31,23,675068,0
0,0,46094,77,37,43491,1
1,0,301337,23,5,298548,1
0,0,48145,3,30,47690,1
0,0,11508,109,81,8902,1
0,0,1015710,36,35,1014604,0
