Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1330,9,9,9,0,51,2,0
0,0,30308,48,48,7,0,2,27168,1
1,0,56857,120,120,2,1,22,54575,1
0,0,1097,10,10,8,0,52,1,0
1,0,5564,34,34,2,1,36,2433,1
1,0,5286,76,76,2,1,75,4336,1
1,0,929052,122,122,2,1,31,925927,0
0,0,52289,81,81,7,0,38,48939,1
0,0,581462,110,110,6,0,4,578019,0
0,0,212280,147,147,9,0,10,211864,0
1,0,38881,130,130,2,1,86,36347,0
0,0,297517,75,75,7,0,14,294389,0
1,0,81368,19,19,2,1,22,80808,1
0,0,720,140,140,9,0,92,1,1
1,0,742903,100,100,2,1,23,741965,0
1,0,28960,0,0,2,1,31,27503,1
0,0,429068,80,80,7,0,25,425925,0
1,0,118859,95,95,2,1,9,115842,1
1,0,69438,35,35,2,1,67,67273,0
0,0,6138,37,37,8,0,69,5206,0
0,0,315827,124,124,7,0,15,312663,0
0,0,639,65,65,9,0,73,1,1
1,0,99546,108,108,2,1,12,97369,0
1,0,32123,55,55,2,1,10,29739,1
0,0,48514,137,137,7,0,31,47612,1
0,0,4123,86,86,6,0,76,1628,1
0,0,116617,51,51,7,0,13,113450,0
0,0,541,43,43,3,0,70,26,0
0,0,4229,136,136,7,0,89,1371,1
0,0,33235,5,5,9,0,9,30782,1
0,0,763,7,7,1,0,53,5,0
1,0,767496,93,93,2,1,29,766105,0
0,0,567659,24,24,1,0,33,567123,0
1,0,99066,111,111,2,1,1,97825,1
0,0,318588,152,152,7,0,14,315535,0
0,0,1011,6,6,9,0,49,1,0
0,0,546,142,142,9,0,94,1,1
1,0,4884,47,47,2,1,47,1753,1
1,0,213521,148,148,2,1,10,212382,0
1,0,11203,39,39,2,1,42,8075,1
1,0,74545,150,150,2,1,8,72053,1
0,0,2066,18,18,9,0,59,3,1
0,0,704,12,12,4,0,58,18,1
0,0,81855,145,145,7,0,10,78709,1
1,0,341238,26,26,2,1,4,338959,1
1,0,306062,90,90,2,1,43,305283,0
1,0,5181,103,103,2,1,79,4192,0
1,0,99079,49,49,2,1,2,97820,1
0,0,35758,4,4,8,0,9,35156,1
0,0,33620,82,82,7,0,38,30504,1
0,0,521345,22,22,7,0,1,518232,0
0,1,54155,54,54,7,0,10,50976,1
0,0,48145,1,1,5,0,30,47690,1
0,0,1005,15,15,9,0,55,1,1
0,0,9252,126,126,9,0,85,7177,0
0,0,1242,14,14,8,0,54,3,0
1,0,573456,41,41,2,1,3,572590,0
0,0,632799,45,45,7,0,19,629461,0
1,0,53098,125,125,2,1,34,49949,1
0,0,1771,17,17,9,0,56,5,0
0,0,55385,128,128,7,0,0,52233,1
1,0,6751,104,104,2,1,79,5450,0
1,0,3425,117,117,2,1,84,855,1
0,0,765509,31,31,7,0,22,762384,0
0,0,716461,42,42,7,0,38,713525,0
0,0,153763,101,101,6,0,21,151067,1
0,0,307836,151,151,9,0,14,304756,0
0,0,227216,73,73,9,0,44,225387,0
0,0,43791,67,67,7,0,9,40663,1
1,0,100486,50,50,2,1,13,98009,0
0,0,975350,133,133,6,0,40,972864,1
1,0,1651,92,92,2,1,63,830,1
0,0,4790,123,123,7,0,64,1644,1
0,0,30678,113,113,8,0,9,29548,1
0,0,642289,106,106,7,0,8,639173,0
0,0,40231,109,109,8,0,82,38468,1
0,0,1291,11,11,9,0,57,11,1
1,0,694715,132,132,2,1,26,691713,0
0,0,5115,52,52,6,0,38,2545,1
1,0,5807,129,129,2,1,26,3882,1
1,0,762911,102,102,2,1,26,760413,0
0,0,100844,29,29,8,0,12,99663,0
1,0,506465,68,68,2,1,19,504186,1
1,0,1242856,77,77,2,1,40,1242191,1
1,0,57661,38,38,2,1,42,55166,1
1,0,824374,60,60,2,1,26,822413,0
1,0,672501,84,84,2,1,24,670264,0
0,0,484,139,139,9,0,91,2,1
0,0,7732,62,62,7,0,72,4595,0
0,0,506906,98,98,0,0,14,503742,0
1,0,96937,119,119,2,1,30,96035,1
0,0,3141,87,87,8,0,62,982,1
0,0,302755,57,57,9,0,14,301802,0
0,0,1289,8,8,9,0,50,3,0
1,0,492209,21,21,2,1,1,489726,0
0,0,703218,16,16,9,0,36,701626,0
1,0,7840,64,64,2,1,16,6842,1
1,0,383983,3,3,2,1,47,383429,1
1,0,1482,105,105,2,1,80,1,0
0,0,304,127,127,8,0,65,2,0
0,0,40333,118,118,7,0,84,37199,1
0,0,6322,40,40,7,0,15,3197,1
1,0,673825,79,79,2,1,26,670661,0
1,0,201983,146,146,2,1,10,197949,0
1,0,232598,154,154,2,1,3,230508,0
1,0,46653,83,83,2,1,38,44743,1
1,0,789292,94,94,2,1,29,788021,0
1,0,714709,99,99,2,1,26,711560,0
1,0,1815,91,91,2,1,78,1,0
0,0,11460,143,143,8,0,95,9091,1
0,0,772874,149,149,7,0,28,769737,0
1,0,341160,155,155,2,1,3,338881,1
0,0,135805,156,156,7,0,5,132644,0
0,0,326955,28,28,7,0,18,323962,0
1,0,2735,74,74,2,1,74,246,1
1,0,371763,2,2,10,1,46,371065,1
0,0,562767,56,56,7,0,6,559651,0
1,0,676357,27,27,2,1,23,675068,0
0,0,11360,88,88,7,0,77,8184,1
0,0,24175,33,33,7,0,48,21059,1
1,0,8113,61,61,2,1,71,5945,0
0,0,696,114,114,8,0,83,1,0
1,0,552643,116,116,2,1,20,550361,1
0,0,225838,89,89,7,0,17,222980,0
0,0,46094,72,72,6,0,37,43491,1
0,0,296392,23,23,7,0,15,293633,0
1,0,36371,141,141,2,1,93,34218,1
0,0,220362,115,115,6,0,18,217744,0
1,0,532553,153,153,2,1,14,531252,0
