Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,1474,51,41,9,1,24,0
1,107750,139,11,9,1,106153,0
0,4728447,70,15,8,0,4728247,1
0,673514,116,14,7,0,671973,1
1,113223,159,12,9,1,111766,0
1,2963001,153,12,9,1,2961642,0
0,98113,61,15,11,0,96665,1
0,234927,104,14,7,0,233464,1
0,3074,32,31,7,0,1527,1
1,106612,3,17,9,1,106202,1
1,194108,16,19,9,1,192547,1
1,38437,136,11,9,1,36916,0
0,1673892,128,8,0,0,1672390,1
1,22525,1,17,9,1,20999,1
1,4097911,86,13,9,1,4096637,0
1,13747,45,36,10,1,12274,0
1,4696555,91,16,4,1,4695357,0
1,55488,42,34,9,1,53963,1
1,6514,24,25,9,1,4976,1
1,1176353,118,5,9,1,1175359,1
1,397,21,22,9,1,120,0
1,222454,162,12,9,1,222215,0
0,1338858,62,15,8,0,1337821,0
0,140801,161,12,7,0,139203,0
0,3300734,67,15,7,0,3299619,0
1,43444,100,14,13,1,41978,0
0,4811681,74,15,7,0,4810350,1
1,1190683,120,5,9,1,1189121,1
1,1134,49,40,9,1,394,1
1,2751752,65,15,7,1,2750562,0
0,4592637,87,16,7,0,4591225,0
1,158094,102,14,9,1,156706,1
1,147872,14,19,9,1,146312,1
0,4790735,73,15,8,0,4789134,1
1,34085,99,14,11,1,32568,0
1,3088628,157,12,9,1,3087307,1
0,26455,57,15,11,0,24893,1
1,10376,56,15,6,1,9589,1
1,2557165,142,12,9,1,2556965,1
1,2991723,155,12,9,1,2990299,1
0,96632,121,6,7,0,95058,0
1,1583995,122,7,9,1,1582390,1
0,4918348,77,15,8,0,4916846,1
1,4070879,85,13,9,1,4070196,0
1,4769841,92,16,3,1,4768519,0
1,1554901,132,9,9,1,1553302,1
1,87159,60,15,11,1,85747,1
0,4109268,68,15,7,0,4108888,0
1,2842847,151,12,9,1,2842087,1
0,28198,38,33,7,0,26588,0
0,593688,113,14,7,0,592108,1
1,135030,13,19,9,1,133507,0
1,13271,47,38,9,1,11830,0
0,2161844,64,15,7,0,2161053,0
0,138222,160,12,8,0,136702,0
1,32771,50,40,9,1,31464,0
1,120397,12,19,9,1,118489,0
0,1783574,129,8,0,0,1782018,0
0,47692,58,15,11,0,46340,1
1,12451,46,37,9,1,11360,1
