Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,37,435022,85,1,14,434327,1
0,8,905931,42,1,8,905182,3
0,20,570089,26,1,8,569511,3
0,0,435780,38,1,9,435106,3
1,38,1654501,40,1,12,1653854,1
0,24,9043,54,1,18,8369,3
1,5,605502,67,1,5,604933,3
1,28,1565614,1,1,12,1565111,3
0,32,37689,21,1,24,37021,3
1,7,4852,23,1,25,4175,3
0,28,509037,87,1,2,508240,3
0,0,1091842,80,1,9,1091081,3
0,12,624606,14,1,13,623983,3
0,3,1204819,52,0,14,1204091,4
0,20,1064488,66,1,8,1063814,3
0,25,1153891,10,1,11,1153361,3
0,23,226568,58,0,1,225903,4
0,39,1728460,2,0,12,1728161,2
1,12,2105453,22,1,13,2104848,3
1,0,179239,36,1,10,178622,3
0,0,1142124,78,1,9,1141357,3
0,15,430900,25,1,6,430274,3
1,0,23414,74,1,36,22770,3
0,0,1104782,82,1,9,1104102,3
1,37,743660,15,1,14,742947,3
0,30,487905,30,0,1,487330,4
1,38,1560119,60,1,12,1559271,3
0,1,674303,16,1,14,673725,3
0,13,40393,24,1,16,39713,3
1,33,947466,43,1,8,947014,6
1,8,458055,68,1,8,457426,1
0,8,17347,19,1,23,16595,3
0,18,16318,34,1,28,15653,3
0,20,829209,72,1,8,828511,1
1,12,388745,86,0,2,388080,4
0,22,28212,63,1,34,27637,3
1,38,1690792,3,1,12,1690151,3
1,27,547641,32,1,3,547144,3
0,36,10697,76,1,19,10023,3
0,33,738855,27,1,8,738181,3
1,0,590414,56,1,0,589821,3
0,4,136301,83,1,7,135930,3
0,0,1192387,81,1,9,1191707,3
1,11,17274,12,1,21,16765,1
1,23,430064,8,0,1,429414,4
1,26,18257,75,1,37,17595,1
0,9,7133,45,1,30,6462,1
0,17,17466,29,1,26,16792,3
0,38,1732531,55,1,12,1731896,3
1,38,1702393,4,1,12,1701380,3
0,35,7796,50,1,32,7137,3
1,28,1607447,39,1,12,1606965,3
1,14,1832,11,1,21,1149,1
0,32,1682099,7,1,13,1681482,3
0,2,11162,77,1,38,10509,3
1,22,20358,62,1,34,19783,3
1,38,1507852,59,1,12,1507205,1
1,12,840636,5,1,13,840031,3
1,28,1661430,18,1,12,1660327,1
0,21,9429,44,1,29,8836,3
0,32,696859,33,1,13,696377,6
0,34,755,53,1,18,93,3
1,0,478865,37,1,9,478194,3
1,19,4297,73,1,35,3704,3
0,12,974933,46,1,13,974307,3
0,32,2154696,61,1,13,2154196,3
1,23,5579,84,1,39,4953,3
0,0,1172053,79,1,9,1171373,3
1,20,1154177,65,1,8,1153497,1
0,16,25270,48,1,31,24593,3
0,11,468982,17,1,0,468374,3
0,38,1728056,35,1,12,1727928,1
0,20,490761,70,1,8,490084,3
1,0,524975,57,1,0,524382,3
0,33,587573,71,1,8,586902,3
0,16,4340,20,1,23,3579,3
1,6,5600,51,1,33,4947,0
1,12,2529,28,1,17,1873,5
0,10,3403,13,1,22,2810,1
0,4,71817,9,1,20,71311,1
0,29,1266,0,1,40,595,3
0,33,475933,69,1,8,475256,1
0,12,989314,47,1,13,988862,1
1,31,7594,6,1,15,6935,3
1,22,472195,49,1,4,471323,3
0,6,4574,31,1,27,3870,1
0,17,1721960,41,0,12,1721430,4
1,22,68829,64,1,34,68515,3
