Gene_Subclass,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,6745,101,91,5,1,43,7608
1,1,391090,18,22,5,1,126,391707
1,1,476025,15,3,5,0,38,476915
0,0,346178,52,62,4,1,208,346408
1,1,214952,145,56,5,0,127,216862
1,1,98553,145,13,5,1,26,100170
1,1,5234,95,10,5,1,87,8014
1,1,3,64,107,5,1,94,557
0,0,11931,18,22,1,1,71,12665
0,0,346512,88,62,2,1,207,346850
1,1,889150,102,37,5,0,193,890682
0,0,1130442,96,43,1,0,148,1130987
1,1,1884,11,90,5,0,42,2216
1,1,55507,79,65,5,1,225,56787
0,0,45670,57,45,2,1,21,45867
1,1,3,140,130,5,0,176,929
1,1,23602,122,28,5,1,153,25397
1,1,35931,122,28,5,1,151,36817
1,1,577500,65,25,5,0,188,578507
1,1,27628,90,133,5,1,199,30441
1,1,1836461,78,54,5,0,133,1839347
0,0,71398,26,53,0,1,34,71748
1,1,121053,67,8,5,0,35,122795
1,1,1121249,112,43,5,0,146,1122061
1,1,750136,134,27,5,0,48,752571
1,1,32212,130,39,5,1,82,33312
1,1,16818,7,42,5,1,29,17807
1,1,14611,51,27,5,1,192,17424
1,1,542011,108,6,5,0,138,543960
1,1,21764,91,5,5,1,235,23503
1,1,56893,59,65,5,1,226,57738
0,0,869711,30,33,2,0,54,870832
1,1,10753,61,26,5,1,129,12423
1,1,564,23,86,5,0,177,3521
1,1,44298,30,15,5,1,95,46358
1,1,118959,12,7,5,1,183,119855
1,1,348930,106,59,5,0,66,351059
1,1,1115,141,52,5,1,72,4441
0,0,3,47,124,1,0,156,218
1,1,612868,35,25,5,0,187,615828
1,1,1,105,89,5,0,4,835
1,1,69540,7,26,5,1,130,71222
1,1,100433,86,13,5,1,25,101201
1,1,74227,20,60,5,1,27,76293
1,1,15111,63,116,5,1,125,17384
1,1,3,15,87,5,1,204,395
1,1,1442287,111,47,5,0,22,1444050
1,1,227562,137,7,5,0,239,229154
1,1,64071,24,60,5,1,123,64517
0,0,746714,135,31,0,0,170,747484
1,1,55821,109,46,5,1,116,58454
1,1,10074,142,113,5,0,109,10805
1,1,802591,122,28,5,0,144,805101
0,0,3411,131,101,2,0,68,4265
1,1,5802,101,98,5,1,61,8105
1,1,42014,138,40,5,1,230,42976
0,0,157230,37,51,2,0,186,157631
1,1,7741,21,136,5,1,218,7838
1,1,3,46,67,5,0,8,794
0,0,899,103,74,1,1,13,1231
1,1,73355,75,21,5,1,14,74182
1,1,2330257,94,55,5,0,202,2332647
1,1,112584,74,61,5,1,65,114401
1,1,39177,94,55,5,1,158,41471
0,0,1415230,98,47,1,0,19,1415811
1,1,4031,61,104,5,1,85,6985
1,1,72187,30,15,5,1,231,74451
1,1,1128836,8,43,5,0,147,1129891
1,1,1,15,66,5,0,6,535
