Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,1097,13,7,51,1,0,0
0,30308,54,6,2,27168,0,1
1,81368,21,2,22,80808,1,1
0,763,10,1,52,5,0,0
0,703218,19,8,36,701626,0,0
1,5286,83,2,75,4336,1,1
1,93861,101,2,32,92599,1,1
0,716461,50,6,38,713525,0,0
0,581462,113,5,4,578019,0,0
1,213521,149,2,10,212382,1,0
1,38881,134,2,86,36347,1,0
0,302755,63,8,14,301802,0,0
0,83014,123,8,22,81473,0,1
0,720,142,8,92,1,0,1
0,666404,22,8,24,665952,0,0
1,30302,0,2,31,29316,1,1
1,5807,132,2,26,3882,1,1
1,118859,99,2,9,115842,1,1
0,9728,43,6,67,6585,0,0
0,12029,48,8,69,11478,0,0
1,6579,70,2,16,5257,1,1
1,4234,79,2,73,3116,1,1
0,100844,35,7,12,99663,0,0
1,32123,61,2,10,29739,1,1
1,929052,125,2,31,925927,1,0
0,4123,91,5,76,1628,0,1
0,297517,82,6,14,294389,0,0
1,8113,67,2,70,5945,1,0
0,4229,139,6,89,1371,0,1
0,33235,7,8,9,30782,0,1
0,1206,16,8,53,1,0,0
1,789292,98,2,29,788021,1,0
1,53098,128,2,34,49949,1,1
1,99066,114,2,1,97825,1,1
0,506906,102,0,14,503742,0,0
0,1289,11,8,49,3,0,0
0,546,144,8,94,1,0,1
1,383983,5,2,46,383429,1,1
0,37772,137,6,11,34755,0,1
1,57661,45,2,41,55166,1,1
1,74545,151,2,8,72053,1,1
1,8781,28,2,59,5653,1,0
0,599,1,7,58,3,0,0
0,81855,147,6,10,78709,0,1
1,341238,29,2,4,338959,1,1
0,227216,80,8,43,225387,0,0
1,5181,106,2,79,4192,1,0
1,99079,55,2,2,97820,1,1
0,35758,6,7,9,35156,0,1
1,46653,89,2,38,44743,1,1
0,521345,25,6,1,518232,0,0
0,54155,60,6,10,50976,0,1
1,96937,122,2,30,96035,1,1
0,1771,20,8,55,5,0,0
0,9252,129,8,85,7177,0,0
0,1005,18,8,54,1,0,1
1,573456,49,2,3,572590,1,0
1,552643,119,2,20,550361,1,1
1,1017672,51,2,34,1015075,1,0
0,1291,14,8,56,11,0,1
0,55385,131,6,0,52233,0,1
1,6751,107,2,79,5450,1,0
1,3425,120,2,84,855,1,1
0,68231,100,6,23,65097,0,1
0,750258,9,7,38,748432,0,0
1,201286,39,2,21,199007,1,1
0,313484,153,6,14,310344,0,0
0,13944,65,5,44,11467,0,1
0,43791,74,6,9,40663,0,1
0,116617,57,6,13,113450,0,0
0,1126783,133,5,39,1124243,0,1
0,4790,126,6,63,1644,0,1
0,304,130,7,64,2,0,0
0,30678,116,7,9,29548,0,1
0,642289,109,6,8,639173,0,0
0,40231,112,7,82,38468,0,1
0,704,15,3,57,18,0,1
1,701522,73,2,26,698580,1,0
0,33620,88,6,38,30504,0,1
1,673825,85,2,26,670661,1,0
1,782421,66,2,26,781378,1,0
1,100486,56,2,13,98009,1,0
0,632799,52,6,19,629461,0,0
0,559272,84,6,40,556483,0,0
0,4270,38,5,42,1799,0,1
1,673601,77,2,27,670680,1,0
0,429068,86,6,25,425925,0,0
0,484,141,8,91,2,0,1
