Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,91,320234,147,147,23,15,319014
1,27,81801,40,40,11,45,80905
1,84,15410,226,226,2,38,14340
0,58,2162466,66,66,11,19,2161639
0,82,779639,95,95,2,14,778437
1,53,1098996,239,239,3,18,1097833
1,10,444826,201,201,11,14,443996
0,56,1077230,227,227,11,15,1076451
1,86,33929,169,169,20,2,32910
0,58,1422032,55,55,15,19,1421220
1,86,652441,52,52,2,8,651695
0,41,402463,87,87,21,5,401243
0,27,18040,108,108,23,58,16886
1,10,402910,139,139,11,14,402068
0,50,1153229,240,240,22,18,1151997
1,95,750678,156,156,24,18,750031
1,22,9906,4,4,22,23,8728
1,0,12258,155,155,23,69,11053
1,52,2202990,65,65,24,19,2202343
0,45,1011398,159,159,1,18,1010715
0,52,375897,23,23,26,19,375253
1,10,992655,211,211,11,14,991897
1,85,4632,137,137,22,32,3406
0,10,581117,205,205,15,14,580287
1,43,493669,121,121,33,15,492404
1,52,749602,56,56,16,19,748862
0,27,1832,61,61,22,47,591
0,24,217780,244,244,12,5,216641
1,50,1088191,238,238,16,18,1087412
0,62,822069,208,208,18,14,821287
0,37,10709,218,218,2,78,9531
0,39,23056,193,193,18,74,22262
0,10,691455,92,92,11,14,690643
0,8,497406,34,34,2,4,496306
1,38,365512,36,36,23,4,364310
0,27,9985,151,151,0,66,9303
0,2,4174,29,29,2,42,2966
0,10,1070767,196,196,11,14,1069991
1,55,599280,204,204,11,14,598465
1,0,26139,27,27,11,42,25351
1,25,182780,42,42,2,12,181743
0,48,196658,242,242,14,5,195561
1,62,394684,22,22,1,14,394031
0,65,1897997,128,128,11,18,1897239
1,27,1860,163,163,0,70,1114
0,55,589228,206,206,23,14,588062
0,71,400728,176,176,0,15,399566
0,7,617253,207,207,11,14,616495
0,53,745129,162,162,2,9,744176
0,96,1428734,54,54,26,19,1428093
1,45,1968229,126,126,11,18,1967444
0,93,13702,26,26,2,41,12743
0,71,1193619,232,232,1,15,1192936
0,79,210588,243,243,20,5,209491
0,77,17599,79,79,2,51,16553
0,10,1057942,133,133,22,14,1056725
1,53,663709,105,105,11,18,662936
0,99,1471918,183,183,5,17,1470884
1,64,884301,141,141,2,14,883339
0,27,18090,97,97,29,53,17131
1,53,1783506,130,130,11,18,1782673
0,71,1194158,233,233,0,15,1193721
1,100,5205,98,98,2,54,4201
0,38,177073,106,106,2,20,175745
0,94,153559,235,235,29,80,152606
0,90,4472,216,216,23,76,3321
1,72,979496,116,116,29,19,978543
1,35,1905082,69,69,11,19,1904309
1,1,27009,45,45,2,28,25858
0,93,38006,197,197,11,75,37197
0,99,1221966,178,178,14,17,1220947
1,32,226729,43,43,0,12,226322
0,68,76658,39,39,0,45,76494
1,96,987733,114,114,0,19,987176
1,4,937169,158,158,2,18,936387
1,91,416187,122,122,23,15,415021
1,52,983808,115,115,29,19,982858
1,20,497744,120,120,33,15,496932
1,92,3831,170,170,2,73,3070
0,66,3587,164,164,2,71,2544
1,27,10011,38,38,11,44,9199
0,52,1474427,53,53,27,19,1473666
0,81,36547,223,223,9,37,35690
1,87,531335,174,174,0,1,530982
1,43,477748,119,119,2,15,476525
1,15,1925877,68,68,2,19,1925107
1,35,1564778,74,74,16,19,1564014
0,91,1106541,228,228,22,15,1105297
1,2,15525,110,110,8,31,14710
1,12,2102,112,112,2,59,1101
1,46,178084,111,111,21,16,176870
1,7,712890,93,93,18,14,712129
1,7,77581,8,8,20,8,76523
0,10,855470,140,140,7,14,854496
1,44,1677,77,77,28,49,712
0,91,301271,148,148,18,15,300510
0,17,11639,198,198,2,75,10170
1,95,2202884,185,185,24,18,2202237
1,99,1487286,181,181,14,17,1486264
1,27,2879,135,135,11,62,2091
0,57,12102,220,220,0,35,11231
1,82,563168,90,90,2,14,561921
1,69,12897,5,5,0,24,11857
0,10,878597,143,143,11,14,877761
0,6,2640,172,172,2,33,1327
1,53,2089274,125,125,24,18,2088630
0,38,384191,37,37,14,4,383100
1,51,323886,161,161,25,11,323095
0,88,571633,48,48,11,7,570836
0,96,684782,58,58,29,19,683826
0,95,914563,157,157,26,18,913814
0,0,31139,62,62,22,48,29922
0,78,1247221,180,180,2,17,1246121
1,78,1222996,107,107,16,19,1222181
0,10,297062,81,81,22,14,295851
0,62,1049347,134,134,15,14,1048619
1,54,36628,46,46,23,28,35402
1,15,1131697,171,171,2,19,1130438
0,81,31870,222,222,11,37,31118
1,25,295086,101,101,2,12,293887
1,10,946792,6,6,22,14,945539
0,61,2901,221,221,2,36,1762
0,99,1639752,124,124,19,17,1638709
0,59,644758,118,118,25,6,643769
1,89,17814,236,236,28,80,16873
1,23,826530,12,12,18,18,825718
0,50,335,10,10,0,25,3
1,63,7239,184,184,2,0,5971
0,40,41030,153,153,2,68,39978
0,0,19059,168,168,11,72,18244
0,97,1188618,194,194,30,14,1187623
0,52,1745136,192,192,16,19,1744339
1,34,2521,109,109,2,58,1283
0,91,250812,146,146,22,15,249592
0,58,731234,57,57,11,19,730422
1,7,1075329,3,3,1,14,1075195
0,25,137805,160,160,2,12,136807
0,62,492438,202,202,22,14,491209
0,16,1604402,189,189,17,18,1603254
1,0,11189,50,50,23,46,10047
1,70,13960,13,13,2,26,13361
0,0,39296,63,63,22,48,38151
1,7,375903,35,35,20,4,374896
0,90,12268,237,237,22,81,10958
1,58,2097143,191,191,11,19,2096334
0,27,13009,154,154,23,68,11804
0,88,550504,49,49,11,7,549704
1,33,11743,224,224,11,37,10985
0,34,556235,173,173,2,1,555144
0,56,1165493,230,230,11,15,1164663
0,75,381597,14,14,2,10,380962
1,19,9178,76,76,11,29,8375
1,53,2165485,186,186,24,18,2164835
0,46,41345,80,80,32,30,40839
0,73,29968,166,166,2,72,28721
0,28,358168,103,103,24,18,357524
1,5,517373,21,21,2,14,516597
0,98,37518,31,31,11,27,36670
0,47,1588977,123,123,30,17,1588012
1,67,1147481,177,177,7,17,1146423
0,82,15379,219,219,11,78,14528
0,80,77977,41,41,11,3,77144
