Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1662950,13,13,17,2,1,17,1661937,1
0,384182,75,75,7,4,0,13,382887,0
0,1957918,57,57,19,8,0,52,1956215,0
0,740372,23,23,15,9,0,22,739299,0
0,1356346,48,48,19,8,0,29,1354634,1
0,401051,45,45,6,0,0,1,400292,0
1,545819,22,22,15,24,1,25,544815,0
0,807440,72,72,13,17,0,37,806025,0
1,120630,14,14,3,24,1,50,119065,0
0,2350,5,5,25,13,0,6,965,0
0,183296,63,63,4,19,0,5,181743,1
0,96204,71,71,37,5,0,6,95182,1
1,2122182,2,2,19,2,1,13,2120788,1
0,434782,74,74,7,10,0,35,433358,0
1,373406,51,51,20,2,1,26,371496,1
0,276965,34,34,2,14,0,12,276033,1
0,2133734,55,55,18,1,0,0,2133172,1
1,1720929,30,30,17,24,1,2,1719919,0
0,802557,79,79,12,16,0,27,801154,0
0,432759,19,19,9,22,0,8,431323,0
1,428550,44,44,6,2,1,42,427162,0
0,406809,78,78,19,11,0,18,405529,0
0,423414,18,18,9,1,0,34,422794,0
0,488962,26,26,2,1,0,43,488378,0
1,603942,61,61,15,2,1,25,602953,1
0,649350,3,3,19,10,0,24,647746,1
0,1053526,27,27,19,18,0,14,1052240,1
0,428424,40,40,7,21,0,54,427006,0
0,532018,81,81,6,10,0,38,530630,0
1,6897,4,4,24,24,1,21,5479,0
1,413826,41,41,7,2,1,28,412408,0
1,1480218,11,11,19,2,1,55,1478512,1
1,1111176,69,69,16,24,1,15,1109698,0
0,168069,0,0,5,12,0,9,166519,0
0,406516,39,39,7,10,0,13,405110,0
1,5338,43,43,1,24,1,23,4406,1
1,461547,46,46,6,2,1,42,460189,0
1,21584,9,9,11,2,1,49,19890,1
0,489416,6,6,2,0,0,43,489063,0
0,3277,17,17,21,21,0,31,1805,0
0,375903,7,7,2,6,0,4,374896,1
0,445437,42,42,19,11,0,11,444157,0
1,464293,20,20,9,2,1,48,462872,1
0,5790,24,24,29,17,0,33,4375,1
1,17774,66,66,23,2,1,47,16488,1
0,1623870,29,29,17,10,0,44,1622425,0
0,1178108,70,70,16,18,0,3,1176633,0
0,1206373,50,50,19,0,0,11,1204937,0
0,915863,35,35,15,1,0,22,915636,0
0,10843,64,64,34,0,0,51,9875,1
0,2077637,31,31,18,10,0,40,2076276,0
0,161,65,65,35,1,0,39,3,1
0,4346,59,59,32,20,0,7,2898,0
1,411951,36,36,14,2,1,29,410611,0
1,1613551,56,56,18,2,1,23,1612028,0
1,486119,28,28,16,24,1,15,484647,1
0,21672,12,12,28,0,0,20,20227,1
0,848504,1,1,18,10,0,25,847224,1
0,1885991,15,15,19,12,0,29,1884423,1
0,229325,58,58,8,21,0,45,227910,0
0,42175,60,60,33,20,0,47,40730,0
0,1861827,33,33,18,13,0,10,1860490,0
1,2138530,54,54,18,2,1,23,2137184,1
1,6645,68,68,36,2,1,19,5179,1
1,401095,21,21,10,2,1,3,399644,0
1,440871,73,73,7,2,1,28,439477,0
0,129767,80,80,0,15,0,32,128835,0
0,1181813,53,53,17,0,0,46,1181490,1
1,377047,76,76,7,2,1,41,375671,0
0,407538,25,25,0,0,0,30,407386,1
1,395492,77,77,7,2,1,9,394080,0
1,19699,10,10,27,2,1,16,17999,0
1,1461,38,38,31,2,1,36,1,0
0,1673448,16,16,19,6,0,29,1672462,0
0,56906,8,8,26,19,0,53,55425,1
1,5370,62,62,22,2,1,47,3925,0
1,587224,82,82,6,2,1,15,585836,0
0,1876953,32,32,18,21,0,0,1875676,0
0,1345315,49,49,19,3,0,29,1343381,1
1,385849,47,47,6,2,1,42,384458,0
0,18574,37,37,30,1,0,8,17966,0
0,1142020,52,52,17,23,0,44,1140743,0
0,39044,67,67,36,7,0,9,37485,1
