Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,26,44,1158920,0
0,7614,2,0,0,2,60,1030,1
0,609988,159,159,1,125,10,605538,1
0,1211309,164,164,1,133,49,1200861,0
0,71128,82,82,1,18,45,60752,1
1,18759,154,154,3,77,107,8548,1
0,52109,56,56,1,63,5,41772,1
0,64484,129,129,2,97,30,55971,1
0,424181,140,140,1,68,10,413739,0
0,225503,223,223,1,117,8,215040,0
1,1026196,143,143,3,36,49,1015775,0
0,330111,110,110,1,75,15,322282,0
0,458221,51,51,1,111,10,447770,1
0,685626,121,121,1,84,30,675331,0
0,18045,174,174,1,69,110,7588,0
0,108909,132,132,1,53,27,98518,1
0,47512,126,126,1,15,29,39092,1
0,775910,133,133,1,93,33,765552,0
0,22103,172,172,1,55,33,14689,1
0,332104,169,169,1,55,33,321641,0
0,7780,8,8,2,124,63,2,1
1,11317,87,87,3,42,30,5433,1
0,573981,160,160,1,125,10,563530,0
0,459416,62,62,1,140,34,449073,1
1,5380,25,25,3,27,75,2,1
1,214744,9,9,3,39,38,206012,1
0,31572,76,76,1,25,36,21127,1
0,63253,175,175,1,79,111,52823,1
0,286931,192,192,1,97,51,283691,0
1,162112,185,185,3,108,23,156224,0
0,14171,180,180,2,62,34,4392,1
0,11492,32,32,1,59,78,5925,1
0,26884,61,61,1,54,16,16478,1
0,45907,207,207,2,17,50,38978,1
0,13390,162,162,1,126,70,2987,0
0,698669,83,83,1,69,23,688299,0
0,9732,193,193,1,19,116,1,0
1,1233807,178,178,3,137,46,1224493,1
0,62951,95,95,1,88,53,52593,1
0,970184,186,186,1,86,46,959784,1
0,138304,216,216,1,52,13,127910,1
0,13701,155,155,1,82,108,3220,1
0,689245,14,14,1,15,29,678794,0
0,5595,6,6,2,138,62,1,1
0,213628,101,101,1,130,52,203258,0
1,24168,114,114,3,23,98,13795,0
0,31191,123,123,1,56,35,20812,1
0,3034,92,92,2,89,95,2,0
0,347060,220,220,2,140,34,339083,1
1,127990,152,152,3,123,53,117557,1
0,390898,219,219,1,75,34,380639,1
0,60872,208,208,1,22,50,50520,1
0,225073,35,35,1,40,27,217409,1
0,842551,213,213,1,6,35,832124,0
0,475972,78,78,2,85,2,470489,0
0,534898,115,115,2,103,33,529028,1
0,59093,70,70,1,67,29,53591,1
0,2345983,167,167,1,22,50,2335691,0
0,33876,201,201,1,73,121,23431,0
0,2017022,4,4,2,101,48,2011656,0
1,796435,42,42,3,136,32,786038,0
0,908777,38,38,1,102,37,898398,0
1,1020605,202,202,3,20,48,1014285,0
1,25728,94,94,3,40,55,21774,1
0,13163,66,66,1,51,87,2601,0
1,789447,214,214,3,114,35,779023,0
0,7954,194,194,2,70,117,2,0
1,743366,12,12,3,94,28,733188,0
0,1028641,19,19,1,100,40,1018586,0
0,69531,218,218,1,52,13,59128,1
0,5243,69,69,1,48,88,2,0
0,9826,22,22,2,115,74,2831,0
1,12411,135,135,3,3,102,1858,1
0,6482,3,3,2,70,61,3,0
0,78813,198,198,1,141,51,72588,1
0,12312,197,197,2,7,51,7990,1
0,40663,199,199,1,126,120,30197,1
0,51361,102,102,1,40,27,40991,1
0,288082,210,210,1,95,50,277652,0
0,328819,65,65,1,72,30,318764,0
0,127475,173,173,1,91,54,117093,1
0,32850,188,188,1,100,9,28143,1
0,207695,53,53,1,112,15,204667,0
0,36235,217,217,1,53,13,25871,1
0,11147,33,33,2,118,79,4143,0
1,1351353,156,156,3,137,46,1340908,0
0,656937,158,158,1,1,22,646543,0
0,745319,40,40,1,135,32,734937,0
0,353296,98,98,2,7,51,348857,1
0,7476,0,1,2,103,59,127,0
0,21015,77,77,1,65,18,14486,1
0,5481,157,157,2,38,109,1,0
0,5231,27,27,1,134,66,1,1
0,78745,64,64,1,1,43,68291,1
1,574518,144,144,3,98,12,565420,0
1,27113,195,195,3,139,118,16665,1
1,647211,118,118,3,137,46,636820,0
0,802151,13,13,1,116,50,791817,1
0,65194,21,21,1,43,0,54806,0
0,6388,125,125,1,129,100,323,1
1,296067,111,111,3,76,33,288610,0
0,62219,39,39,1,134,82,51870,0
0,19188,34,34,1,16,80,11071,1
0,34912,171,171,1,133,33,27714,1
0,239506,163,163,2,72,15,231410,0
1,595061,49,49,3,91,25,584655,0
1,52443,44,44,3,20,48,42064,1
0,5929,153,153,1,13,69,3,0
1,35770,43,43,3,64,83,25298,1
0,5956,20,20,1,135,73,733,0
0,586972,47,47,1,12,8,576509,0
0,88568,200,200,1,58,120,78117,1
1,13525,109,109,3,97,97,3143,0
0,623676,91,91,1,22,12,613279,0
0,11537,176,176,1,87,112,1098,1
0,505288,11,11,1,131,4,494840,0
0,39653,24,24,1,63,37,33702,1
0,158064,215,215,1,99,13,147781,1
0,54831,127,127,1,97,51,44338,1
0,1392969,106,106,1,0,49,1382515,1
0,2345195,168,168,1,141,51,2334792,0
0,5893,36,36,1,14,81,1,0
0,1174010,190,190,2,100,43,1168695,0
0,563694,145,145,1,90,26,556752,1
0,89016,120,120,1,14,42,78604,1
0,487135,86,86,1,110,38,478468,1
0,3341,191,191,2,92,115,3,0
0,5467,74,74,2,78,91,2,0
0,6015,150,150,2,30,28,103,1
0,6046,80,80,2,43,93,2,1
0,24830,103,103,1,40,27,14646,1
0,599807,112,112,1,41,18,589443,0
0,8611,119,119,1,50,68,3,0
0,940675,90,90,1,35,49,930293,1
1,566844,204,204,3,81,17,556376,0
0,94486,149,149,1,57,37,84056,1
0,19647,55,55,1,109,85,9304,1
0,1142692,89,89,2,29,48,1136952,1
0,17336,68,68,1,80,12,6891,1
1,6309,71,71,3,22,89,1,1
0,6144,63,63,1,44,86,3,0
0,818767,122,122,1,122,29,810066,0
0,252780,212,212,1,113,16,242332,0
1,6275,17,17,3,50,72,3,0
1,9243,23,23,3,11,65,3028,1
0,230403,211,211,1,68,10,222871,0
0,545365,222,222,1,83,19,535076,0
0,54812,5,5,1,106,32,50482,1
1,5690,79,79,3,128,92,3,0
0,6239,137,137,2,63,104,3,1
1,47046,58,58,3,71,67,36631,0
0,1352921,108,108,1,49,49,1342479,0
0,536745,48,48,1,104,18,531839,0
1,1415129,7,7,3,137,46,1406220,0
0,53597,31,31,1,0,57,43140,1
0,6877,30,30,1,84,77,2,0
0,82139,165,165,1,21,3,71676,1
1,571446,182,182,3,66,33,561022,1
0,138943,50,50,2,69,23,131411,0
1,40882,93,93,3,96,41,30431,1
0,64329,99,99,1,132,1,53935,0
0,19778,84,84,1,95,94,9420,0
0,409474,181,181,1,24,33,399029,1
0,656716,88,88,1,5,21,646334,0
0,1441553,107,107,1,35,49,1431102,0
0,796416,189,189,1,5,29,789632,0
0,18102,16,16,1,120,71,7759,0
0,635740,97,97,1,33,14,625292,0
0,29124,138,138,1,14,104,18715,1
0,510863,221,221,1,10,6,500484,0
0,347622,85,85,1,111,50,337195,0
1,8750,10,10,3,107,64,352,0
1,12299,148,148,3,50,106,2049,1
0,816094,67,67,1,93,33,805796,0
0,746001,147,147,1,8,31,735628,0
0,18044,37,37,1,10,30,13358,1
0,902706,96,96,1,32,38,892584,0
0,97751,81,81,2,84,23,91272,1
0,406298,26,26,1,7,31,400980,0
0,490459,113,113,1,50,7,480062,0
0,188433,130,130,1,125,10,178087,1
0,191125,46,46,1,13,24,180626,0
0,400877,72,72,2,7,31,396354,0
0,571102,15,15,1,105,39,563645,0
0,508446,161,161,1,68,10,497998,0
0,22907,1,2,2,22,50,17262,1
1,192236,131,131,3,47,28,185259,1
0,7036,196,196,1,127,119,1,1
0,1048694,139,139,1,37,41,1038261,0
1,14711,136,136,3,138,103,4479,1
0,5905,54,54,1,56,84,1,1
1,8139,179,179,3,60,113,1,1
1,15047,124,124,3,43,99,4680,1
0,610602,142,142,1,127,26,600223,0
0,46671,100,100,1,44,96,36289,1
0,149649,117,117,2,26,23,143326,0
0,682115,116,116,1,24,33,675892,0
0,30892,75,75,1,125,22,20468,0
0,56068,177,177,1,24,112,45617,0
0,2370774,166,166,1,95,50,2360422,0
0,107347,18,18,1,121,56,100946,1
1,364951,60,60,3,40,55,356759,1
1,79790,209,209,3,4,50,69342,1
0,34480,146,146,1,13,24,24017,1
0,501262,104,104,1,24,20,494255,0
0,7213,73,73,1,31,90,1,1
1,12287,134,134,3,6,101,1776,1
0,572820,184,184,1,129,11,566630,0
0,1301475,105,105,1,58,49,1291027,1
0,53674,205,205,1,141,58,43286,1
0,7785,141,141,2,46,105,1726,0
0,1049310,59,59,1,45,47,1038856,0
0,22220,224,224,1,105,39,11901,1
1,934030,203,203,3,28,48,926063,1
0,243214,170,170,1,55,33,232769,0
0,76316,29,29,2,79,31,71757,1
0,5029,28,28,2,74,76,2,1
0,780586,128,128,1,9,36,770171,0
0,12152,206,206,1,119,122,4158,1
0,102066,45,45,1,129,11,91621,1
0,19621,52,52,1,121,56,13649,1
0,72152,151,151,1,61,28,61794,1
0,600090,183,183,1,103,33,589645,1
1,9497,187,187,3,34,114,3,0
0,364064,57,57,1,24,33,353619,1
