Gene_Type,Gene_Description,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Genomic_End_Position
0,0,1,51,0,13,7,13,53,1097
0,0,27168,2,1,54,6,54,10,30308
1,0,80808,22,1,21,2,21,82,81368
0,0,5,52,0,10,1,10,24,763
0,0,701626,36,0,19,8,19,26,703218
1,0,4336,75,1,83,2,83,29,5286
1,0,92599,32,1,101,2,101,48,93861
0,0,713525,38,0,50,6,50,49,716461
0,0,578019,4,0,113,5,113,23,581462
0,0,211864,10,0,149,8,149,30,212280
1,0,36347,86,0,134,2,134,57,38881
0,0,294389,14,0,82,6,82,86,297517
0,0,81473,22,1,123,8,123,89,83014
0,0,1,92,1,142,8,142,27,720
0,0,665952,24,0,22,8,22,25,666404
1,0,29316,31,1,0,2,0,85,30302
1,0,3882,26,1,132,2,132,33,5807
1,0,115842,9,1,99,2,99,34,118859
0,0,6585,67,0,43,6,43,39,9728
0,0,11478,69,0,48,8,48,87,12029
1,0,5257,16,1,70,2,70,8,6579
1,0,3116,73,1,79,2,79,43,4234
1,0,97369,12,0,111,2,111,27,99546
1,0,29739,10,1,61,2,61,49,32123
1,0,925927,31,0,125,2,125,85,929052
0,0,1628,76,1,91,5,91,1,4123
0,0,113450,13,0,57,6,57,42,116617
1,0,5945,70,0,67,2,67,90,8113
0,0,1371,89,1,139,6,139,50,4229
0,0,30782,9,1,7,8,7,77,33235
0,0,1,53,0,16,8,16,86,1206
1,0,788021,29,0,98,2,98,10,789292
1,0,49949,34,1,128,2,128,23,53098
1,0,97825,1,1,114,2,114,81,99066
0,0,315535,14,0,154,6,154,41,318588
0,0,3,49,0,11,8,11,91,1289
0,0,1,94,1,144,8,144,61,546
1,0,383429,46,1,5,2,5,58,383983
1,0,212382,10,0,150,2,150,49,213521
1,0,55166,41,1,45,2,45,55,57661
1,0,72053,8,1,152,2,152,67,74545
1,0,5653,59,0,28,2,28,47,8781
0,0,3,58,0,1,7,1,31,599
0,0,78709,10,1,147,6,147,14,81855
1,0,338959,4,1,29,2,29,72,341238
0,0,225387,43,0,80,8,80,68,227216
1,0,4192,79,0,106,2,106,87,5181
1,0,97820,2,1,55,2,55,3,99079
0,0,35156,9,1,6,7,6,77,35758
1,0,44743,38,1,89,2,89,17,46653
0,0,518232,1,0,25,6,25,54,521345
0,1,50976,10,1,60,6,60,37,54155
1,0,96035,30,1,122,2,122,60,96937
0,0,5,55,0,20,8,20,17,1771
0,0,7177,85,0,129,8,129,79,9252
0,0,1,54,1,18,8,18,62,1005
1,0,572590,3,0,49,2,49,30,573456
1,0,550361,20,1,119,2,119,28,552643
1,0,1015075,34,0,51,2,51,11,1017672
0,0,11,56,1,14,8,14,92,1291
0,0,52233,0,1,131,6,131,52,55385
