Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,38,28251,116,70,27310
0,66,497232,50,1,497002
0,37,1220025,98,36,1218841
0,34,2356,7,44,188
1,48,553680,112,24,551527
0,16,17469,87,49,15220
0,62,551749,32,18,551012
1,63,160581,125,12,159610
1,7,17708,30,57,16425
0,3,802663,58,29,801878
1,51,501852,59,33,499696
1,35,1105132,107,32,1103840
1,43,590889,96,15,588715
0,13,2355697,100,38,2354525
1,36,5081,19,11,2874
0,58,2356776,6,38,2355799
0,35,1431,21,51,1
0,17,1193345,106,32,1191366
0,42,195717,5,7,194815
1,60,395040,111,24,392911
0,68,1058918,109,34,1056777
1,11,114991,85,3,114542
1,17,161676,78,12,160684
1,23,5239,49,60,3059
1,52,2942,34,58,882
1,18,603844,97,15,602780
1,2,18169,8,16,16115
0,57,508321,33,2,506186
1,66,32651,27,55,31587
0,1,646319,103,13,643902
1,60,346367,41,24,344166
0,61,2001346,64,37,1998842
0,48,705460,51,24,703286
0,36,203063,81,6,200871
0,20,5373,104,67,3175
1,58,80858,14,38,80019
0,67,53186,22,0,51024
1,28,18788,26,42,16752
1,20,9199,105,68,7001
0,48,305003,101,24,302736
0,54,194168,89,18,192141
1,17,605835,114,32,604711
1,44,302402,44,12,301785
1,43,628874,56,15,628374
1,58,1560715,16,38,1558235
1,17,141673,126,12,140918
1,65,38921,60,11,36609
1,0,352533,110,40,352018
0,29,879776,20,27,877512
1,39,229342,93,27,227192
1,3,6731,35,29,4560
1,43,628270,37,15,627785
0,25,875271,71,32,874933
1,6,53693,57,30,52560
1,61,1092022,123,37,1090076
1,13,45587,119,72,43530
1,49,2117,25,54,3
0,54,573072,94,18,571858
0,5,10034,9,45,9492
1,19,64228,75,22,62066
1,47,238993,67,25,236726
0,37,479217,79,14,477172
0,13,606833,36,38,604902
1,51,356850,24,41,356083
0,48,6331,18,50,3935
1,15,69895,4,22,67685
1,22,9794,122,73,7884
1,4,4270,23,52,3989
0,39,122127,120,72,120202
0,54,551317,83,19,549344
1,11,85717,39,3,84713
0,45,12912,3,43,12295
1,14,116089,76,2,115388
0,7,24063,90,66,21859
0,54,399746,92,19,397836
0,18,551038,38,15,548948
1,39,258202,88,27,255983
1,53,7513,2,26,7115
0,37,522056,129,14,520707
0,55,560632,53,18,560198
1,45,8796,43,4,6766
0,18,242101,45,17,241769
0,60,742170,80,24,739927
0,2,13846,12,46,12761
1,61,886828,77,37,884852
0,35,656983,70,32,654773
1,64,29812,132,28,28472
1,2,45873,86,65,43711
0,26,2323,66,62,1850
0,17,510087,17,32,508918
1,24,20468,95,5,18309
1,28,3818,117,71,2061
1,61,2179419,99,37,2176948
0,40,143770,130,8,141896
0,27,395811,48,21,393328
0,24,50190,28,56,48196
1,33,107570,31,10,105642
1,8,216636,68,25,214564
1,30,26356,42,59,24182
1,52,521,0,53,3
0,23,2747,84,64,2046
0,32,843337,63,23,841178
0,12,630544,13,19,630077
1,61,61722,124,37,61057
0,12,414917,91,19,412986
0,39,149082,121,72,147823
0,41,630340,40,20,629867
0,55,576256,1,18,575726
1,17,8315,11,32,7779
0,33,640806,113,10,638620
0,12,808511,73,19,806334
1,39,22616,118,72,21297
1,22,7341,15,47,5542
1,21,591642,55,15,591283
1,3,5374,108,69,4073
1,56,15656,47,1,13635
0,12,495949,82,19,493973
1,10,33070,65,61,31073
0,9,12118,52,48,9896
1,26,569,74,63,3
0,37,1428134,62,36,1426182
0,50,2001160,72,35,1999253
1,58,967593,54,38,965515
0,31,1157244,29,31,1157023
1,8,292285,128,25,290090
1,27,131468,102,39,129252
0,59,429,127,74,1
0,39,461012,69,10,460530
0,48,804175,46,24,801998
0,45,1718373,10,36,1716442
0,53,111044,131,9,109113
0,17,853635,115,32,852247
1,46,1375094,61,36,1372983
