Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
1,6912,12,12,1,0,40,36,4054
0,152656,69,69,1,0,36,6,149750
1,3512,38,38,1,0,43,45,570
0,2374,41,41,3,1,41,46,2
1,595601,33,33,1,0,3,12,591036
1,478366,53,53,1,0,24,14,476669
0,623307,61,61,1,0,50,4,621664
0,2321780,59,59,1,0,32,20,2320431
0,2321637,23,23,3,1,5,21,2320534
1,613086,34,34,1,0,38,12,611617
1,5459,13,13,3,1,2,37,369
1,85207,70,70,3,1,12,4,81746
1,6009,71,71,3,1,7,56,1594
0,241168,58,58,1,0,37,2,239609
0,10189,66,66,1,0,17,55,8723
1,12357,15,15,1,0,20,39,7624
1,48747,74,74,3,1,15,16,45235
0,166284,40,40,3,1,11,6,162214
0,2470,32,32,1,0,45,43,2
1,39716,22,22,1,0,39,15,38265
0,585395,44,44,1,0,10,3,582072
1,1879,4,4,2,0,1,24,2
0,685088,7,7,1,0,47,11,683411
1,187784,10,10,1,0,40,8,184617
1,3165,35,35,2,0,44,44,1
1,467386,67,67,0,1,42,11,461438
0,2326,14,14,3,1,17,38,2
0,463665,37,37,1,0,49,5,460870
0,769652,6,6,1,0,28,10,767703
0,576641,68,68,3,1,38,1,572922
0,219070,18,18,1,0,9,7,217661
1,1251315,39,39,3,1,0,18,1250056
1,14382,52,52,1,0,49,4,9970
1,31870,54,54,3,1,13,50,22712
0,574606,45,45,1,0,25,3,573398
0,2053,48,48,1,0,7,32,2
1,13747,20,20,3,1,30,17,12191
1,6974,51,51,3,1,16,49,1995
1,1537,1,1,2,0,16,26,2
1,1556,2,2,2,0,20,59,3
0,1997,5,5,1,0,31,25,1
1,26175,25,25,2,0,52,20,23011
0,375450,17,17,3,1,32,22,373273
1,11280,9,9,3,1,23,34,2713
1,72487,43,43,1,0,51,21,68564
0,3322,11,11,2,0,48,35,2
0,2309,31,31,1,0,28,31,3
1,5982,0,0,1,0,12,58,4234
0,4784,27,27,1,0,46,42,3
0,1059473,73,73,1,0,6,19,1058121
1,2868,26,26,1,0,15,28,1600
1,348754,57,57,1,0,4,21,344585
1,4686,63,63,2,0,35,53,1
1,24031,24,24,1,0,8,27,21731
1,513352,29,29,3,1,47,13,509741
0,4676,65,65,1,0,34,54,3
0,1271,28,28,1,0,14,29,3
0,8695,49,49,3,1,47,33,5075
0,2498,42,42,1,0,21,47,3
1,1119042,64,64,3,1,3,18,1112740
1,304737,75,75,3,1,46,12,299488
1,78154,46,46,1,0,18,0,73799
1,37338,36,36,1,0,21,23,35617
1,35785,3,3,1,0,24,9,34078
1,89064,47,47,1,0,19,0,84641
1,50380,8,8,1,0,27,10,48473
1,5803,62,62,1,0,26,52,896
0,4720,21,21,1,0,2,41,2
1,4039,60,60,1,0,9,51,1
0,2312,50,50,1,0,33,48,2
1,22057,55,55,1,0,24,9,19652
1,5221,30,30,1,0,10,30,2141
0,4653,16,16,3,1,14,40,1
1,72456,19,19,3,1,29,6,65872
0,2190,72,72,1,0,12,57,1
1,21673,56,56,1,0,22,23,20189
