Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,1160395,347,347,22,3,1,55,1159709,0
1,0,18293,404,404,95,3,1,156,17649,0
0,0,7200,134,134,45,4,0,24,6637,0
0,0,55025,359,359,83,4,0,100,54438,0
0,0,1464254,88,88,28,4,0,96,1463646,0
0,0,494817,203,203,23,4,0,14,494134,1
0,0,2016292,329,329,27,4,0,62,2015537,0
0,0,9057,388,388,90,4,0,90,8128,0
0,0,4555,132,132,64,4,0,130,3962,0
0,0,683253,98,98,28,4,0,57,682675,0
1,0,844685,368,368,22,3,1,112,844098,0
1,0,112468,401,401,94,1,1,36,111971,0
0,0,4870,340,340,78,4,0,139,4217,0
0,0,2682,264,264,76,4,0,130,1954,0
0,0,163066,8,8,8,4,0,142,162521,1
0,0,1955674,332,332,28,4,0,160,1955171,0
0,0,756041,99,99,28,4,0,96,755460,1
0,0,1368555,309,309,28,4,0,75,1367977,1
0,0,1487064,92,92,28,4,0,28,1486369,1
1,0,44362,301,301,15,3,1,121,43754,1
0,0,265007,258,258,23,4,0,5,264339,0
0,0,120884,35,35,14,2,0,106,120498,0
0,0,1921473,108,108,28,4,0,57,1920904,1
0,0,458814,352,352,17,4,0,99,458125,0
0,0,316703,371,371,16,4,0,45,316059,0
0,0,548591,226,226,19,2,0,40,548190,0
0,0,1604078,116,116,28,4,0,75,1603452,0
0,0,85370,62,62,58,4,0,76,84681,0
0,0,17407,261,261,74,4,0,41,16820,0
0,0,1033564,298,298,18,4,0,167,1032920,0
1,0,1738968,28,28,27,3,1,40,1738420,0
0,0,6677,379,379,86,4,0,89,6162,1
0,0,278070,222,222,3,4,0,157,277438,1
0,0,1731530,336,336,28,4,0,57,1730895,0
0,0,477620,206,206,6,4,0,112,476973,0
0,0,567879,381,381,20,2,0,88,567310,0
0,0,10321,126,126,61,4,0,41,9749,0
0,0,1686468,112,112,28,4,0,96,1685914,0
0,0,7629,230,230,70,4,0,41,6979,0
0,0,1645,356,356,83,4,0,104,1004,0
0,0,376974,56,56,3,4,0,150,376393,1
1,0,807869,25,25,27,3,1,117,807330,1
0,0,426818,137,137,4,4,0,128,426186,1
0,0,39701,53,53,57,4,0,41,39237,1
0,0,307213,259,259,23,4,0,14,306524,0
0,0,782,47,47,54,4,0,126,129,1
0,0,1132814,317,317,28,4,0,57,1132212,1
0,0,36247,72,72,15,4,0,63,35642,1
0,0,159847,68,68,14,4,0,98,159101,1
0,0,717564,270,270,27,4,0,122,716974,1
0,0,1637787,114,114,28,4,0,57,1637185,1
0,0,487905,170,170,3,4,0,150,487330,0
1,0,356421,430,430,13,3,1,137,355831,1
0,0,1932015,107,107,28,4,0,96,1931470,0
0,0,2027,40,40,52,4,0,71,1341,0
0,0,1743790,335,335,28,4,0,57,1743146,0
0,0,515441,207,207,6,4,0,65,514617,0
0,0,1118634,319,319,28,4,0,152,1117975,1
1,0,347837,18,18,3,3,1,9,347313,0
0,0,250738,323,323,3,4,0,157,250097,0
0,0,1579,3,3,34,4,0,166,1004,1
0,0,570400,76,76,7,4,0,114,569783,0
0,0,552848,145,145,22,4,0,163,552180,1
0,0,52129,265,265,76,4,0,130,51491,0
1,0,19103,380,380,86,3,1,31,18480,1
0,0,4829,257,257,73,4,0,37,4128,0
0,0,599763,233,233,10,4,0,6,598996,1
0,0,436400,12,12,16,4,0,26,435816,0
0,0,1148872,410,410,27,4,0,33,1148204,0
0,0,339516,225,225,3,4,0,82,338926,0
0,0,1581481,215,215,26,4,0,84,1580900,1
0,0,1081012,406,406,27,4,0,169,1080440,1
0,0,15668,344,344,79,4,0,20,15015,0
0,0,6518,304,304,1,4,0,150,5874,1
0,0,26110,306,306,14,4,0,31,25487,1
1,0,504309,428,428,4,3,1,145,503911,1
0,0,668902,149,149,22,4,0,77,668282,1
0,0,1995197,217,217,27,4,0,149,1994529,0
0,0,216763,322,322,3,4,0,143,216122,0
1,0,588625,157,157,4,3,1,108,587969,1
0,0,416038,383,383,31,4,0,64,415541,0
1,0,463493,101,101,0,3,1,79,462885,1
0,0,14001,394,394,92,4,0,153,13402,1
1,0,385637,21,21,22,3,1,55,384969,0
0,0,602338,320,320,6,4,0,92,601643,1
0,0,1845,389,389,91,2,0,87,1489,1
0,0,314714,123,123,12,4,0,25,314181,0
0,0,1473130,87,87,28,4,0,27,1472456,0
0,0,1134002,408,408,27,4,0,47,1133424,1
0,0,444695,32,32,3,4,0,110,444042,0
0,0,42175,386,386,88,4,0,149,41594,0
0,0,9261,128,128,62,4,0,41,8539,0
0,0,382637,58,58,3,4,0,157,382086,0
0,0,35038,303,303,1,4,0,120,34388,1
0,0,416102,247,247,16,4,0,23,415509,0
1,0,13194,349,349,81,3,1,105,12661,1
0,0,641578,83,83,11,4,0,54,640880,1
0,0,320021,423,423,4,4,0,97,319437,1
0,0,78452,300,300,15,4,0,85,77844,0
0,0,2893,384,384,87,4,0,147,2228,0
0,0,36160,20,20,14,4,0,53,35462,1
1,0,628319,184,184,13,3,1,65,627354,1
0,0,1066542,405,405,27,4,0,69,1065931,1
0,0,438865,351,351,17,4,0,21,438233,0
0,0,345916,154,154,16,4,0,133,345353,0
1,0,499409,366,366,22,3,1,55,498789,0
0,0,262228,38,38,22,4,0,168,261515,0
0,0,350824,414,414,14,2,0,98,350453,1
0,0,224418,167,167,17,4,0,21,223792,0
0,0,17055,49,49,56,4,0,41,16375,0
0,0,1049,284,284,48,4,0,68,204,1
0,0,807166,152,152,22,4,0,116,806492,1
