Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,1,10,41,24,0
1,107750,139,138,9,1,58,11,106153,0
0,4728447,70,69,8,0,24,15,4728247,1
0,673514,116,115,7,0,11,14,671973,1
1,113223,159,158,9,1,13,12,111766,0
1,2963001,153,152,9,1,13,12,2961642,0
0,98113,61,60,11,0,24,15,96665,1
0,234927,104,103,7,0,4,14,233464,1
0,3074,32,32,7,0,2,31,1527,1
1,106612,3,3,9,1,49,17,106202,1
1,194108,16,16,9,1,51,19,192547,1
1,38437,136,135,9,1,47,11,36916,0
0,1673892,128,127,0,0,44,8,1672390,1
1,22525,1,1,9,1,58,17,20999,1
1,4097911,86,85,9,1,20,13,4096637,0
1,13747,45,44,10,1,1,36,12274,0
1,4696555,91,90,4,1,38,16,4695357,0
1,55488,42,41,9,1,0,34,53963,1
1,6514,24,24,9,1,17,25,4976,1
1,1176353,118,117,9,1,21,5,1175359,1
1,397,21,21,9,1,8,22,120,0
1,222454,162,161,9,1,42,12,222215,0
0,1338858,62,61,8,0,57,15,1337821,0
0,140801,161,160,7,0,37,12,139203,0
0,3300734,67,66,7,0,24,15,3299619,0
1,43444,100,99,13,1,22,14,41978,0
0,4811681,74,73,7,0,24,15,4810350,1
1,1190683,120,119,9,1,54,5,1189121,1
1,1134,49,48,9,1,56,40,394,1
1,2751752,65,64,7,1,26,15,2750562,0
0,4592637,87,86,7,0,52,16,4591225,0
1,158094,102,101,9,1,22,14,156706,1
1,135030,14,14,9,1,51,19,133507,0
0,4790735,73,72,8,0,57,15,4789134,1
1,34085,99,98,11,1,22,14,32568,0
1,3088628,157,156,9,1,13,12,3087307,1
0,26455,57,56,11,0,57,15,24893,1
1,10376,56,55,6,1,26,15,9589,1
1,2557165,142,141,9,1,42,12,2556965,1
1,2991723,155,154,9,1,42,12,2990299,1
0,96632,121,120,7,0,33,6,95058,0
1,1583995,122,121,9,1,34,7,1582390,1
0,4918348,77,76,8,0,57,15,4916846,1
1,4070879,85,84,9,1,24,13,4070196,0
1,4769841,92,91,3,1,38,16,4768519,0
1,1554901,132,131,9,1,6,9,1553302,1
1,87159,60,59,11,1,15,15,85747,1
0,4109268,68,67,7,0,24,15,4108888,0
1,2842847,151,150,9,1,13,12,2842087,1
0,28198,38,37,7,0,37,33,26588,0
0,593688,113,112,7,0,4,14,592108,1
1,131645,13,13,9,1,11,19,130001,0
1,13271,47,46,9,1,18,38,11830,0
0,2161844,64,63,7,0,24,15,2161053,0
0,138222,160,159,8,0,37,12,136702,0
1,32771,50,49,9,1,56,40,31464,0
1,6149,12,12,9,1,51,19,4551,0
0,1783574,129,128,0,0,3,8,1782018,0
0,47692,58,57,11,0,39,15,46340,1
1,12451,46,45,9,1,19,37,11360,1
0,1629760,126,125,7,0,3,8,1628255,1
0,1799779,63,62,0,0,57,15,1798304,1
1,2775177,146,145,9,1,42,12,2774642,1
1,4866989,95,94,1,1,38,16,4866255,1
1,147872,15,15,9,1,51,19,146312,1
1,4815043,94,93,2,1,38,16,4813653,1
0,126989,140,139,8,0,12,11,125412,0
0,31216,39,38,8,0,53,34,29741,1
1,3085393,156,155,9,1,42,12,3083824,1
1,18623,36,162,9,1,48,32,18300,1
1,10546,20,20,9,1,19,21,9201,1
0,40024,7,7,7,0,35,0,38597,1
1,5571,33,33,9,1,48,32,4160,1
1,117932,4,4,9,1,49,17,116413,1
1,24394,8,8,9,1,30,1,23117,0
1,335414,108,107,9,1,22,14,333937,1
0,10563,52,51,7,0,55,42,9100,1
0,4877715,76,75,8,0,24,15,4876315,1
1,4685459,90,89,1,1,38,16,4683882,1
0,76678,59,58,11,0,24,15,74915,1
0,4782124,72,71,8,0,57,15,4781585,1
1,2810144,150,149,9,1,25,12,2809842,1
1,244383,106,105,9,1,22,14,242828,1
1,138167,6,6,9,1,49,17,137305,1
1,189308,103,102,9,1,22,14,187760,0
1,11536,10,10,9,1,41,18,10562,0
0,682801,117,116,8,0,4,14,681272,1
0,616961,114,113,7,0,11,14,615417,1
1,56811,2,2,9,1,58,17,55260,1
1,4875012,97,96,5,1,38,16,4874521,1
1,1565816,124,123,9,1,7,8,1564291,1
0,4776857,71,70,8,0,57,15,4776225,1
1,4912,19,19,9,1,19,21,4080,1
0,4967327,78,77,7,0,24,15,4966602,1
1,34744,158,157,9,1,42,12,33178,0
1,21634,30,30,10,1,24,29,20639,0
0,4874210,75,74,7,0,24,15,4872705,1
1,4626801,88,87,3,1,45,16,4625572,0
0,1579460,125,124,8,0,44,8,1577859,1
1,2790703,147,146,9,1,13,12,2789186,1
0,4803585,93,92,8,0,52,16,4802227,1
1,582162,112,111,9,1,1,14,580638,1
1,13354,34,34,9,1,28,32,11827,1
1,13439,25,25,9,1,43,26,11985,0
1,41821,41,40,9,1,0,34,40324,1
0,5282553,80,79,7,0,24,15,5281459,0
1,1518492,123,122,9,1,7,8,1516971,1
0,2882434,66,65,8,0,24,15,2880989,0
0,1789201,130,129,0,0,3,8,1788008,0
1,2900714,152,151,9,1,42,12,2899262,1
1,45373,137,136,9,1,58,11,43850,0
1,1639048,127,126,9,1,9,8,1637475,1
1,12732,29,29,10,1,41,28,11219,1
1,16779,35,35,9,1,48,32,15187,1
1,35078,135,134,9,1,58,11,33526,0
0,1792811,131,130,0,0,3,8,1791306,0
0,2586486,143,142,8,0,27,12,2584942,0
0,23403,31,31,7,0,36,30,22009,1
1,4496,23,23,9,1,31,24,3127,1
1,511211,111,110,3,1,1,14,509571,1
0,4064628,83,82,0,0,61,13,4063192,0
1,6249,27,27,9,1,43,3,4591,0
1,15374,54,53,9,1,3,44,14245,0
1,660088,115,114,9,1,22,14,658460,1
1,2436,18,18,9,1,25,21,1291,1
1,56650,37,36,9,1,48,32,55175,1
0,47277,43,42,8,0,45,35,45691,0
0,19432,0,0,8,0,5,17,17837,1
1,2797682,149,148,9,1,42,12,2796528,0
0,5380636,81,80,7,0,24,15,5379008,0
1,9494,53,52,9,1,16,43,7965,1
1,29574,17,17,9,1,46,20,28997,0
0,8343,28,28,7,0,40,27,6676,1
0,4971029,79,78,7,0,24,15,4969470,1
1,9188,134,133,9,1,59,10,7638,0
0,309925,107,106,8,0,11,14,308399,0
0,22070,22,22,7,0,29,23,20550,0
1,56392,11,11,9,1,41,18,54844,0
1,19005,48,47,9,1,23,39,17968,1
1,466780,109,108,12,1,1,14,465860,1
0,4542881,69,68,7,0,24,15,4541535,0
1,121323,5,5,9,1,49,17,119770,1
