Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,3818,116,116,70,2061
0,497232,53,53,1,497002
0,1362603,66,66,35,1360342
0,10034,9,9,44,9492
0,705460,54,54,24,703286
0,720,117,117,49,1
0,560632,57,57,18,560198
1,160581,125,125,12,159610
1,2942,36,36,57,882
1,53693,61,61,29,52560
0,1058918,107,107,33,1056777
0,1193345,104,104,31,1191366
1,590889,94,94,15,588715
0,2356776,5,5,37,2355799
1,5081,19,19,11,2874
1,82404,8,8,38,80149
0,3053,22,22,51,873
1,501852,63,63,32,499696
0,195717,4,4,7,194815
1,454212,110,110,24,451945
1,1166328,32,32,34,1164352
1,114991,84,84,3,114542
1,161676,78,78,12,160684
0,2832,56,56,60,619
1,26356,44,44,58,24182
1,603844,95,95,15,602780
1,18169,7,7,16,16115
0,508321,35,35,2,506186
1,29015,29,29,55,27780
0,646319,101,101,13,643902
1,395040,109,109,24,392911
1,2179419,98,98,36,2176948
0,742170,80,80,24,739927
0,203063,81,81,6,200871
1,9199,103,103,67,7001
0,606833,38,38,37,604902
0,53186,23,23,0,51024
0,12912,2,2,42,12295
1,5374,106,106,68,4073
1,346367,43,43,24,344166
0,194168,88,88,18,192141
0,656983,74,74,31,654773
1,302402,47,47,12,301785
1,628874,60,60,15,628374
0,2355697,99,99,37,2354525
1,141673,126,126,12,140918
1,38921,64,64,11,36609
1,356850,24,24,40,356083
1,246323,70,70,27,244452
1,258202,87,87,26,255983
0,802663,62,62,28,801878
1,628270,39,39,15,627785
1,1105132,105,105,31,1103840
0,1157244,30,30,30,1157023
0,2001346,68,68,36,1998842
0,122127,119,119,71,120202
1,32651,28,28,54,31587
0,576256,1,1,18,575726
0,13846,11,11,45,12761
1,69895,3,3,22,67685
1,292285,128,128,25,290090
0,479217,79,79,14,477172
1,967593,58,58,37,965515
1,18788,27,27,41,16752
0,1431,21,21,50,1
0,843337,67,67,23,841178
1,27802,123,123,73,25553
1,521,0,0,52,3
0,149082,120,120,71,147823
0,630544,12,12,19,630077
1,85717,41,41,3,84713
0,2356,6,6,43,188
1,116089,77,77,2,115388
0,5373,102,102,66,3175
0,414917,90,90,19,412986
0,551038,40,40,15,548948
0,879776,20,20,26,877512
1,16562,25,25,26,16113
0,522056,129,129,14,520707
0,573072,92,92,18,571858
1,8796,46,46,4,6766
0,242101,48,48,17,241769
0,804175,49,49,24,801998
1,7341,15,15,46,5542
1,1092022,122,122,36,1090076
0,853635,113,113,31,852247
1,6731,37,37,28,4560
0,24063,89,89,65,21859
1,569,76,76,62,3
1,605835,112,112,31,604711
1,20468,93,93,5,18309
0,47761,115,115,70,45575
1,80858,13,13,37,80019
0,143770,130,130,8,141896
1,40865,17,17,22,38190
1,17708,31,31,56,16425
1,107570,33,33,10,105642
1,238993,71,71,25,236726
1,5239,52,52,59,3059
1,2117,26,26,53,3
1,45873,85,85,64,43711
0,305003,100,100,24,302736
0,724179,14,14,19,722086
1,564263,34,34,36,562332
0,487684,132,132,19,485708
1,9794,121,121,72,7884
0,395811,51,51,21,393328
0,399746,91,91,19,397836
0,510087,18,18,31,508918
0,640806,111,111,10,638620
0,630340,42,42,20,629867
1,45587,118,118,71,43530
0,12118,55,55,47,9896
1,591642,59,59,15,591283
0,28251,114,114,69,27310
1,15656,50,50,1,13635
0,551317,82,82,19,549344
0,2323,69,69,61,1850
0,17469,86,86,48,15220
0,2747,83,83,63,2046
1,1525088,97,97,35,1523784
0,1220025,96,96,35,1218841
1,1560715,16,16,37,1558235
1,8315,10,10,31,7779
0,415880,45,45,25,413892
1,352533,108,108,39,352018
0,429,127,127,74,1
0,461012,73,73,10,460530
1,216636,72,72,25,214564
1,61722,124,124,36,61057
0,111044,131,131,9,109113
0,875271,75,75,31,874933
0,1428134,65,65,35,1426182
