Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Location,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,13580138,100,100,1,7,2,0,13578653,1
0,10821920,84,84,1,2,2,0,10820229,0
0,6956172,54,54,1,2,2,0,6955569,0
1,8422594,65,65,1,9,3,1,8420066,0
0,9310089,75,75,1,7,2,0,9309220,0
0,10429864,78,78,1,7,5,0,10428729,1
0,3235158,27,27,1,7,2,0,3233849,1
0,2141514,15,15,1,2,11,0,2139061,0
0,20867515,143,143,1,1,1,0,20866022,0
0,12246771,92,92,1,7,2,0,12245099,0
0,2728681,19,19,1,7,23,0,2727125,1
0,1401408,10,10,1,7,1,0,1400647,0
0,20915947,144,144,1,1,1,0,20914958,1
0,9221896,74,74,1,7,5,0,9220525,1
0,6842720,53,53,1,7,5,0,6840311,1
1,6638754,52,52,1,8,4,1,6637225,0
0,15741,0,0,1,7,19,0,14537,1
0,18735986,133,133,1,1,15,0,18734498,0
0,5596435,43,43,1,7,2,0,5595701,0
0,9311660,76,76,1,7,1,0,9310200,0
1,17401205,123,123,1,8,13,1,17399302,1
0,23649517,155,155,1,1,2,0,23648664,1
0,6441604,51,51,1,7,2,0,6440312,0
0,12849258,96,96,1,7,2,0,12848426,1
1,20479303,141,141,1,9,6,1,20477665,0
0,2862968,20,20,1,7,5,0,2861630,1
0,981427,6,6,1,7,5,0,980799,0
0,3097194,24,24,1,2,1,0,3096508,0
0,2680808,18,18,1,2,16,0,2679423,0
1,3802426,31,31,1,8,13,1,3800009,0
0,14451589,108,108,1,2,1,0,14449142,0
0,23514561,154,154,1,1,1,0,23513521,1
0,15398283,113,113,1,7,1,0,15396637,1
0,4910787,39,39,1,7,5,0,4909550,1
0,12488986,93,93,1,7,2,0,12486822,1
0,18766836,134,134,1,3,2,0,18765534,1
0,7776355,59,59,1,7,1,0,7775540,1
0,3511059,30,30,1,7,5,0,3509868,0
0,18932862,135,135,1,1,2,0,18931125,0
0,8066513,61,61,1,2,5,0,8065765,0
0,13391838,99,99,1,2,5,0,13390600,1
0,2597044,16,16,1,7,14,0,2596686,1
0,14931220,111,111,1,7,1,0,14928527,0
0,11473094,86,86,1,2,1,0,11472201,1
0,13980614,105,105,1,7,2,0,13979644,1
0,34835,165,165,0,0,20,0,33567,1
0,7857029,60,60,1,7,1,0,7856016,1
0,4365383,34,34,1,7,24,0,4363173,1
0,13813861,101,101,1,2,1,0,13812362,0
0,11600931,88,88,1,7,2,0,11599714,1
1,8836279,70,70,1,9,7,1,8834339,1
0,8643477,66,66,1,7,5,0,8642485,1
0,14939089,112,112,1,7,5,0,14937890,0
0,3098509,25,25,1,7,1,0,3097631,0
0,12567288,94,94,1,7,2,0,12566661,1
0,6088421,47,47,1,7,1,0,6085950,0
0,2003214,13,13,1,2,5,0,2002366,0
0,14766244,110,110,1,2,21,0,14765282,0
0,11497432,87,87,1,7,2,0,11496159,0
0,3049161,22,22,1,7,25,0,3048399,0
0,938369,5,5,1,7,2,0,937674,0
0,24218799,160,160,1,1,1,0,24217882,0
0,18449802,131,131,1,3,2,0,18448896,0
0,421354,1,1,1,7,11,0,418907,0
0,2642795,17,17,1,7,16,0,2641014,0
0,22586503,151,151,1,1,8,0,22583996,1
0,23902858,158,158,1,1,2,0,23901544,1
0,15431493,114,114,1,7,10,0,15429022,1
0,42748,167,167,0,5,14,0,41047,1
0,2912105,21,21,1,7,1,0,2911437,1
0,12160930,91,91,1,2,8,0,12160046,1
0,16835079,119,119,1,1,23,0,16833925,1
0,23866829,157,157,1,1,2,0,23865703,1
0,16416071,118,118,1,2,22,0,16413631,1
0,11654127,89,89,1,2,8,0,11653435,1
1,563875,4,4,1,9,6,1,561461,0
0,6170322,48,48,1,7,2,0,6168823,1
0,13282465,98,98,1,7,26,0,13280789,0
0,16920482,120,120,1,1,19,0,16919435,1
0,19133424,137,137,1,3,1,0,19132048,1
0,6835,163,163,0,0,14,0,4667,1
0,21703774,148,148,1,1,2,0,21701900,0
0,17627223,126,126,1,3,2,0,17625592,1
0,7009171,55,55,1,7,2,0,7008393,1
0,18038313,128,128,1,3,2,0,18037247,1
0,6362947,50,50,1,2,5,0,6361372,1
0,4253831,33,33,1,7,8,0,4252749,1
0,14479105,109,109,1,7,2,0,14478302,0
0,3453161,29,29,1,7,1,0,3451287,0
0,13013122,97,97,1,2,1,0,13011857,0
0,2102690,14,14,1,7,11,0,2100093,1
0,17542792,124,124,1,1,2,0,17541345,0
0,17122877,121,121,1,3,5,0,17120601,1
0,8306625,63,63,1,7,5,0,8305246,1
0,3312359,28,28,1,2,1,0,3311109,1
0,20286216,139,139,1,1,5,0,20285100,1
0,4431456,35,35,1,7,27,0,4430512,1
0,9200825,73,73,1,7,5,0,9199485,1
0,17643761,127,127,1,3,2,0,17642746,0
0,4102721,32,32,1,7,12,0,4101290,1
1,15463044,115,115,1,9,0,1,15461240,1
1,40361,166,166,0,4,18,1,37650,1
0,10634319,81,81,1,7,1,0,10632709,1
0,5212347,41,41,1,7,1,0,5211163,1
0,14201412,106,106,1,2,23,0,14200354,1
0,21840929,149,149,1,3,1,0,21839502,1
0,18150907,129,129,1,1,5,0,18149782,1
0,23311866,153,153,1,1,2,0,23310921,0
0,4756236,37,37,1,7,5,0,4754812,0
0,8297673,62,62,1,7,2,0,8296462,1
1,3054496,23,23,1,6,4,1,3053067,0
0,424362,2,2,1,7,23,0,423166,0
0,11412405,85,85,1,7,2,0,11411355,0
1,8987276,71,71,1,8,4,1,8985246,0
0,8380600,64,64,1,7,2,0,8379902,1
0,21107478,146,146,1,1,2,0,21106076,0
0,22342311,150,150,1,1,1,0,22341328,1
0,8750931,69,69,1,2,1,0,8750116,0
0,448516,3,3,1,7,16,0,445739,0
0,1005104,7,7,1,2,2,0,1003707,1
