Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Genomic_Start_Position
1,3818,117,69,2061
0,497232,54,1,497002
0,1362603,67,34,1360342
0,10034,9,43,9492
0,705460,55,23,703286
0,720,118,48,1
0,560632,58,17,560198
1,160581,126,12,159610
1,2942,38,56,882
1,53693,62,28,52560
0,1058918,108,32,1056777
0,1193345,105,30,1191366
1,591642,60,15,591283
0,2356776,5,36,2355799
1,5081,19,11,2874
1,82404,8,37,80149
0,3053,22,50,873
1,501852,64,31,499696
0,195717,4,7,194815
1,454212,111,23,451945
1,1166328,33,33,1164352
1,114991,85,3,114542
1,161676,79,12,160684
0,2832,57,59,619
1,26356,46,57,24182
1,628270,41,15,627785
1,60797,32,16,58671
0,508321,37,2,506186
1,29015,29,54,27780
0,646319,102,13,643902
1,395040,110,23,392911
1,2179419,99,35,2176948
0,742170,81,23,739927
0,203063,82,6,200871
1,9199,104,66,7001
0,606833,40,36,604902
0,53186,23,0,51024
0,12912,2,41,12295
1,5374,107,67,4073
1,346367,45,23,344166
0,551749,35,17,551012
0,656983,75,30,654773
1,302402,49,12,301785
1,18169,7,16,16115
0,2355697,100,36,2354525
1,141673,127,12,140918
1,38921,65,11,36609
1,356850,24,39,356083
1,246323,71,26,244452
1,258202,88,25,255983
0,802663,63,27,801878
1,628874,61,15,628374
1,1105132,106,30,1103840
0,1157244,30,29,1157023
0,2001346,69,35,1998842
0,122127,120,70,120202
1,32651,28,53,31587
0,576256,1,17,575726
0,13846,11,44,12761
1,69895,3,21,67685
1,292285,129,24,290090
0,479217,80,14,477172
1,967593,59,36,965515
1,18788,27,40,16752
0,1431,21,49,1
0,843337,68,22,841178
1,27802,124,72,25553
1,521,0,51,3
0,149082,121,70,147823
0,630544,12,18,630077
1,85717,43,3,84713
0,2356,6,42,188
1,116089,78,2,115388
0,5373,103,65,3175
0,414917,91,18,412986
1,590889,95,15,588715
0,879776,20,25,877512
1,16562,25,25,16113
0,551038,42,15,548948
0,573072,93,17,571858
1,8796,48,4,6766
0,194168,89,17,192141
0,804175,50,23,801998
1,7341,15,45,5542
1,1092022,123,35,1090076
0,853635,114,30,852247
1,6731,39,27,4560
0,24063,90,64,21859
1,569,77,61,3
1,605835,113,30,604711
1,20468,94,5,18309
0,47761,116,69,45575
1,80858,13,36,80019
0,143770,130,8,141896
1,40865,17,21,38190
1,17708,31,55,16425
1,107570,34,10,105642
1,238993,72,24,236726
1,5239,53,58,3059
1,2117,26,52,3
1,45873,86,63,43711
0,305003,101,23,302736
0,724179,14,18,722086
1,564263,36,35,562332
0,487684,132,18,485708
1,9794,122,71,7884
0,395811,52,20,393328
0,399746,92,18,397836
0,510087,18,30,508918
0,640806,112,10,638620
0,630340,44,19,629867
1,45587,119,70,43530
0,12118,56,46,9896
1,603844,96,15,602780
0,28251,115,68,27310
1,15656,51,1,13635
0,551317,83,18,549344
0,2323,70,60,1850
0,17469,87,47,15220
0,2747,84,62,2046
1,1525088,98,34,1523784
0,1220025,97,34,1218841
1,1560715,16,36,1558235
1,8315,10,30,7779
0,415880,47,24,413892
1,352533,109,38,352018
0,429,128,73,1
0,461012,74,10,460530
1,216636,73,24,214564
1,61722,125,35,61057
0,111044,131,9,109113
0,875271,76,30,874933
0,1428134,66,34,1426182
