Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,11,2,28,1711409,0
1,0,32772,102,1,4,29866,1
0,0,373899,33,2,5,371611,1
0,0,721934,80,2,23,719244,1
0,0,428427,92,3,20,425755,0
0,0,1324430,94,2,30,1322082,0
0,0,465591,163,2,15,462814,0
0,0,11536,37,2,56,9554,1
1,0,952113,119,1,23,949273,1
0,0,1024944,233,2,29,1022305,0
1,0,199898,40,1,19,197364,1
0,0,404584,121,2,21,402206,0
0,0,473501,202,3,23,470631,0
0,0,246580,91,2,19,243767,0
0,0,6135,20,2,41,3451,1
0,0,355891,244,2,6,353552,0
0,0,602339,49,2,30,600009,0
1,0,1100880,195,1,23,1098211,1
1,0,1123469,221,1,24,1120611,0
0,0,1147282,169,2,30,1144757,1
0,0,9089,218,2,83,6579,1
0,0,65602,29,2,52,62846,0
0,0,184674,8,2,12,182293,0
0,0,1516533,47,2,30,1514173,1
0,0,553480,174,3,1,550610,0
0,0,33431,30,2,53,30843,1
0,0,292921,245,2,6,290183,1
0,0,256062,179,2,5,253732,0
1,0,2776,54,1,59,113,1
0,0,35322,192,2,75,32611,1
0,0,180436,214,2,11,177890,1
0,0,3590,212,2,80,942,1
0,0,849988,205,2,23,847319,0
0,0,1919214,108,2,29,1916677,1
0,0,546874,144,2,15,544250,0
1,0,1014233,137,1,29,1011738,0
0,0,519004,251,2,7,516413,0
0,0,1161129,168,2,30,1158613,0
0,0,82609,140,3,19,79808,1
1,0,316755,122,1,24,314314,0
0,0,622377,45,2,29,620053,0
0,0,483376,101,2,24,480707,1
0,0,1176004,167,2,30,1173581,0
0,0,1015945,209,2,23,1013150,1
0,0,204433,68,2,14,201761,1
0,0,1745786,15,2,29,1743231,0
0,0,125132,86,2,4,122370,1
0,0,7271,27,2,51,4884,0
0,0,6553,123,2,66,4166,1
0,0,187941,232,2,5,185287,0
0,0,1035713,63,2,25,1032837,0
0,0,425184,138,2,16,422410,0
0,0,513629,257,3,15,510834,0
0,0,565358,88,2,30,563163,1
0,0,1115182,220,2,24,1112378,0
1,0,432436,160,1,15,429818,0
0,0,218715,60,2,17,215884,1
1,0,86749,153,1,3,84020,1
1,0,396102,75,1,19,393418,0
1,0,107074,254,1,2,104540,0
0,0,602587,46,2,29,600077,0
1,0,389747,165,1,15,387120,0
0,0,422008,200,2,17,419294,0
0,0,1065877,199,2,25,1063010,0
0,0,378614,164,2,15,375975,0
0,0,309384,113,2,5,306937,0
0,0,585607,87,2,6,583331,1
0,0,23290,219,2,48,20606,1
0,0,650434,44,3,14,647633,1
0,0,8115,173,3,47,5269,1
0,0,34218,65,2,60,31414,0
1,0,442799,201,1,23,439932,1
0,0,1695278,10,2,28,1692543,1
0,0,700388,17,2,15,697620,0
1,0,18963,48,1,57,16273,1
0,0,15222,213,2,80,12538,1
1,0,9580,197,1,77,6749,1
0,0,1045611,208,3,23,1042786,0
0,0,2542,90,4,63,2,0
0,0,1061168,115,4,23,1059124,0
0,0,7331,97,3,46,4482,1
0,0,10893,96,2,31,8359,1
0,0,1966199,107,2,29,1963551,1
0,0,585177,204,3,23,582301,0
0,0,475012,143,2,7,472298,0
0,0,1314205,95,2,30,1311887,0
0,0,1096585,235,2,29,1093946,1
0,0,13634,196,2,76,10935,0
0,0,50888,152,2,20,48174,1
0,0,1062895,234,2,29,1060310,1
0,0,758419,50,2,21,756089,0
0,0,5331,151,2,73,2932,0
0,0,8573,216,2,82,6039,1
0,0,23046,127,3,70,20260,0
1,0,1578209,104,1,28,1575672,1
0,0,1818146,112,2,29,1815771,0
0,0,466038,177,2,24,463714,0
0,0,1851640,110,2,29,1848668,0
0,0,139709,253,2,1,138117,0
1,0,290907,120,1,21,288478,0
0,0,1171520,43,2,27,1169280,1
0,0,2047179,185,2,29,2044399,1
0,0,800723,166,2,22,798375,0
0,0,7898,13,2,40,5274,1
0,0,9867,66,2,61,7462,0
0,0,488327,203,3,23,485541,0
0,0,454333,159,2,15,451748,0
0,0,262330,243,2,6,259847,0
0,0,568854,259,2,15,566233,0
0,0,8030,145,2,72,5538,1
0,0,180486,39,2,19,177754,1
0,0,1596686,186,2,29,1594209,0
0,0,301826,242,2,29,299487,0
0,0,736453,84,3,23,733583,0
0,0,1006971,2,5,30,1005142,0
1,0,34183,42,1,43,31349,1
0,0,22835,147,2,72,20457,0
0,0,629809,116,3,13,627020,1
0,0,1816759,190,2,30,1814429,0
