Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,674303,18,18,14,1,1,673725,0
1,947466,44,44,8,1,34,947014,1
1,570089,28,28,8,1,21,569511,0
1,478865,39,39,9,1,0,478194,1
1,1661430,20,20,12,1,29,1660327,1
1,9043,56,56,18,1,25,8369,0
1,605502,69,69,5,1,5,604933,1
1,1573901,40,40,12,1,29,1573260,1
1,37689,23,23,24,1,33,37021,0
1,4852,25,25,25,1,7,4175,1
1,509037,87,87,2,1,29,508240,0
1,1104782,83,83,9,1,0,1104102,0
1,670988,35,35,13,1,20,670362,1
0,1346554,53,53,14,0,3,1345826,1
1,1154177,67,67,8,1,21,1153497,1
1,1507852,61,61,12,1,39,1507205,1
0,226568,60,60,1,0,24,225903,0
1,1732531,57,57,12,1,39,1731896,0
1,2154696,63,63,13,1,33,2154196,0
1,1153891,12,12,11,1,26,1153361,0
1,1164151,80,80,9,1,0,1163459,0
1,430900,27,27,6,1,15,430274,0
1,23414,75,75,36,1,0,22770,1
1,1142124,79,79,9,1,0,1141357,0
1,1170502,54,54,14,1,1,1169873,0
0,487905,32,32,1,0,31,487330,0
1,1565614,1,1,12,1,29,1565111,1
1,743660,17,17,14,1,38,742947,1
1,40393,26,26,16,1,13,39713,0
1,1064488,68,68,8,1,21,1063814,0
1,458055,70,70,8,1,8,457426,1
1,17347,21,21,23,1,8,16595,0
1,16318,36,36,28,1,18,15653,0
1,905931,43,43,8,1,8,905182,0
0,388745,86,86,2,0,12,388080,1
1,28212,65,65,34,1,23,27637,0
1,1702393,5,5,12,1,39,1701380,1
1,547641,34,34,3,1,28,547144,1
1,10697,77,77,19,1,37,10023,0
1,738855,29,29,8,1,34,738181,0
1,590414,58,58,0,1,0,589821,1
1,136301,84,84,7,1,4,135930,0
1,179239,38,38,10,1,0,178622,1
1,17274,14,14,21,1,11,16765,1
0,430064,9,9,1,0,24,429414,1
1,18257,76,76,37,1,27,17595,1
1,7133,46,46,30,1,9,6462,0
1,17466,31,31,26,1,17,16792,0
1,624606,16,16,13,1,12,623983,0
0,1721960,42,42,12,0,17,1721430,0
1,7796,51,51,32,1,36,7137,0
1,1654501,41,41,12,1,39,1653854,1
1,1832,13,13,21,1,14,1149,1
1,2105453,24,24,13,1,12,2104848,1
1,11162,78,78,38,1,2,10509,0
1,20358,64,64,34,1,23,19783,1
1,1548861,62,62,12,1,39,1548016,1
1,974933,47,47,13,1,12,974307,0
1,1690792,4,4,12,1,39,1690151,1
1,9429,45,45,29,1,22,8836,0
1,840636,6,6,13,1,12,840031,1
1,755,55,55,18,1,35,93,0
1,1091842,81,81,9,1,0,1091081,0
1,4297,74,74,35,1,19,3704,1
1,989314,48,48,13,1,12,988862,0
1,381646,10,10,14,1,38,381053,0
1,5579,85,85,39,1,24,4953,1
1,1192387,82,82,9,1,0,1191707,0
1,405260,3,3,9,1,0,404595,0
1,25270,49,49,31,1,16,24593,0
1,468982,19,19,0,1,11,468374,0
0,1728460,2,2,12,0,40,1728161,0
1,490761,72,72,8,1,21,490084,0
1,524975,59,59,0,1,0,524382,1
1,587573,73,73,8,1,34,586902,0
1,4340,22,22,23,1,16,3579,0
1,5600,52,52,33,1,6,4947,1
1,2529,30,30,17,1,12,1873,1
1,3403,15,15,22,1,10,2810,0
1,71817,11,11,20,1,4,71311,0
1,1266,0,0,40,1,30,595,0
1,475933,71,71,8,1,34,475256,0
1,1682099,8,8,13,1,33,1681482,0
1,7594,7,7,15,1,32,6935,1
1,472195,50,50,4,1,23,471323,1
1,4574,33,33,27,1,6,3870,0
1,1728056,37,37,12,1,39,1727928,0
1,68829,66,66,34,1,23,68515,1
