Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,24,38827,226,1,25,35924,3,1
1,0,186,4679,184,1,135,1893,3,0
1,0,13,308397,303,1,59,305485,3,0
1,0,70,847503,311,1,40,845194,3,0
0,0,139,502030,132,0,0,499289,0,0
1,0,97,79193,79,1,3,76656,3,1
1,0,142,2449,0,1,153,11,3,0
0,0,141,7010,291,0,149,4233,0,1
1,0,130,491613,135,1,41,488857,3,1
1,0,26,21822,316,1,13,18838,3,1
1,0,84,3014,97,1,67,228,3,1
0,0,5,77950,18,0,24,74987,0,1
1,0,4,510295,142,1,27,507728,3,1
1,0,159,7457,214,1,41,4911,3,1
1,0,92,6673,233,1,140,3815,3,0
1,0,9,181574,313,1,30,180063,3,1
1,0,36,625252,229,1,28,622190,3,0
1,0,145,1133115,271,1,53,1130755,3,1
1,0,137,60671,176,1,47,58218,3,1
1,0,154,2940,212,1,137,73,3,1
0,0,19,8383,219,0,138,7271,0,0
0,0,184,17724,293,0,60,14986,1,1
1,0,174,13435,273,1,145,10745,3,0
0,0,163,86361,189,0,15,83876,0,1
1,0,4,225780,80,1,27,223900,3,0
1,0,4,578138,101,1,27,576360,3,0
1,0,27,504140,268,1,2,500865,3,0
1,0,26,636457,213,1,13,635763,3,0
1,0,1,848494,163,1,35,847454,3,0
1,0,168,492362,28,1,1,490971,3,0
1,0,47,236472,223,1,3,233641,3,0
0,0,94,782600,205,0,31,781197,0,0
1,0,110,7188,126,1,122,4384,3,0
1,0,111,8831,112,1,120,6234,3,1
0,0,52,650247,103,0,27,648161,0,0
1,0,108,984,305,1,152,31,3,0
1,0,107,1094,24,1,76,159,3,1
0,0,134,24358,274,0,145,21590,0,0
0,0,90,1225,53,0,80,1,0,1
1,0,124,628999,144,1,12,626735,3,0
1,0,11,13990,117,1,16,11384,3,1
1,0,135,28068,65,1,68,25282,3,1
1,0,68,3158,255,1,94,408,3,1
1,0,133,2351295,265,1,59,2348338,3,0
0,0,29,9939,57,0,103,8926,0,0
0,0,23,65081,86,0,25,62292,0,1
1,0,14,9052,247,1,143,7148,3,1
0,0,46,811998,312,0,40,810235,0,0
1,0,113,4342,84,1,32,1385,3,1
1,0,87,3790,210,1,90,806,3,0
1,0,13,1721524,40,1,59,1718519,3,1
0,0,155,2010044,11,0,57,2009265,2,0
0,0,144,4119,42,0,34,967,0,1
1,0,13,1008775,190,1,59,1006142,3,0
0,0,166,66235,248,0,41,64469,0,1
1,0,91,654938,253,1,27,652152,3,0
1,0,170,8756,146,1,46,5919,3,1
0,0,61,4216,134,0,48,1460,0,1
1,0,175,430057,186,1,33,427406,3,0
0,0,156,1137976,138,0,58,1133828,0,0
0,0,85,1204,128,0,88,2,0,0
0,0,109,8397,16,0,9,5578,0,1
0,0,138,779582,204,0,31,776703,0,0
1,0,147,976,21,1,75,2,3,1
1,0,21,690828,275,1,37,688522,3,0
1,0,6,3258,39,1,78,436,3,0
1,0,181,6116,58,1,104,4224,3,1
0,0,12,606712,238,0,12,603989,0,0
1,0,74,21218,242,1,26,18921,3,1
1,0,117,9121,288,1,39,6152,3,1
1,0,130,33240,55,1,41,30436,3,1
0,0,55,490870,46,0,1,489493,0,0
1,0,171,4777,19,1,71,2027,3,1
0,0,77,26225,206,0,66,24447,0,1
1,0,75,783456,82,1,34,780772,3,0
1,0,162,15107,263,1,2,12237,3,1
0,0,16,169188,307,0,45,166855,0,1
0,0,128,663320,259,0,24,660522,0,0
0,0,24,58458,116,0,16,55432,0,1
0,0,61,1185502,70,0,48,1183688,0,0
1,0,13,644271,100,1,59,641242,3,1
1,0,138,16574,222,1,139,14088,3,1
0,0,157,3713,284,0,98,2106,1,0
1,0,122,59561,141,1,51,57681,3,1
0,0,2,3597,235,0,141,1834,0,0
1,0,103,5794,137,1,124,3014,3,0
0,1,0,655728,168,0,18,653962,0,0
1,0,167,41742,308,1,45,39727,3,1
1,0,21,829858,121,1,37,827087,3,0
0,0,24,794113,243,0,33,793295,1,0
0,0,80,169312,67,0,56,166550,0,0
1,0,178,130785,106,1,20,128263,3,0
1,0,78,122539,191,1,14,120197,3,1
0,0,119,594892,227,0,28,591674,0,0
0,0,54,571445,199,0,21,567813,0,0
0,0,63,702008,180,0,32,700188,0,0
1,0,28,9553,115,1,86,7784,3,0
1,0,76,582823,22,1,21,581135,3,0
0,0,155,1917064,173,0,57,1914173,0,1
1,0,78,25743,231,1,14,24748,3,1
1,0,108,71114,196,1,4,69705,3,1
0,0,120,103187,322,0,9,101616,1,0
1,0,175,411506,59,1,33,408474,3,0
1,0,15,585311,228,1,28,582390,3,0
1,0,86,2350211,167,1,60,2347587,3,0
1,0,136,912033,74,1,41,909235,3,0
1,0,18,12191,232,1,14,9909,3,1
1,0,115,1182,94,1,116,1,3,1
0,0,60,4231,136,0,52,1391,0,1
0,0,155,14595,66,0,68,12280,0,1
1,0,48,9360,256,1,95,6577,3,0
1,0,10,14953,302,1,54,12005,3,1
1,0,83,29749,162,1,29,26915,3,1
1,0,175,760085,244,1,33,757590,3,0
1,0,59,14455,92,1,114,11690,3,0
0,0,162,30562,279,0,18,28739,1,1
0,0,2,4524,241,0,142,2574,0,0
1,0,17,486237,25,1,48,483109,3,0
0,0,87,19758,185,0,136,17038,0,0
0,0,99,47207,83,0,113,45534,0,1
0,0,164,36437,104,0,118,35517,0,1
1,0,38,5595,69,1,108,2761,3,1
