Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,2,31,299487,0
1,0,32772,97,1,4,29866,1
0,0,373899,29,2,5,371611,1
0,0,721934,74,2,23,719244,1
0,0,428427,87,3,20,425755,0
0,0,1516533,43,2,32,1514173,1
0,0,465591,162,2,15,462814,0
0,0,54199,32,2,58,51578,1
1,0,952113,116,1,23,949273,1
0,0,1062895,234,2,31,1060310,1
1,0,199898,36,1,19,197364,1
0,0,404584,119,2,21,402206,0
0,0,473501,203,3,23,470631,0
0,0,246580,86,2,19,243767,0
0,0,33755,27,2,44,30969,0
0,0,355891,244,2,6,353552,0
0,0,993191,44,2,32,990858,1
1,0,1150558,193,1,23,1147775,1
0,0,1152306,222,2,24,1149583,0
0,0,1161129,167,2,32,1158613,0
1,0,32977,216,1,85,30248,1
0,0,33431,26,2,55,30843,1
0,0,184674,6,2,12,182293,0
0,0,1757922,189,2,32,1755496,1
0,0,553480,174,3,1,550610,0
0,0,16153,30,2,56,13502,0
0,0,292921,245,2,6,290183,1
0,0,256062,179,2,5,253732,0
0,0,25495,50,2,61,22811,0
0,0,8691,196,2,78,6085,1
0,0,180436,213,2,11,177890,1
0,0,15222,212,2,82,12538,1
0,0,849988,206,2,23,847319,0
0,0,1966199,103,2,31,1963551,1
0,0,546874,143,2,15,544250,0
0,0,1024944,233,2,31,1022305,0
0,0,519004,251,2,7,516413,0
0,0,1176004,166,2,32,1173581,0
0,0,82609,138,3,19,79808,1
0,0,447956,177,2,24,445458,1
0,0,735391,129,2,31,733043,0
0,0,1102343,226,2,24,1099539,0
0,0,1314205,89,2,32,1311887,0
0,0,1034195,209,2,23,1031508,1
0,0,204433,62,2,14,201761,1
0,0,1800605,108,2,31,1797939,1
0,0,125132,80,2,4,122370,1
1,0,17633,22,1,53,14982,0
0,0,4209,122,2,69,1423,0
0,0,187941,232,2,5,185287,0
0,0,1065877,199,2,26,1063010,0
0,0,425184,136,2,16,422410,0
0,0,513629,257,3,15,510834,0
0,0,568671,173,2,32,566338,1
1,0,1123469,221,1,24,1120611,0
1,0,432436,159,1,15,429818,0
0,0,218715,55,2,17,215884,1
1,0,86749,153,1,3,84020,1
1,0,396102,69,1,19,393418,0
1,0,107074,254,1,2,104540,0
0,0,622377,41,2,31,620053,0
1,0,389747,164,1,15,387120,0
0,0,422008,201,2,17,419294,0
0,0,185153,24,2,27,182502,0
0,0,378614,163,2,15,375975,0
0,0,309384,110,2,5,306937,0
0,0,585607,81,2,6,583331,1
0,0,7162,20,2,51,4697,0
0,0,650434,39,3,14,647633,1
0,0,23290,218,2,50,20606,1
0,0,9867,60,2,63,7462,0
1,0,442799,202,1,23,439932,1
0,0,1713823,8,2,30,1711409,0
0,0,700388,15,2,15,697620,0
0,0,14845,47,3,60,11996,0
0,0,8092,214,2,83,5759,0
1,0,13979,198,1,80,11352,1
0,0,1053239,112,2,23,1050549,0
0,0,15062,85,2,66,12438,0
1,0,1100880,195,1,23,1098211,1
0,0,8115,172,3,49,5269,1
0,0,379418,170,2,34,376740,1
0,0,2047179,185,2,31,2044399,1
0,0,585177,205,3,23,582301,0
0,0,475012,142,2,7,472298,0
0,0,1324430,88,2,32,1322082,0
0,0,1156973,236,2,31,1154469,0
1,0,9580,197,1,79,6749,1
0,0,50888,152,2,20,48174,1
0,0,1096585,235,2,31,1093946,1
0,0,758419,45,2,21,756089,0
0,0,12594,151,2,76,9967,0
0,0,9089,217,2,85,6579,1
1,0,45075,125,1,72,42286,0
1,0,1611964,100,1,30,1609262,1
0,0,1828534,107,2,31,1825916,0
0,0,483376,96,2,24,480707,1
0,0,1865809,105,2,31,1862957,0
0,0,139709,253,2,1,138117,0
1,0,290907,118,1,21,288478,0
0,0,1731005,191,3,29,1728183,0
0,0,2060220,184,2,31,2057611,1
0,0,800723,165,2,22,798375,0
0,0,12158,11,2,43,9363,1
0,0,21771,83,2,64,19363,0
0,0,488327,204,3,23,485541,0
0,0,454333,158,2,15,451748,0
0,0,262330,243,2,6,259847,0
0,0,568854,259,2,15,566233,0
0,0,16377,145,2,74,13513,1
0,0,180486,35,2,19,177754,1
1,0,1633076,187,1,31,1630521,0
0,0,602587,42,2,31,600077,0
0,0,736453,78,3,23,733583,0
0,0,1129346,169,2,32,1126764,1
0,0,20976,57,2,46,18310,0
0,0,5331,150,2,75,2932,0
0,0,629809,113,3,13,627020,1
0,0,1825289,188,2,32,1822929,0
1,0,590672,258,1,15,588504,0
0,0,6553,121,2,68,4166,1
0,0,1169591,223,3,24,1166769,0
0,0,13678,156,2,3,10931,1
0,0,468388,67,3,6,465485,0
1,0,476059,149,1,5,473501,0
0,0,1251196,181,2,30,1248512,0
0,0,1015945,208,2,23,1013150,1
0,0,1147282,168,2,32,1144757,1
0,0,696919,72,2,23,694046,0
1,0,1582479,186,1,31,1579936,0
0,0,221070,141,2,9,218443,1
0,0,463778,79,2,16,460986,0
0,0,11062,5,2,39,8450,0
0,0,1570228,99,5,30,1568267,1
0,0,280853,63,2,23,278046,0
0,0,546370,46,2,8,543824,0
0,0,399549,238,2,16,396772,0
0,0,57145,56,3,46,54284,0
0,0,817323,77,2,23,814468,0
1,0,408107,17,1,5,405750,0
0,0,60414,227,2,87,57859,1
0,0,988200,207,2,23,985546,1
0,0,7898,10,2,42,5274,1
0,0,245264,48,2,0,242583,0
0,0,4732,124,2,71,2051,0
0,0,21506,58,2,62,18858,0
0,0,23129,127,3,73,20358,1
0,0,428401,68,2,18,425663,0
1,0,1014233,135,1,31,1011738,0
0,0,34218,59,2,62,31414,0
0,0,2102129,102,2,31,2099463,1
0,0,15093,157,3,19,12226,0
0,0,1317329,98,2,30,1314768,0
0,0,352788,249,2,18,350182,1
0,0,565683,140,2,6,563344,1
0,0,10603,7,3,40,7772,1
0,0,212927,0,5,13,211077,1
1,0,276688,210,1,24,274223,0
0,0,652210,95,2,8,649424,0
0,0,10893,90,2,33,8359,1
0,0,4709,31,2,57,2067,1
