gene_type,genomic_end_position,gene_db_id,encoded_protein,chromosome_id,genomic_start_position,strand_orientation
0,619560,51,2,1,617554,0
0,775768,128,2,11,759760,1
0,612205,60,2,2,610963,0
0,1201340,143,1,12,1188535,0
0,2235988,173,1,14,2217582,1
0,23195,111,1,9,4019,0
1,336376,58,4,2,330946,0
0,2130555,145,2,12,2122281,1
0,2791,163,2,14,209,0
0,859543,88,2,6,858258,1
0,1125623,168,2,14,1119004,1
0,303307,31,2,0,301326,0
0,214384,19,2,0,212666,1
0,258123,57,1,2,249649,1
0,2118298,144,2,12,2116166,1
0,873778,153,1,13,867707,1
0,127166,9,2,0,125959,1
0,1448567,106,2,8,1447516,0
0,257835,23,2,0,255520,1
0,910788,89,5,6,908044,0
0,342278,59,2,2,337298,1
0,1898351,172,5,14,1895778,0
0,69769,5,2,0,68762,1
0,16690,47,2,1,10463,0
0,1084650,91,1,7,1056375,1
0,1711539,108,1,8,1693647,0
0,2874129,179,1,14,2864263,1
0,151685,56,1,2,139798,1
0,1189797,102,1,8,1187153,1
0,1250565,157,1,13,1237167,1
0,1434764,105,1,8,1426078,1
0,265178,24,2,0,264314,0
0,139718,11,2,0,138630,1
0,293690,28,2,0,291929,1
0,250912,22,2,0,249996,0
0,324089,35,2,0,323445,0
0,12162,138,2,12,1039,0
0,1119360,92,1,7,1108255,1
0,289223,120,1,10,275526,0
0,376230,43,2,0,375686,1
0,183964,124,1,11,163790,0
0,898126,142,1,12,876451,0
0,525520,65,5,3,522531,1
0,319997,34,2,0,318336,0
0,30243,79,2,5,29160,1
0,1734563,109,1,8,1715638,1
0,616648,67,2,3,615182,0
0,510942,141,1,12,503444,0
0,235268,20,2,0,232302,1
0,1926101,117,1,9,1917685,1
0,1790418,133,2,11,1776494,1
0,820496,97,1,8,805481,1
0,2790,0,2,0,369,0
0,32960,2,2,0,21344,0
0,613343,66,2,3,612320,0
0,352062,38,2,0,351495,1
0,346505,82,1,5,326775,1
0,612928,112,1,9,588228,0
0,1689406,107,2,8,1688281,0
0,756733,127,2,11,754282,1
0,1124714,75,2,4,1119257,0
0,319801,71,1,4,291784,1
0,1141218,154,1,13,1132401,0
0,548151,165,1,14,538955,0
0,124561,80,1,5,112476,0
0,295611,29,2,0,294979,1
0,1413051,170,1,14,1399957,0
0,862820,52,5,1,859395,0
0,201628,17,2,0,200479,1
