Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1160395,347,22,1159709,0
1,18293,404,95,17649,0
0,7200,134,45,6637,0
0,55025,359,83,54438,0
0,1464254,88,28,1463646,0
0,494817,203,23,494134,1
0,2016292,329,27,2015537,0
0,9057,388,90,8128,0
0,4555,132,64,3962,0
0,683253,98,28,682675,0
1,844685,368,22,844098,0
1,112468,401,94,111971,0
0,4870,340,78,4217,0
0,2682,264,76,1954,0
0,163066,8,8,162521,1
0,1955674,332,28,1955171,0
0,756041,99,28,755460,1
0,1368555,309,28,1367977,1
0,1487064,92,28,1486369,1
1,44362,301,15,43754,1
0,265007,258,23,264339,0
0,128464,416,14,128075,0
0,1921473,108,28,1920904,1
0,458814,352,17,458125,0
0,316703,371,16,316059,0
0,548591,226,19,548190,0
0,1604078,116,28,1603452,0
0,85370,61,58,84681,0
0,17407,261,74,16820,0
0,1033564,298,18,1032920,0
1,1738968,28,27,1738420,0
0,6677,379,86,6162,1
0,278070,222,3,277438,1
0,1731530,336,28,1730895,0
0,477620,206,6,476973,0
0,567879,381,20,567310,0
0,10321,126,61,9749,0
0,1686468,112,28,1685914,0
0,7629,230,70,6979,0
0,1645,356,83,1004,0
0,376974,55,3,376393,1
1,807869,25,27,807330,1
0,426818,137,4,426186,1
0,39701,52,57,39237,1
0,307213,259,23,306524,0
0,782,46,54,129,1
0,1132814,317,28,1132212,1
0,36247,72,15,35642,1
0,170789,68,14,170208,1
0,717564,270,27,716974,1
0,1637787,114,28,1637185,1
0,487905,170,3,487330,0
1,356421,430,13,355831,1
0,1932015,107,28,1931470,0
0,2027,39,52,1341,0
0,1743790,335,28,1743146,0
0,515441,207,6,514617,0
0,1118634,319,28,1117975,1
1,347837,18,3,347313,0
0,250738,323,3,250097,0
0,1579,3,34,1004,1
0,570400,76,7,569783,0
0,552848,145,22,552180,1
0,52129,265,76,51491,0
1,19103,380,86,18480,1
0,4829,257,73,4128,0
0,599763,233,10,598996,1
0,436400,12,16,435816,0
0,1148872,410,27,1148204,0
0,339516,225,3,338926,0
0,1581481,215,26,1580900,1
0,1081012,406,27,1080440,1
0,15668,344,79,15015,0
0,6518,304,1,5874,1
0,26110,306,14,25487,1
1,504309,428,4,503911,1
0,668902,149,22,668282,1
