Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1662950,13,2,17,1661937,1
0,384182,75,4,7,382887,0
0,1957918,57,8,19,1956215,0
0,740372,22,9,15,739299,0
0,1356346,48,8,19,1354634,1
0,401051,45,0,6,400292,0
1,545819,21,24,15,544815,0
0,807440,72,17,13,806025,0
1,120630,14,24,3,119065,0
0,2350,5,13,25,965,0
0,183296,63,19,4,181743,1
0,96204,71,5,37,95182,1
1,2122182,2,2,19,2120788,1
1,440871,73,2,7,439477,0
1,373406,51,2,20,371496,1
0,276965,34,14,2,276033,1
0,2133734,55,1,18,2133172,1
1,1720929,30,24,17,1719919,0
0,802557,79,16,12,801154,0
1,464293,19,2,8,462872,1
1,428550,44,2,6,427162,0
0,406809,78,11,19,405529,0
0,432759,18,22,8,431323,0
0,488962,26,1,2,488378,0
1,603942,60,2,15,602953,1
0,649350,3,10,19,647746,1
0,1053526,27,18,19,1052240,1
0,434782,74,10,7,433358,0
0,532018,81,10,6,530630,0
1,6897,4,24,24,5479,0
0,421131,41,10,7,419701,0
1,1480218,11,2,19,1478512,1
1,1111176,69,24,16,1109698,0
0,168069,0,12,5,166519,0
0,406516,40,10,7,405110,0
1,5338,43,24,1,4406,1
1,461547,46,2,6,460189,0
1,190053,62,2,11,189334,0
0,489416,6,0,2,489063,0
0,3277,17,21,21,1805,0
0,375903,7,6,2,374896,1
0,445437,42,11,19,444157,0
1,401095,20,2,9,399644,0
0,5790,24,17,29,4375,1
1,17774,66,2,23,16488,1
0,1623870,29,10,17,1622425,0
0,1178108,70,18,16,1176633,0
0,1206373,50,0,19,1204937,0
0,915863,36,1,15,915636,0
0,10843,64,0,34,9875,1
0,2077637,31,10,18,2076276,0
0,161,65,1,35,3,1
0,4346,58,20,32,2898,0
1,411951,37,2,14,410611,0
1,1613551,56,2,18,1612028,0
1,486119,28,24,16,484647,1
0,21672,12,0,28,20227,1
0,848504,1,10,18,847224,1
0,1885991,15,12,19,1884423,1
0,224155,35,20,8,222680,1
0,42175,59,20,33,40730,0
0,1861827,33,13,18,1860490,0
1,2138530,54,2,18,2137184,1
1,6645,68,2,36,5179,1
1,21584,9,2,10,19890,1
0,452391,23,19,7,450994,0
0,129767,80,15,0,128835,0
0,1181813,53,0,17,1181490,1
1,377047,76,2,7,375671,0
0,407538,25,0,0,407386,1
1,395492,77,2,7,394080,0
1,19699,10,2,27,17999,0
1,1461,39,2,31,1,0
0,1673448,16,6,19,1672462,0
0,56906,8,19,26,55425,1
1,5370,61,2,22,3925,0
1,587224,82,2,6,585836,0
0,1876953,32,21,18,1875676,0
0,1345315,49,3,19,1343381,1
1,385849,47,2,6,384458,0
0,18574,38,1,30,17966,0
0,1142020,52,23,17,1140743,0
0,39044,67,7,36,37485,1
