Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,243,243,1,0,86,31,299487,0
0,0,125132,82,82,1,0,46,4,122370,1
1,0,387675,28,28,0,1,101,5,385183,0
0,0,736453,80,80,2,0,70,23,733583,0
0,1,190552,81,81,1,0,50,21,188093,1
0,0,1516533,43,43,1,0,60,32,1514173,1
0,0,476728,161,161,1,0,104,15,474101,0
0,0,54199,31,31,1,0,45,58,51578,1
0,0,988200,209,209,1,0,34,23,985546,1
0,0,1062895,234,234,1,0,82,31,1060310,1
0,0,246580,88,88,1,0,6,19,243767,0
0,0,758419,46,46,1,0,21,22,756089,0
0,0,488327,205,205,2,0,22,23,485541,0
1,0,322020,237,237,0,1,90,19,319249,0
0,0,33755,25,25,1,0,54,44,30969,0
0,0,423886,68,68,1,0,115,6,421607,1
0,0,993191,44,44,1,0,60,32,990858,1
1,0,1150558,195,195,0,1,85,23,1147775,1
0,0,1152306,223,223,1,0,114,24,1149583,0
0,0,1161129,168,168,1,0,110,32,1158613,0
1,0,32977,217,217,0,1,113,85,30248,1
0,0,33431,24,24,1,0,95,55,30843,1
0,0,504459,248,248,1,0,109,12,501763,1
0,0,1757922,191,191,1,0,33,32,1755496,1
0,0,553480,176,176,2,0,64,1,550610,0
0,0,16153,29,29,1,0,45,56,13502,0
0,0,355891,245,245,1,0,115,6,353552,0
0,0,309384,109,109,1,0,120,5,306937,0
0,0,25495,52,52,1,0,95,61,22811,0
0,0,8691,198,198,1,0,29,78,6085,1
0,0,200907,151,151,1,0,48,11,198367,0
0,0,15222,214,214,1,0,8,82,12538,1
0,0,867065,115,115,1,0,70,23,864531,0
0,0,1966199,102,102,1,0,39,31,1963551,1
0,0,557682,143,143,1,0,104,15,555076,0
0,0,1024944,233,233,1,0,82,31,1022305,0
0,0,556640,255,255,1,0,94,7,553878,0
0,0,1176004,167,167,1,0,102,32,1173581,0
0,0,156435,33,33,2,0,82,19,153649,1
0,0,447956,179,179,1,0,63,24,445458,1
0,0,735391,127,127,1,0,71,31,733043,0
0,0,1102343,227,227,1,0,75,24,1099539,0
0,0,1314205,91,91,1,0,110,32,1311887,0
0,0,1034195,211,211,1,0,5,23,1031508,1
0,0,650434,39,39,2,0,37,14,647633,1
0,0,1800605,107,107,1,0,71,31,1797939,1
0,0,187941,232,232,1,0,36,5,185287,0
1,0,17633,20,20,0,1,63,53,14982,0
0,0,4209,120,120,1,0,66,69,1423,0
0,0,198843,126,126,1,0,76,5,196225,0
0,0,1065877,201,201,1,0,108,26,1063010,0
0,0,432191,134,134,1,0,17,16,429708,0
0,0,536061,258,258,1,0,84,15,533287,0
0,0,568671,175,175,1,0,2,32,566338,1
1,0,1123469,222,222,0,1,91,24,1120611,0
0,0,443238,159,159,1,0,103,15,440629,0
0,0,422008,203,203,1,0,32,17,419294,0
0,0,125047,38,38,1,0,43,3,122324,1
0,0,50888,153,153,1,0,51,20,48174,1
0,0,119436,257,257,1,0,14,2,116878,0
0,0,622377,41,41,1,0,10,31,620053,0
0,0,404953,163,163,1,0,84,15,402317,0
0,0,352788,252,252,1,0,108,18,350182,1
0,0,185153,22,22,1,0,129,27,182502,0
1,0,389747,166,166,0,1,127,15,387120,0
0,0,373899,27,27,1,0,26,5,371611,1
0,0,475012,141,141,1,0,112,7,472298,0
0,0,7162,18,18,1,0,45,51,4697,0
0,0,378614,165,165,1,0,84,15,375975,0
0,0,23290,219,219,1,0,71,50,20606,1
0,0,9867,62,62,1,0,95,63,7462,0
0,0,473501,204,204,2,0,121,23,470631,0
0,0,1713823,7,7,1,0,83,30,1711409,0
0,0,381075,238,238,1,0,17,16,378301,0
0,0,14845,49,49,2,0,50,60,11996,0
0,0,8092,215,215,1,0,43,83,5759,0
1,0,13979,200,200,0,1,0,80,11352,1
0,0,1053239,111,111,1,0,3,23,1050549,0
0,0,15062,87,87,1,0,45,66,12438,0
1,0,1100880,197,197,0,1,38,23,1098211,1
0,0,8115,174,174,2,0,44,49,5269,1
0,0,379418,172,172,1,0,51,34,376740,1
0,0,2047179,187,187,1,0,78,31,2044399,1
0,0,665447,75,75,2,0,22,23,662586,1
0,0,519004,254,254,1,0,72,7,516413,0
0,0,1324430,90,90,1,0,60,32,1322082,0
0,0,1156973,236,236,1,0,30,31,1154469,0
1,0,9580,199,199,0,1,37,79,6749,1
0,0,428427,89,89,2,0,81,20,425755,0
0,0,1096585,235,235,1,0,98,31,1093946,1
0,0,810651,171,171,1,0,123,22,808318,0
