Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,11,11,85,2,28,1711409,0
1,0,32772,102,102,115,1,4,29866,1
0,0,373899,33,33,26,2,5,371611,1
0,0,721934,80,80,33,2,23,719244,1
0,0,428427,92,92,82,3,20,425755,0
0,0,1324430,94,94,61,2,30,1322082,0
0,0,465591,162,162,111,2,15,462814,0
0,0,11536,37,37,51,2,56,9554,1
1,0,952113,119,119,38,1,23,949273,1
0,0,1024944,233,233,84,2,29,1022305,0
1,0,199898,40,40,92,1,19,197364,1
0,0,404584,121,121,91,2,21,402206,0
0,0,473501,202,202,121,3,23,470631,0
0,0,246580,91,91,5,2,19,243767,0
0,0,6135,20,20,18,2,41,3451,1
0,0,355891,244,244,115,2,6,353552,0
0,0,602339,49,49,61,2,30,600009,0
1,0,1100880,194,194,38,1,23,1098211,1
1,0,1123469,221,221,93,1,24,1120611,0
0,0,1147282,168,168,61,2,30,1144757,1
1,0,32977,216,216,113,1,82,30248,1
0,0,65602,29,29,46,2,52,62846,0
0,0,184674,8,8,94,2,12,182293,0
0,0,1516533,47,47,61,2,30,1514173,1
0,0,553480,173,173,65,3,1,550610,0
0,0,33431,30,30,97,2,53,30843,1
0,0,292921,245,245,118,2,6,290183,1
0,0,256062,178,178,120,2,5,253732,0
1,0,2776,54,54,11,1,59,113,1
0,0,8691,195,195,29,2,75,6085,1
0,0,180436,213,213,44,2,11,177890,1
0,0,15222,212,212,7,2,79,12538,1
0,0,849988,205,205,78,2,23,847319,0
0,0,1919214,108,108,72,2,29,1916677,1
0,0,546874,144,144,104,2,15,544250,0
1,0,1014233,137,137,28,1,29,1011738,0
0,0,519004,251,251,73,2,7,516413,0
0,0,1161129,167,167,110,2,30,1158613,0
0,0,82609,140,140,42,3,19,79808,1
1,0,316755,122,122,93,1,24,314314,0
0,0,622377,45,45,9,2,29,620053,0
0,0,483376,101,101,106,2,24,480707,1
0,0,1176004,166,166,103,2,30,1173581,0
0,0,1015945,209,209,70,2,23,1013150,1
0,0,204433,68,68,45,2,14,201761,1
0,0,1745786,15,15,72,2,29,1743231,0
0,0,125132,86,86,47,2,4,122370,1
0,0,7271,27,27,97,2,51,4884,0
0,0,6553,123,123,62,2,66,4166,1
0,0,187941,232,232,36,2,5,185287,0
0,0,1035713,63,63,50,2,25,1032837,0
0,0,425184,138,138,54,2,16,422410,0
0,0,513629,257,257,81,3,15,510834,0
0,0,565358,88,88,110,2,30,563163,1
0,0,1115182,220,220,76,2,24,1112378,0
1,0,432436,159,159,61,1,15,429818,0
0,0,218715,60,60,69,2,17,215884,1
1,0,86749,153,153,67,1,3,84020,1
1,0,396102,75,75,92,1,19,393418,0
1,0,107074,254,254,71,1,2,104540,0
0,0,602587,46,46,84,2,29,600077,0
1,0,389747,164,164,125,1,15,387120,0
0,0,422008,200,200,31,2,17,419294,0
0,0,1065877,198,198,109,2,25,1063010,0
0,0,378614,163,163,86,2,15,375975,0
0,0,309384,113,113,120,2,5,306937,0
0,0,585607,87,87,118,2,6,583331,1
0,0,23290,218,218,72,2,48,20606,1
0,0,650434,44,44,37,3,14,647633,1
0,0,8115,172,172,45,3,47,5269,1
0,0,34218,65,65,97,2,60,31414,0
