Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,10,10,0,28,1711409,0
1,0,32772,101,101,1,4,29866,1
0,0,373899,32,32,0,5,371611,1
0,0,721934,79,79,0,23,719244,1
0,0,428427,92,92,0,20,425755,0
0,0,1324430,93,93,0,30,1322082,0
0,0,465591,162,162,0,15,462814,0
0,0,54199,35,35,0,55,51578,1
1,0,952113,118,118,1,23,949273,1
0,0,1024944,233,233,0,29,1022305,0
1,0,199898,39,39,1,19,197364,1
0,0,404584,120,120,0,21,402206,0
0,0,473501,202,202,0,23,470631,0
0,0,246580,91,91,0,19,243767,0
0,0,33755,30,30,0,41,30969,0
0,0,355891,244,244,0,6,353552,0
0,0,602339,48,48,0,30,600009,0
1,0,1100880,194,194,1,23,1098211,1
1,0,1123469,221,221,1,24,1120611,0
0,0,1147282,168,168,0,30,1144757,1
1,0,32977,216,216,1,82,30248,1
0,0,33431,29,29,0,52,30843,1
0,0,184674,7,7,0,12,182293,0
0,0,1516533,47,47,0,30,1514173,1
0,0,553480,173,173,0,1,550610,0
0,0,16153,33,33,0,53,13502,0
0,0,292921,245,245,0,6,290183,1
0,0,256062,178,178,0,5,253732,0
0,0,25495,54,54,0,58,22811,0
0,0,8691,195,195,0,75,6085,1
0,0,180436,213,213,0,11,177890,1
0,0,15222,212,212,0,79,12538,1
0,0,849988,205,205,0,23,847319,0
0,0,1919214,107,107,0,29,1916677,1
0,0,546874,143,143,0,15,544250,0
1,0,1014233,136,136,1,29,1011738,0
0,0,519004,251,251,0,7,516413,0
0,0,1161129,167,167,0,30,1158613,0
0,0,82609,139,139,0,19,79808,1
1,0,316755,121,121,1,24,314314,0
0,0,622377,45,45,0,29,620053,0
0,0,483376,100,100,0,24,480707,1
0,0,1176004,166,166,0,30,1173581,0
0,0,1015945,209,209,0,23,1013150,1
0,0,204433,67,67,0,14,201761,1
0,0,1745786,15,15,0,29,1743231,0
0,0,125132,85,85,0,4,122370,1
1,0,17633,25,25,1,50,14982,0
0,0,4209,123,123,0,66,1423,0
0,0,187941,232,232,0,5,185287,0
0,0,1035713,62,62,0,25,1032837,0
0,0,425184,137,137,0,16,422410,0
0,0,513629,257,257,0,15,510834,0
0,0,565358,87,87,0,30,563163,1
0,0,1115182,220,220,0,24,1112378,0
1,0,432436,159,159,1,15,429818,0
0,0,218715,59,59,0,17,215884,1
1,0,86749,153,153,1,3,84020,1
1,0,396102,74,74,1,19,393418,0
1,0,107074,254,254,1,2,104540,0
0,0,602587,46,46,0,29,600077,0
1,0,389747,164,164,1,15,387120,0
0,0,422008,200,200,0,17,419294,0
0,0,1065877,198,198,0,25,1063010,0
0,0,378614,163,163,0,15,375975,0
0,0,309384,112,112,0,5,306937,0
0,0,585607,86,86,0,6,583331,1
0,0,7162,23,23,0,48,4697,0
0,0,650434,43,43,0,14,647633,1
0,0,23290,218,218,0,47,20606,1
0,0,9867,65,65,0,60,7462,0
1,0,442799,201,201,1,23,439932,1
0,0,1695278,9,9,0,28,1692543,1
0,0,700388,17,17,0,15,697620,0
0,0,14845,51,51,0,57,11996,0
0,0,8092,214,214,0,80,5759,0
1,0,13979,197,197,1,77,11352,1
0,0,1045611,208,208,0,23,1042786,0
0,0,15062,90,90,0,63,12438,0
0,0,1061168,114,114,0,23,1059124,0
0,0,8115,172,172,0,46,5269,1
0,0,10893,95,95,0,31,8359,1
0,0,1966199,106,106,0,29,1963551,1
0,0,585177,204,204,0,23,582301,0
0,0,475012,142,142,0,7,472298,0
0,0,1314205,94,94,0,30,1311887,0
0,0,1096585,235,235,0,29,1093946,1
1,0,9580,196,196,1,76,6749,1
0,0,50888,152,152,0,20,48174,1
0,0,1062895,234,234,0,29,1060310,1
0,0,758419,49,49,0,21,756089,0
0,0,12594,151,151,0,73,9967,0
0,0,9089,217,217,0,82,6579,1
1,0,45075,126,126,1,69,42286,0
1,0,1578209,103,103,1,28,1575672,1
0,0,1818146,111,111,0,29,1815771,0
0,0,466038,176,176,0,24,463714,0
0,0,1851640,109,109,0,29,1848668,0
0,0,139709,253,253,0,1,138117,0
1,0,290907,119,119,1,21,288478,0
0,0,1171520,42,42,0,27,1169280,1
0,0,2047179,184,184,0,29,2044399,1
0,0,800723,165,165,0,22,798375,0
0,0,12158,13,13,0,40,9363,1
0,0,21771,88,88,0,61,19363,0
0,0,488327,203,203,0,23,485541,0
0,0,454333,158,158,0,15,451748,0
0,0,262330,243,243,0,6,259847,0
0,0,568854,259,259,0,15,566233,0
0,0,16377,145,145,0,71,13513,1
0,0,180486,38,38,0,19,177754,1
0,0,1596686,185,185,0,29,1594209,0
0,0,301826,242,242,0,29,299487,0
0,0,736453,83,83,0,23,733583,0
0,0,1006971,2,2,0,30,1005142,0
0,0,20976,61,61,0,43,18310,0
0,0,5331,150,150,0,72,2932,0
0,0,629809,115,115,0,13,627020,1
0,0,1816759,189,189,0,30,1814429,0
1,0,590672,258,258,1,15,588504,0
0,0,6553,122,122,0,65,4166,1
0,0,1152306,222,222,0,24,1149583,0
0,0,13678,156,156,0,3,10931,1
0,0,468388,72,72,0,6,465485,0
1,0,476059,149,149,1,5,473501,0
1,0,1152001,179,179,1,28,1149578,1
0,0,1007699,206,206,0,23,1005114,1
0,0,1129346,169,169,0,30,1126764,1
0,0,696919,77,77,0,23,694046,0
0,0,1156973,236,236,0,29,1154469,0
0,0,221070,141,141,0,9,218443,1
0,0,463778,84,84,0,16,460986,0
0,0,11062,6,6,0,36,8450,0
0,0,1553361,181,181,0,28,1550629,1
0,0,280853,68,68,0,23,278046,0
0,0,546370,50,50,0,8,543824,0
0,0,399549,238,238,0,16,396772,0
0,0,57145,60,60,0,43,54284,0
0,0,817323,82,82,0,23,814468,0
1,0,408107,19,19,1,5,405750,0
0,0,60414,227,227,0,84,57859,1
0,0,988200,207,207,0,23,985546,1
0,0,7898,12,12,0,39,5274,1
0,0,245264,52,52,0,0,242583,0
0,0,4732,125,125,0,68,2051,0
0,0,21506,63,63,0,59,18858,0
0,0,23129,128,128,0,70,20358,1
0,0,428401,73,73,0,18,425663,0
0,0,950785,134,134,0,29,948302,1
0,0,34218,64,64,0,59,31414,0
1,0,2065088,104,104,1,29,2062416,0
0,0,15093,157,157,0,19,12226,0
0,0,1251196,180,180,0,28,1248512,0
0,0,352788,249,249,0,18,350182,1
0,0,565683,140,140,0,6,563344,1
0,0,10603,8,8,0,37,7772,1
0,0,212927,0,0,0,13,211077,1
0,0,1200167,193,193,0,23,1197396,0
0,0,652210,99,99,0,8,649424,0
0,0,2201057,58,58,0,30,2198634,1
0,0,4709,34,34,0,54,2067,1
0,0,119436,255,255,0,2,116878,0
0,0,14331,230,230,0,85,11776,1
1,0,1633076,186,186,1,29,1630521,0
0,0,7054,124,124,0,67,4541,0
0,0,456596,18,18,0,5,453903,1
0,0,3590,211,211,0,79,942,1
0,0,1757922,188,188,0,30,1755496,1
0,0,1984371,187,187,0,30,1981915,0
0,0,529696,175,175,0,1,526820,1
0,0,272153,69,69,0,23,269451,0
0,0,423886,70,70,0,6,421607,1
0,0,379418,170,170,0,32,376740,1
0,0,1189938,225,225,0,24,1187140,0
0,0,25731,11,11,0,38,22858,0
0,0,35248,55,55,0,58,32438,0
0,0,3982,4,4,0,34,1541,0
0,0,867065,117,117,0,23,864531,0
0,0,460231,148,148,0,13,457457,1
1,0,2113696,56,56,1,29,2111357,0
0,0,783613,81,81,0,23,780839,0
0,0,35322,191,191,0,74,32611,1
0,0,506933,22,22,0,23,504105,0
0,0,41459,219,219,0,83,38613,1
0,0,584285,174,174,0,1,581721,0
0,0,404953,161,161,0,15,402317,0
0,0,16042,113,113,0,64,13142,0
1,0,574686,147,147,1,13,571897,1
0,0,596823,98,98,0,8,594229,1
1,0,71558,154,154,1,3,69066,0
0,0,1102343,226,226,0,24,1099539,0
0,0,556640,252,252,0,7,553878,0
0,0,22835,146,146,0,71,20457,0
0,0,65602,28,28,0,51,62846,0
0,0,2171498,182,182,0,29,2169063,1
0,0,3099,89,89,0,62,313,1
0,0,2180588,57,57,0,30,2178147,1
0,0,1865809,108,108,0,29,1862957,0
0,0,2060220,183,183,0,29,2057611,1
0,0,8030,144,144,0,71,5538,1
0,0,54570,31,31,0,41,51787,1
0,0,12466,229,229,0,84,9926,1
0,0,1650945,14,14,0,29,1648582,1
0,0,1181628,224,224,0,24,1179322,0
0,0,580806,97,97,0,8,578836,1
0,0,321121,171,171,0,30,318503,0
0,0,880730,135,135,0,29,877992,1
0,0,7331,96,96,0,45,4482,1
0,0,156435,37,37,0,19,153649,1
0,0,249052,76,76,0,9,246272,1
0,0,344245,16,16,0,0,341906,1
0,0,194602,248,248,0,9,191840,1
0,0,536061,256,256,0,15,533287,0
0,0,1828534,110,110,0,29,1825916,0
0,0,450835,71,71,0,6,448496,1
0,0,14547,24,24,0,49,12235,0
0,0,417885,138,138,0,16,415123,0
0,0,237391,75,75,0,9,234584,1
0,0,7271,26,26,0,50,4884,0
0,0,1983,1,1,0,33,1,1
0,0,21057,155,155,0,3,18763,1
0,0,388287,239,239,0,16,385492,0
0,0,11601,44,44,0,56,9187,0
0,0,185153,27,27,0,26,182502,0
0,0,110238,228,228,0,84,107374,0
