Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,36,435022,85,1,14,434327,1,1
1,9,905931,43,1,8,905182,3,0
1,21,570089,27,1,8,569511,3,0
1,0,435780,39,1,9,435106,3,0
1,37,1654501,41,1,12,1653854,1,1
1,34,755,54,1,18,93,3,0
1,6,605502,68,1,5,604933,3,1
1,29,1565614,1,1,12,1565111,3,1
1,32,37689,21,1,23,37021,3,0
1,8,4852,24,1,24,4175,3,1
1,29,509037,87,1,2,508240,3,0
1,0,1091842,80,1,9,1091081,3,0
1,13,624606,13,1,13,623983,3,0
0,3,1204819,53,0,14,1204091,4,0
1,21,1064488,67,1,8,1063814,3,0
1,26,1153891,9,1,11,1153361,3,0
0,24,226568,59,0,1,225903,4,0
0,38,1728460,2,0,12,1728161,2,0
1,13,2105453,22,1,13,2104848,3,1
1,0,179239,37,1,10,178622,3,1
1,0,1142124,78,1,9,1141357,3,0
1,16,430900,26,1,6,430274,3,0
1,0,23414,75,1,35,22770,3,1
1,0,1104782,82,1,9,1104102,3,0
1,36,743660,15,1,14,742947,3,1
0,31,487905,31,0,1,487330,4,0
1,37,1560119,61,1,12,1559271,3,1
1,1,674303,16,1,14,673725,3,0
1,4,59496,23,1,15,58780,6,0
1,33,947466,44,1,8,947014,6,1
1,9,458055,69,1,8,457426,1,1
1,9,17347,19,1,22,16595,3,0
1,19,16318,35,1,27,15653,3,0
1,21,829209,73,1,8,828511,1,0
0,13,388745,86,0,2,388080,4,1
1,23,28212,64,1,33,27637,3,0
1,37,1690792,3,1,12,1690151,3,1
1,28,547641,33,1,3,547144,3,1
1,25,9043,55,1,18,8369,3,0
1,33,738855,28,1,8,738181,3,0
1,0,590414,57,1,0,589821,3,1
1,5,136301,83,1,7,135930,3,0
1,0,1192387,81,1,9,1191707,3,0
1,12,17274,11,1,20,16765,1,1
0,24,430064,7,0,1,429414,4,1
1,27,18257,76,1,36,17595,1,1
1,10,7133,46,1,29,6462,1,0
1,18,17466,30,1,25,16792,3,0
1,37,1732531,56,1,12,1731896,3,0
1,37,1702393,4,1,12,1701380,3,1
1,35,7796,51,1,31,7137,3,0
1,29,1607447,40,1,12,1606965,3,1
1,15,1832,10,1,20,1149,1,1
1,32,1682099,6,1,13,1681482,3,0
1,2,11162,77,1,37,10509,3,0
1,23,20358,63,1,33,19783,3,1
1,37,1507852,60,1,12,1507205,1,1
1,13,840636,5,1,13,840031,3,1
1,29,1661430,18,1,12,1660327,1,1
1,22,9429,45,1,28,8836,3,0
1,32,696859,34,1,13,696377,6,0
1,13,2529,29,1,17,1873,5,1
1,0,478865,38,1,9,478194,3,1
1,20,4297,74,1,34,3704,3,1
1,13,974933,47,1,13,974307,3,0
1,32,2154696,62,1,13,2154196,3,0
1,24,5579,84,1,38,4953,3,1
1,0,1172053,79,1,9,1171373,3,0
1,21,1154177,66,1,8,1153497,1,1
1,17,25270,49,1,30,24593,3,0
1,12,468982,17,1,0,468374,3,0
1,37,1728056,36,1,12,1727928,1,0
1,21,490761,71,1,8,490084,3,0
1,0,524975,58,1,0,524382,3,1
1,33,587573,72,1,8,586902,3,0
1,17,4340,20,1,22,3579,3,0
1,7,5600,52,1,32,4947,0,1
1,14,40393,25,1,16,39713,3,0
1,11,3403,12,1,21,2810,1,0
1,5,71817,8,1,19,71311,1,0
1,30,1266,0,1,39,595,3,0
1,33,475933,70,1,8,475256,1,0
1,13,989314,48,1,13,988862,1,0
1,36,1528548,14,1,14,1527883,3,0
1,23,472195,50,1,4,471323,3,1
1,7,4574,32,1,26,3870,1,0
0,18,1721960,42,0,12,1721430,4,0
1,23,68829,65,1,33,68515,3,1
