Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,145,0,113,10807,1
0,6110,101,0,101,3849,0
1,457048,90,1,9,454787,0
0,478833,231,0,6,476677,0
0,16869,155,0,116,14662,0
0,4025,166,0,16,1761,1
1,20192,203,1,29,18165,1
0,3770,51,0,89,732,1
1,828777,110,1,48,827212,1
1,9061,56,1,74,6806,1
0,2776,158,0,117,509,0
1,211189,119,1,34,209180,1
1,7765,29,1,43,5519,1
0,3747,24,0,72,1363,1
0,555948,172,0,20,553549,0
0,487264,96,0,17,485114,0
0,763294,176,0,26,761027,0
0,1178466,118,0,44,1176085,0
1,53359,117,1,40,52601,1
1,96434,222,1,5,94266,1
1,45480,197,1,122,43330,1
1,609383,79,1,20,607077,0
1,5633,12,1,62,4134,0
1,813661,182,1,38,811541,0
0,243718,98,0,19,243449,0
0,480713,37,0,4,478230,0
1,114439,8,1,3,112868,1
0,14957,64,0,76,12933,0
1,356577,108,1,53,354673,0
0,371476,173,0,18,369323,0
1,50723,123,1,106,48507,1
0,611448,113,0,10,610807,0
0,56175,85,0,5,53914,1
1,1621,65,1,95,2,1
0,4679,116,0,40,2307,1
0,11646,126,0,107,9286,1
0,45278,102,0,18,42840,0
0,47037,178,0,120,44773,1
0,487691,30,0,18,485538,0
0,477337,10,0,9,476408,0
0,828692,195,0,49,827244,1
1,909033,32,1,40,906619,0
0,1062,3,0,71,1,0
0,15153,209,0,30,12949,1
1,81519,11,1,5,79698,1
0,65232,218,0,52,62692,1
0,710857,49,0,23,709519,0
0,76316,28,0,52,74154,1
1,799420,225,1,32,796943,0
0,7491,129,0,22,5182,1
0,2056,50,0,88,2,1
0,4947,45,0,86,2638,0
1,441740,93,1,29,439797,1
0,2326647,17,0,54,2325364,0
1,777368,224,1,32,775140,0
1,51771,234,1,36,49540,1
0,59089,40,0,57,56687,1
1,552888,219,1,15,550654,0
0,79561,120,0,57,77369,1
1,1451239,131,1,52,1449053,0
0,1009290,44,0,39,1006993,0
1,170211,125,1,50,168412,1
0,4516,54,0,91,3179,1
1,122003,229,1,11,119982,1
0,5046,160,0,118,2860,1
1,1375691,122,1,46,1373202,0
0,27070,143,0,16,24536,1
1,224206,202,1,35,222371,1
1,689616,82,1,54,687517,0
1,372955,230,1,29,370655,1
1,1204656,198,1,46,1202680,0
