Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1097,12,7,51,1
1,30308,51,6,2,27168
1,56857,121,2,22,54575
0,763,9,1,52,5
0,703218,18,8,36,701626
1,5286,79,2,75,4336
1,93861,98,2,32,92599
0,716461,47,6,38,713525
0,581462,111,5,4,578019
0,212280,147,8,10,211864
0,38881,132,2,86,36347
0,297517,78,6,14,294389
1,81368,20,2,22,80808
1,720,140,8,92,1
0,742903,101,2,23,741965
1,28960,1,2,31,27503
0,429068,82,6,25,425925
1,118859,96,2,9,115842
0,9728,40,6,67,6585
0,12029,45,8,69,11478
0,315827,125,6,15,312663
1,4234,75,2,73,3116
0,99546,109,2,12,97369
1,32123,57,2,10,29739
0,929052,123,2,31,925927
1,4123,88,5,76,1628
0,116617,54,6,13,113450
0,8113,63,2,70,5945
1,4229,137,6,89,1371
1,33235,6,8,9,30782
0,1206,15,8,53,1
0,767496,94,2,29,766105
1,53098,126,2,34,49949
1,99066,112,2,1,97825
0,318588,152,6,14,315535
0,1289,10,8,49,3
1,546,142,8,94,1
1,383983,4,2,46,383429
0,213521,148,2,10,212382
1,57661,42,2,41,55166
1,74545,150,2,8,72053
0,8781,26,2,59,5653
0,599,0,7,58,3
1,81855,145,6,10,78709
1,341238,27,2,4,338959
0,227216,76,8,43,225387
0,5181,104,2,79,4192
1,99079,52,2,2,97820
1,35758,5,7,9,35156
1,46653,85,2,38,44743
0,521345,23,6,1,518232
1,54155,56,6,10,50976
1,48145,2,4,30,47690
0,1771,19,8,55,5
0,9252,127,8,85,7177
1,1005,17,8,54,1
0,573456,46,2,3,572590
0,632799,49,6,19,629461
0,1017672,48,2,34,1015075
1,1291,13,8,56,11
1,55385,129,6,0,52233
0,6751,105,2,79,5450
1,3425,118,2,84,855
0,765509,36,6,22,762384
0,750258,8,7,38,748432
1,153763,102,5,21,151067
0,307836,151,8,14,304756
1,13944,61,5,44,11467
1,43791,69,6,9,40663
0,100486,53,2,13,98009
1,1126783,131,5,39,1124243
1,4790,124,6,63,1644
0,304,128,7,64,2
1,30678,114,7,9,29548
0,642289,107,6,8,639173
1,40231,110,7,82,38468
1,704,14,3,57,18
0,694715,134,2,26,691713
1,33620,84,6,38,30504
1,5807,130,2,26,3882
0,762911,103,2,26,760413
0,100844,32,7,12,99663
1,506465,70,2,19,504186
0,559272,80,6,40,556483
1,4270,35,5,42,1799
0,824374,62,2,26,822413
0,672501,86,2,24,670264
1,484,139,8,91,2
1,7065,67,2,72,6076
0,506906,99,0,14,503742
1,96937,120,2,30,96035
1,1651,93,2,62,830
0,302755,59,8,14,301802
0,1330,11,8,50,2
0,492209,22,2,1,489726
0,704396,16,8,36,703461
1,7840,66,2,16,6842
1,24175,37,6,47,21059
0,1482,106,2,80,1
0,3560,30,2,65,861
1,40333,119,6,84,37199
1,6322,44,6,15,3197
0,673825,81,2,26,670661
0,201983,146,2,10,197949
0,232598,154,2,3,230508
1,52289,83,6,38,48939
0,789292,95,2,29,788021
0,714709,100,2,26,711560
0,1815,92,2,78,1
1,11460,143,7,95,9091
0,772874,149,6,28,769737
1,341160,155,2,3,338881
0,135805,156,6,5,132644
0,326955,31,6,18,323962
1,2735,77,2,74,246
1,4884,50,2,46,1753
0,562767,58,6,6,559651
0,676357,28,2,23,675068
1,11360,90,6,77,8184
0,1011,7,8,48,1
0,7732,64,6,71,4595
0,696,115,7,83,1
1,552643,117,2,20,550361
0,225838,91,6,17,222980
1,5115,55,5,38,2545
0,296392,24,6,15,293633
1,36371,141,2,93,34218
0,220362,116,5,18,217744
0,532553,153,2,14,531252
1,34862,87,1,28,34431
0,638513,71,2,7,636579
0,685611,68,2,17,683131
1,40751,41,2,68,38379
1,5438,138,7,90,3198
1,8449,122,6,45,5315
1,37772,135,6,11,34755
0,11809,38,2,66,9641
0,8362,133,2,87,5834
1,96112,113,6,1,92984
1,6579,65,2,16,5257
1,16287,34,2,60,13156
1,371763,3,9,45,371065
1,3141,89,7,61,982
1,5564,39,2,36,2433
0,567659,25,1,33,567123
0,634208,29,8,39,633441
0,673601,73,2,27,670680
0,741862,157,2,23,740972
1,11203,43,2,41,8075
0,12199,144,2,96,10430
0,631461,72,2,7,630235
1,2165,136,7,88,1
1,68231,97,6,23,65097
1,46094,74,5,37,43491
1,301337,21,2,5,298548
0,796646,60,2,29,794730
1,11508,108,5,81,8902
0,1015710,33,6,35,1014604
