Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Host_Taxon
1,520756,28,28,2,3,2,519809,2
0,434643,30,30,4,3,0,432829,2
1,11438889,14,14,7,7,6,11438077,2
0,15089831,18,18,7,3,9,15088605,2
1,5649719,8,8,7,3,9,5648142,2
0,2775423,6,6,7,3,9,2774086,2
1,1447996,2,2,7,7,9,1447043,2
1,22979736,24,24,7,3,4,22978261,2
1,1833747,4,4,7,3,6,1832821,2
0,559806,32,32,6,5,4,558834,2
0,2646920,5,5,7,8,6,2645877,2
0,12197203,17,17,7,6,6,12196105,2
1,10381344,13,13,7,3,9,10380256,2
0,73871,0,0,0,0,1,73416,0
0,11705435,16,16,7,7,6,11704542,2
1,23628449,25,25,7,4,3,23628117,2
1,1120997,29,29,3,3,5,1120479,2
1,3138110,34,34,6,3,7,3137298,2
1,16157563,19,19,7,4,6,16156159,2
0,3848398,1,1,1,2,8,3847910,1
1,21906493,23,23,7,4,3,21905750,2
1,7139860,10,10,7,3,6,7138967,2
1,8559,27,27,2,3,2,7741,2
1,17983993,20,20,7,3,3,17983292,2
1,7636842,11,11,7,2,9,7635970,2
0,18607403,21,21,7,3,4,18606726,2
0,2858803,33,33,6,3,7,2858432,2
1,7635530,12,12,7,3,9,7634784,2
1,2780894,7,7,7,4,9,2779937,2
1,24599377,26,26,7,1,4,24599018,2
0,6549201,9,9,7,3,6,6548746,2
0,1966177,31,31,5,3,10,1965272,2
1,1579373,3,3,7,2,9,1578207,2
1,11546763,15,15,7,3,6,11545570,2
0,21871006,22,22,7,4,3,21870218,2
