Strand_Orientation,Gene_Type,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Chromosome_Location,Genomic_End_Position
1,0,13578653,2,100,1,13580138
0,0,10820229,2,84,1,10821920
0,0,6955569,2,54,1,6956172
0,1,8420066,3,65,1,8422594
0,0,9309220,2,75,1,9310089
1,0,10428729,5,78,1,10429864
1,0,3233849,2,27,1,3235158
1,0,2100093,11,15,1,2102690
0,0,20866022,1,143,1,20867515
0,0,12245099,2,92,1,12246771
1,0,2727125,23,19,1,2728681
0,0,1400647,1,10,1,1401408
1,0,20914958,1,144,1,20915947
1,0,9220525,5,74,1,9221896
1,0,6840311,5,53,1,6842720
0,1,6637225,4,52,1,6638754
1,0,14537,19,0,1,15741
0,0,18734498,15,133,1,18735986
0,0,5595701,2,43,1,5596435
0,0,9310200,1,76,1,9311660
1,1,17399302,13,123,1,17401205
1,0,23648664,2,155,1,23649517
0,0,6440312,2,51,1,6441604
1,0,12848426,2,96,1,12849258
0,1,20477665,6,141,1,20479303
1,0,2861630,5,20,1,2862968
0,0,980799,5,6,1,981427
0,0,3096508,1,24,1,3097194
0,0,2679423,16,18,1,2680808
0,1,3800009,13,31,1,3802426
0,0,14449142,1,108,1,14451589
1,0,23513521,1,154,1,23514561
1,0,15396637,1,113,1,15398283
1,0,4909550,5,39,1,4910787
1,0,12486822,2,93,1,12488986
1,0,18765534,2,134,1,18766836
1,0,7775540,1,59,1,7776355
0,0,3509868,5,30,1,3511059
0,0,18931125,2,135,1,18932862
0,0,8065765,5,61,1,8066513
1,0,13390600,5,99,1,13391838
1,0,2596686,14,16,1,2597044
0,0,14928527,1,111,1,14931220
1,0,11472201,1,86,1,11473094
1,0,13979644,2,105,1,13980614
1,0,33567,20,165,0,34835
1,0,7856016,1,60,1,7857029
1,0,4363173,24,34,1,4365383
0,0,13812362,1,101,1,13813861
1,0,11599714,2,88,1,11600931
1,1,8834339,7,70,1,8836279
1,0,8642485,5,66,1,8643477
0,0,14937890,5,112,1,14939089
0,0,3097631,1,25,1,3098509
1,0,12566661,2,94,1,12567288
0,0,6085950,1,47,1,6088421
1,0,1659698,5,13,1,1662089
0,0,14765282,21,110,1,14766244
0,0,11496159,2,87,1,11497432
0,0,3048399,25,22,1,3049161
0,0,937674,2,5,1,938369
0,0,24217882,1,160,1,24218799
0,0,18448896,2,131,1,18449802
0,0,418907,11,1,1,421354
0,0,2641014,16,17,1,2642795
1,0,22583996,8,151,1,22586503
1,0,23901544,2,158,1,23902858
1,0,15429022,10,114,1,15431493
1,0,41047,14,167,0,42748
1,0,2911437,1,21,1,2912105
1,0,12160046,8,91,1,12160930
1,0,16833925,23,119,1,16835079
1,0,23865703,2,157,1,23866829
1,0,16413631,22,118,1,16416071
1,0,11653435,8,89,1,11654127
0,1,561461,6,4,1,563875
1,0,6168823,2,48,1,6170322
0,0,13280789,26,98,1,13282465
1,0,16919435,19,120,1,16920482
1,0,19132048,1,137,1,19133424
1,0,4667,14,163,0,6835
0,0,21701900,2,148,1,21703774
1,0,17625592,2,126,1,17627223
1,0,7008393,2,55,1,7009171
1,0,18037247,2,128,1,18038313
1,0,6361372,5,50,1,6362947
1,0,4252749,8,33,1,4253831
0,0,14478302,2,109,1,14479105
0,0,3451287,1,29,1,3453161
0,0,13011857,1,97,1,13013122
0,0,2002366,5,14,1,2003214
0,0,17541345,2,124,1,17542792
1,0,17120601,5,121,1,17122877
1,0,8305246,5,63,1,8306625
1,0,3311109,1,28,1,3312359
1,0,20285100,5,139,1,20286216
1,0,4430512,27,35,1,4431456
1,0,9199485,5,73,1,9200825
0,0,17642746,2,127,1,17643761
1,0,4101290,12,32,1,4102721
1,1,15461240,0,115,1,15463044
1,1,37650,18,166,0,40361
1,0,10632709,1,81,1,10634319
1,0,5211163,1,41,1,5212347
1,0,14200354,23,106,1,14201412
1,0,21839502,1,149,1,21840929
1,0,18149782,5,129,1,18150907
0,0,23310921,2,153,1,23311866
0,0,4754812,5,37,1,4756236
1,0,8296462,2,62,1,8297673
0,1,3053067,4,23,1,3054496
0,0,423166,23,2,1,424362
0,0,11411355,2,85,1,11412405
0,1,8985246,4,71,1,8987276
1,0,8379902,2,64,1,8380600
0,0,21106076,2,146,1,21107478
1,0,22341328,1,150,1,22342311
0,0,8750116,1,69,1,8750931
0,0,445739,16,3,1,448516
1,0,1003707,2,7,1,1005104
1,0,5773752,1,46,1,5776202
0,0,20599396,1,142,1,20600592
0,0,13965975,16,104,1,13967339
0,0,1043726,5,9,1,1044324
0,0,18230676,1,130,1,18233087
0,0,7251567,5,57,1,7252202
1,0,21032577,1,145,1,21033305
0,0,14263463,5,107,1,14264630
0,0,19359904,2,138,1,19361160
0,0,22799643,1,152,1,22800650
0,0,6282458,2,49,1,6283351
1,0,5251626,17,42,1,5252907
1,0,10814110,2,83,1,10815148
0,0,4836803,9,38,1,4838125
1,0,19128978,11,136,1,19131431
0,0,24323249,2,161,1,24324304
0,0,18525296,1,132,1,18526135
1,0,5763288,2,45,1,5764705
1,0,4620634,24,36,1,4622430
0,1,8704372,3,68,1,8706530
1,0,1564519,5,12,1,1565906
0,0,5645517,1,44,1,5646569
0,0,17572161,1,125,1,17573162
1,0,24073248,2,159,1,24075061
0,0,13815414,16,102,1,13816694
0,0,3220494,5,26,1,3221626
1,0,17381675,5,122,1,17383110
0,0,23717642,2,156,1,23718778
1,0,6891,14,164,0,9294
1,0,5209340,25,40,1,5210452
1,0,15943858,2,116,1,15945723
0,0,13952477,1,103,1,13953853
0,0,16025135,8,117,1,16025845
1,0,10516812,2,80,1,10517795
0,0,9368165,5,77,1,9369143
0,0,11736173,2,90,1,11737964
0,0,8661322,1,67,1,8662629
0,1,7506176,4,58,1,7507311
1,0,12664313,1,95,1,12665749
1,0,24715475,2,162,1,24717108
1,0,1469688,2,11,1,1471242
1,0,21366772,2,147,1,21368024
1,0,7205454,1,56,1,7207112
0,0,10789222,1,82,1,10790484
1,0,1005001,2,8,1,1005618
1,0,9118189,1,72,1,9120663
0,0,20331131,1,140,1,20333137
0,0,10512900,1,79,1,10514318
